,Proximity_to_Hole_from_Rough_RANK THIS WEEK,Proximity_to_Hole_from_Rough_RANK LAST WEEK,Proximity_to_Hole_from_Rough_PLAYER NAME,Proximity_to_Hole_from_Rough_ROUNDS,Proximity_to_Hole_from_Rough_AVG DTP,Proximity_to_Hole_from_Rough_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Rough_# OF SHOTS,Proximity_to_Hole_from_Rough_SCRAMBLING RANK
0,1,1,Omar Uresti,61,"6' 6""",920.3330000000001,141,7
1,2,2,Justin Leonard,83,"6' 10""",1061.417,155,77
2,T3,T3,Paul Goydos,72,"6' 11""",1014.0830000000001,146,25
3,T3,T3,Bob Tway,81,"6' 11""",1161.5,167,147
4,T3,T3,Scott Verplank,88,"6' 11""",979.4169999999999,141,12
5,T6,T6,Thomas Levet,53,"7' 2""",842.9169999999999,118,81
6,T6,T6,Chris Riley,86,"7' 2""",1405.9170000000001,197,26
7,T8,T8,Retief Goosen,68,"7' 3""",899.8330000000001,124,108
8,T8,T8,Steve Stricker,64,"7' 3""",931.0,129,2
9,T10,T10,Shigeki Maruyama,94,"7' 4""",1591.9170000000001,218,21
10,T10,T10,Pat Perez,50,"7' 4""",848.0830000000001,116,166
11,T12,T12,Marco Dawson,87,"7' 5""",1550.0829999999999,208,121
12,T12,T12,Luke Donald,66,"7' 5""",848.4169999999999,115,3
13,T12,T12,Jim Furyk,89,"7' 5""",932.0,125,4
14,T12,T12,Matt Hansen,68,"7' 5""",1327.0829999999999,179,89
15,T12,T12,Justin Rose,98,"7' 5""",1579.5829999999999,213,84
16,T17,T17,Paul Azinger,87,"7' 6""",1642.0829999999999,219,8
17,T17,T17,Aaron Baddeley,78,"7' 6""",1619.1670000000001,215,51
18,T17,T17,Danny Ellis,68,"7' 6""",1235.25,165,90
19,T20,T20,Bill Haas,99,"7' 7""",1835.5,243,48
20,T20,T20,Tim Herron,82,"7' 7""",1324.4170000000001,175,148
21,T20,T20,Stephen Leaney,84,"7' 7""",1413.1670000000001,187,19
22,T23,T23,J.P. Hayes,55,"7' 8""",1122.25,147,75
23,T23,T23,Jonathan Kaye,95,"7' 8""",1700.5829999999999,223,102
24,T23,T23,Corey Pavin,74,"7' 8""",1088.333,142,1
25,T26,T26,Woody Austin,107,"7' 9""",2258.167,291,43
26,T26,T26,Mark Brooks,90,"7' 9""",1556.6670000000001,201,107
27,T26,T26,Tim Clark,80,"7' 9""",943.3330000000001,122,58
28,T26,T26,Charley Hoffman,100,"7' 9""",1958.6670000000001,252,137
29,T30,T30,Michael Allen,84,"7' 10""",1498.5,192,70
30,T30,T30,Jonathan Byrd,66,"7' 10""",972.9169999999999,124,20
31,T30,T30,Ben Crane,85,"7' 10""",1240.583,159,120
32,T30,T30,Daisuke Maruyama,83,"7' 10""",1273.083,162,104
33,T30,T30,Rory Sabbatini,84,"7' 10""",1566.4170000000001,200,50
34,T35,T35,Olin Browne,108,"7' 11""",1819.75,231,152
35,T35,T35,John Cook,67,"7' 11""",1049.083,133,28
36,T35,T35,Tom Lehman,70,"7' 11""",972.9169999999999,123,155
37,T35,T35,Steve Lowery,99,"7' 11""",1770.6670000000001,224,111
