,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Steve Stricker,64,65.18,73,112
1,2,2,J.P. Hayes,55,64.93,87,134
2,3,3,Omar Uresti,61,64.29,90,140
3,4,4,Jim Furyk,89,63.96,71,111
4,5,5,Luke Donald,66,63.55,68,107
5,6,6,Ian Poulter,53,62.07,54,87
6,7,7,Scott Verplank,88,61.7,87,141
7,8,8,Arron Oberholser,82,61.54,72,117
8,9,9,Corey Pavin,74,61.44,94,153
9,10,10,Bernhard Langer,77,61.24,79,129
10,11,11,Jason Bohn,104,61.23,139,227
11,12,12,Aaron Baddeley,78,61.0,122,200
12,13,13,Brent Geiberger,99,60.3,120,199
13,14,14,Brian Gay,107,60.16,154,256
14,15,15,John Cook,67,60.14,86,143
15,16,16,Stuart Appleby,83,60.11,107,178
16,17,17,Jonathan Byrd,66,59.83,70,117
17,18,18,Shane Bertsch,104,59.82,131,219
18,T19,T19,Paul Goydos,72,59.75,95,159
19,T19,T19,Nick Watney,97,59.75,141,236
20,21,21,Padraig Harrington,54,59.26,48,81
21,22,22,Paul Azinger,87,59.2,119,201
22,23,23,Stephen Ames,63,59.09,52,88
23,24,24,Larry Mize,53,58.96,79,134
24,25,25,Frank Lickliter II,99,58.88,116,197
25,26,26,J.L. Lewis,57,58.82,80,136
26,27,27,Skip Kendall,72,58.78,77,131
27,28,28,Steve Elkington,52,58.76,57,97
28,29,29,Bo Van Pelt,102,58.74,121,206
29,30,30,Patrick Sheehan,104,58.63,146,249
30,31,31,Woody Austin,107,58.52,158,270
31,32,32,Steve Flesch,119,58.51,141,241
32,33,33,John Rollins,93,58.46,114,195
33,34,34,Stewart Cink,93,58.38,101,173
34,35,35,Mark O'Meara,52,58.06,72,124
35,36,36,Freddie Jacobson,56,57.97,80,138
36,37,37,Mark Brooks,90,57.87,125,216
37,38,38,Charles Warren,93,57.81,111,192
38,39,39,Bill Haas,99,57.68,139,241
39,40,40,Shigeki Maruyama,94,57.66,128,222
40,41,41,Robert Allenby,79,57.63,68,118
41,42,42,Eric Axley,91,57.56,118,205
42,T43,T43,Shaun Micheel,96,57.5,115,200
43,T43,T43,Joey Sindelar,90,57.5,92,160
44,45,45,John Huston,74,57.49,96,167
45,46,46,Mark Calcavecchia,94,57.42,120,209
46,47,47,Ernie Els,69,57.26,71,124
47,48,48,Danny Ellis,68,57.23,91,159
48,49,49,Billy Andrade,78,57.22,103,180
49,50,50,Nathan Green,108,57.21,131,229
50,51,51,Tjaart van der Walt,60,57.14,76,133
51,T52,T52,Rory Sabbatini,84,57.07,109,191
52,T52,T52,Vijay Singh,103,57.07,105,184
53,54,54,José María Olazábal,62,57.0,57,100
54,55,55,Brian Bateman,69,56.96,90,158
