,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,Padraig Harrington,54,98.33,59,60
1,2,2,Luke Donald,66,94.34,50,53
2,3,3,Camilo Villegas,95,93.58,102,109
3,4,4,Corey Pavin,74,93.55,87,93
4,5,5,J.J. Henry,96,93.33,70,75
5,6,6,Ian Poulter,53,92.31,60,65
6,7,7,Dean Wilson,115,92.11,105,114
7,8,8,Bill Haas,99,91.94,114,124
8,9,9,José María Olazábal,62,91.84,45,49
9,10,10,Justin Leonard,83,91.75,89,97
10,11,11,John Cook,67,91.67,77,84
11,12,12,"John Engler, Jr.",69,90.79,69,76
12,13,13,Patrick Sheehan,104,90.73,137,151
13,14,14,Olin Browne,108,90.55,115,127
14,15,15,Steve Stricker,64,90.54,67,74
15,16,16,Paul Azinger,87,90.48,114,126
16,17,17,Brett Quigley,109,90.43,85,94
17,18,18,Jeff Overton,95,90.4,113,125
18,19,19,D.A. Points,82,90.38,94,104
19,20,20,Tom Pernice Jr.,108,90.27,102,113
20,T21,T21,Dudley Hart,83,90.2,92,102
21,T21,T21,Tiger Woods,55,90.2,46,51
22,23,23,Tommy Armour III,65,90.14,64,71
23,24,24,Mark Wilson,79,90.0,72,80
24,T25,T25,John Senden,96,89.89,80,89
25,T25,T25,Omar Uresti,61,89.89,80,89
26,27,27,Rod Pampling,89,89.87,71,79
27,28,28,Carl Pettersson,95,89.81,97,108
28,29,29,Jeff Brehaut,100,89.69,87,97
29,30,30,Shigeki Maruyama,94,89.15,115,129
30,T31,T31,Robert Allenby,79,88.89,72,81
31,T31,T31,Greg Owen,79,88.89,72,81
32,T31,T31,Jason Schultz,77,88.89,64,72
33,34,34,Vijay Singh,103,88.8,111,125
34,T35,T35,Frank Lickliter II,99,88.79,95,107
35,T35,T35,Will MacKenzie,91,88.79,95,107
36,37,37,Skip Kendall,72,88.61,70,79
37,38,38,Vaughn Taylor,88,88.6,101,114
38,39,39,Sergio Garcia,59,88.46,46,52
39,40,40,Jesper Parnevik,84,88.37,76,86
40,41,41,J.B. Holmes,81,88.3,83,94
41,42,42,Robert Damron,91,88.18,97,110
42,43,43,Brent Geiberger,99,88.1,111,126
43,44,44,Eric Axley,91,88.07,96,109
44,45,45,Mike Weir,88,88.04,81,92
45,46,46,Duffy Waldorf,96,88.03,103,117
46,47,47,D.J. Trahan,92,88.0,88,100
47,48,48,Tjaart van der Walt,60,87.95,73,83
48,49,49,Kevin Sutherland,100,87.88,87,99
49,50,50,Paul Goydos,72,87.85,94,107
50,51,51,Todd Fischer,101,87.8,108,123
51,52,52,Arron Oberholser,82,87.69,57,65
52,53,53,Carlos Franco,86,87.64,78,89
53,54,54,Scott Verplank,88,87.61,99,113
54,55,55,Jason Bohn,104,87.4,111,127
55,56,56,Steve Jones,83,87.37,83,95
56,57,57,Harrison Frazar,95,87.29,103,118
57,58,58,Bart Bryant,87,87.27,96,110
58,59,59,Hidemichi Tanaka,74,87.25,89,102
59,60,60,Shane Bertsch,104,87.12,115,132
60,61,61,Bo Van Pelt,102,87.07,101,116
61,62,62,Brian Bateman,69,87.01,67,77
62,63,63,Jim Furyk,89,86.75,72,83
63,64,64,Bernhard Langer,77,86.67,65,75
64,65,65,Peter Lonard,77,86.6,84,97
65,66,66,Ryan Hietala,61,86.57,58,67
66,67,67,Justin Rose,98,86.51,109,126
67,68,68,Tim Petrovic,95,86.44,102,118
68,69,69,Ben Crane,85,86.42,70,81
69,70,70,Billy Mayfair,94,86.41,89,103
70,71,71,Bob Tway,81,86.27,88,102
71,72,72,Ted Purdy,103,86.21,100,116
72,73,73,Retief Goosen,68,86.11,62,72
73,74,74,Fred Funk,106,86.07,105,122
74,75,75,Tag Ridings,103,86.03,117,136
75,76,76,Brian Gay,107,86.0,129,150
76,T77,T77,Briny Baird,81,85.71,78,91
77,T77,T77,Craig Barlow,77,85.71,54,63
78,T77,T77,Chad Campbell,91,85.71,72,84
79,T77,T77,Fred Couples,52,85.71,30,35
80,T77,T77,Mark O'Meara,52,85.71,36,42
81,82,82,Sean O'Hair,100,85.59,101,118
82,T83,T83,Michael Allen,84,85.57,83,97
83,T83,T83,Ron Whittaker,81,85.57,83,97
84,85,85,Ben Curtis,86,85.54,71,83
85,86,86,Steve Flesch,119,85.52,124,145
86,87,87,Jerry Smith,94,85.45,94,110
87,88,88,Chris DiMarco,83,85.42,82,96
88,89,89,J.P. Hayes,55,85.33,64,75
89,90,90,Mark Brooks,90,85.25,104,122
90,91,91,Stuart Appleby,83,85.23,75,88
91,92,92,Ryuji Imada,105,85.19,92,108
92,93,93,Jonathan Kaye,95,85.16,109,128
93,94,94,Shaun Micheel,96,85.11,80,94
94,95,95,Brandt Jobe,91,85.06,74,87
95,T96,T96,Doug Barron,74,85.0,102,120
96,T96,T96,Mathew Goggin,72,85.0,68,80
97,T96,T96,Troy Matteson,101,85.0,102,120
98,T96,T96,Larry Mize,53,85.0,51,60
99,100,100,Charles Howell III,96,84.95,79,93
100,T101,T101,Kris Cox,83,84.88,73,86
101,T101,T101,Todd Hamilton,72,84.88,73,86
102,103,103,Jeff Sluman,101,84.8,106,125
103,104,104,Aaron Baddeley,78,84.76,89,105
104,105,105,Richard Johnson,94,84.62,77,91
105,106,106,Nathan Green,108,84.56,126,149
106,T107,T107,Kent Jones,103,84.54,82,97
107,T107,T107,Stephen Leaney,84,84.54,82,97
108,109,109,Greg Chalmers,71,84.42,65,77
109,T110,T110,Scott Gutschewski,53,84.38,54,64
110,T110,T110,Ryan Moore,68,84.38,81,96
111,112,112,Marco Dawson,87,84.31,86,102
112,113,113,Brett Wetterich,82,84.27,75,89
113,114,114,Trevor Immelman,86,84.21,64,76
114,115,115,James Driscoll,80,84.15,69,82
115,116,116,Brian Davis,92,84.11,90,107
116,117,117,David Branshaw,98,83.96,89,106
117,118,118,Charles Warren,93,83.9,99,118
118,119,119,David Howell,52,83.87,26,31
119,120,120,Robert Gamez,94,83.85,109,130
120,121,121,Chris Smith,67,83.82,57,68
121,T122,T122,Jerry Kelly,100,83.81,88,105
122,T122,T122,Joey Sindelar,90,83.81,88,105
123,124,124,Charley Hoffman,100,83.76,98,117
124,125,125,Henrik Bjornstad,97,83.74,103,123
125,126,126,Steve Elkington,52,83.64,46,55
126,127,127,Nick Watney,97,83.58,112,134
127,128,128,Ryan Palmer,101,83.57,117,140
128,129,129,Jeff Maggert,81,83.51,81,97
129,T130,T130,J.L. Lewis,57,83.33,65,78
130,T130,T130,Steve Lowery,99,83.33,95,114
131,T130,T130,Jimmy Walker,60,83.33,60,72
132,133,133,Woody Austin,107,83.23,129,155
133,T134,T134,Rich Beem,85,82.93,68,82
134,T134,T134,Matt Hansen,68,82.93,68,82
135,136,136,Daniel Chopra,110,82.91,97,117
136,137,137,Hunter Mahan,98,82.86,116,140
137,138,138,Chris Riley,86,82.83,82,99
138,T139,T139,Joe Durant,101,82.64,119,144
139,T139,T139,Joe Ogilvie,95,82.64,100,121
140,141,141,Mathias Grönberg,92,82.61,95,115
141,142,142,Jonathan Byrd,66,82.54,52,63
142,T143,T143,Jeff Gove,91,82.35,70,85
143,T143,T143,Jon Mills,68,82.35,56,68
144,145,145,Lee Janzen,79,82.22,74,90
145,T146,T146,Mark Calcavecchia,94,82.11,101,123
146,T146,T146,Stewart Cink,93,82.11,78,95
147,148,148,Bubba Watson,83,82.0,82,100
148,149,149,John Huston,74,81.93,68,83
149,T150,T150,Stephen Ames,63,81.82,45,55
150,T150,T150,Pat Perez,50,81.82,54,66
151,T152,T152,Phil Mickelson,74,81.69,58,71
152,T152,T152,Geoff Ogilvy,76,81.69,58,71
153,154,154,Ian Leggatt,80,81.65,89,109
154,155,155,Jason Gore,86,81.63,80,98
155,156,156,Alex Aragon,63,81.61,71,87
156,157,157,Danny Ellis,68,81.58,62,76
157,158,158,Tim Clark,80,81.52,75,92
158,159,159,Lucas Glover,105,81.51,97,119
159,160,160,Tim Herron,82,81.48,66,81
160,161,161,Kirk Triplett,58,81.43,57,70
161,162,162,Greg Kraft,79,81.42,92,113
162,163,163,David Duval,71,81.25,65,80
163,164,164,David Toms,76,80.95,68,84
164,165,165,Bob May,65,80.9,72,89
165,166,166,Bob Estes,85,80.81,80,99
166,167,167,Alex Cejka,93,80.67,96,119
167,168,168,Rory Sabbatini,84,80.46,70,87
168,T169,T169,Arjun Atwal,97,80.33,98,122
169,T169,T169,John Daly,51,80.33,49,61
170,171,171,Vance Veazey,59,80.26,61,76
171,T172,T172,Zach Johnson,98,80.2,81,101
172,T172,T172,Nicholas Thompson,96,80.2,81,101
173,174,174,K.J. Choi,93,80.18,89,111
174,T175,T175,Brad Faxon,78,80.0,88,110
175,T175,T175,Len Mattiace,59,80.0,52,65
176,177,177,David McKenzie,82,79.52,66,83
177,178,178,Chris Couch,75,79.49,62,78
178,179,179,Roger Tambellini,64,79.1,53,67
179,180,180,Tom Lehman,70,78.95,45,57
180,181,181,Paul Stankowski,70,78.89,71,90
181,182,182,Billy Andrade,78,78.75,63,80
182,183,183,Heath Slocum,96,78.51,95,121
183,T184,T184,John Rollins,93,78.26,72,92
184,T184,T184,Mike Sposa,68,78.26,54,69
185,186,186,Davis Love III,85,78.05,64,82
186,187,187,Ernie Els,69,77.78,49,63
187,T188,T188,Bubba Dickerson,98,76.67,92,120
188,T188,T188,"Wes Short, Jr.",96,76.67,92,120
189,190,190,Robert Garrigus,85,76.52,88,115
190,191,191,Adam Scott,70,76.12,51,67
191,192,192,Freddie Jacobson,56,76.0,57,75
192,193,193,Daisuke Maruyama,83,74.74,71,95
193,194,194,Kenny Perry,73,74.12,63,85
194,195,195,Thomas Levet,53,73.85,48,65
195,196,196,Michael Connell,51,71.43,35,49
