,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Corey Pavin,74,66.45,305,459
1,2,2,Steve Stricker,64,65.55,234,357
2,3,3,Luke Donald,66,65.45,252,385
3,4,4,Jim Furyk,89,64.66,300,464
4,5,5,Brian Gay,107,64.6,458,709
5,6,6,Steve Elkington,52,64.52,180,279
6,7,7,Omar Uresti,61,63.59,227,357
7,8,8,Paul Azinger,87,63.16,372,589
8,9,9,Tjaart van der Walt,60,62.91,229,364
9,10,10,Tiger Woods,55,62.81,152,242
10,11,11,Greg Owen,79,62.61,273,436
11,12,12,Scott Verplank,88,62.55,329,526
12,13,13,Jason Bohn,104,61.97,396,639
13,14,14,Brett Quigley,109,61.84,376,608
14,15,15,Nick Watney,97,61.15,362,592
15,16,16,Frank Lickliter II,99,61.0,341,559
16,T17,T17,Nathan Green,108,60.98,422,692
17,T17,T17,Jerry Kelly,100,60.98,361,592
18,19,19,Stephen Leaney,84,60.97,303,497
19,20,20,Jonathan Byrd,66,60.94,220,361
20,21,21,Shigeki Maruyama,94,60.86,367,603
21,22,22,Steve Flesch,119,60.8,428,704
22,23,23,Doug Barron,74,60.77,316,520
23,24,24,Ryuji Imada,105,60.68,392,646
24,25,25,Paul Goydos,72,60.67,273,450
25,26,26,Chris Riley,86,60.65,336,554
26,27,27,Stewart Cink,93,60.61,337,556
27,T28,T28,John Cook,67,60.59,246,406
28,T28,T28,Jesper Parnevik,84,60.59,326,538
29,30,30,Kevin Sutherland,100,60.58,332,548
30,31,31,Tim Petrovic,95,60.57,384,634
31,32,32,Trevor Immelman,86,60.54,290,479
32,33,33,Larry Mize,53,60.49,199,329
33,34,34,Brent Geiberger,99,60.46,370,612
34,35,35,Billy Mayfair,94,60.42,342,566
35,T36,T36,Padraig Harrington,54,60.38,189,313
36,T36,T36,Ian Poulter,53,60.38,192,318
37,38,38,David Branshaw,98,60.37,323,535
38,39,39,Vijay Singh,103,60.28,349,579
39,40,40,Bob Estes,85,60.12,306,509
40,41,41,Jerry Smith,94,60.11,333,554
41,42,42,Fred Funk,106,60.06,382,636
42,43,43,Woody Austin,107,59.94,431,719
43,44,44,Richard Johnson,94,59.83,344,575
44,45,45,Joe Ogilvie,95,59.79,342,572
45,46,46,Ryan Moore,68,59.77,257,430
46,47,47,Mike Sposa,68,59.63,257,431
47,48,48,Bill Haas,99,59.55,368,618
48,49,49,Brian Davis,92,59.54,334,561
49,50,50,Rory Sabbatini,84,59.43,315,530
50,T51,T51,Aaron Baddeley,78,59.37,339,571
51,T51,T51,Dean Wilson,115,59.37,412,694
52,53,53,Ernie Els,69,59.33,248,418
53,54,54,David Toms,76,59.29,249,420
54,55,55,Jeff Overton,95,59.21,344,581
55,56,56,Stuart Appleby,83,59.18,303,512
56,57,57,Bernhard Langer,77,59.1,263,445
57,T58,T58,Stephen Ames,63,59.09,221,374
58,T58,T58,Tim Clark,80,59.09,286,484
59,60,60,Patrick Sheehan,104,59.08,384,650
60,61,61,Duffy Waldorf,96,59.03,330,559
61,62,62,Chris DiMarco,83,59.02,278,471
62,63,63,John Huston,74,58.97,286,485
63,T64,T64,Dudley Hart,83,58.96,319,541
64,T64,T64,Charles Warren,93,58.96,306,519
65,66,66,Carl Pettersson,95,58.95,372,631
66,T67,T67,K.J. Choi,93,58.9,311,528
67,T67,T67,Mark O'Meara,52,58.9,215,365
68,69,69,Geoff Ogilvy,76,58.89,275,467
69,70,70,Michael Allen,84,58.87,332,564
70,71,71,Jeff Sluman,101,58.86,372,632
71,72,72,Billy Andrade,78,58.84,263,447
72,73,73,Skip Kendall,72,58.82,250,425
73,74,74,Ryan Palmer,101,58.78,375,638
74,75,75,J.P. Hayes,55,58.76,208,354
75,76,76,J.L. Lewis,57,58.75,225,383
76,77,77,Justin Leonard,83,58.73,306,521
77,78,78,Jeff Gove,91,58.68,257,438
78,79,79,Mike Weir,88,58.67,301,513
79,80,80,Tom Pernice Jr.,108,58.58,389,664
80,81,81,Thomas Levet,53,58.47,183,313
81,82,82,Mark Wilson,79,58.45,256,438
82,83,83,Bubba Watson,83,58.35,276,473
83,84,84,Justin Rose,98,58.29,320,549
84,85,85,Rod Pampling,89,58.2,330,567
85,86,86,John Senden,96,58.18,281,483
86,87,87,Peter Lonard,77,58.13,293,504
87,88,88,Greg Kraft,79,58.05,292,503
88,89,89,Matt Hansen,68,58.02,228,393
89,90,90,Danny Ellis,68,58.0,250,431
90,91,91,Adam Scott,70,57.94,219,378
91,92,92,Steve Jones,83,57.92,318,549
92,93,93,Chad Campbell,91,57.84,295,510
93,94,94,Brian Bateman,69,57.83,240,415
94,95,95,José María Olazábal,62,57.78,208,360
95,96,96,Harrison Frazar,95,57.72,340,589
96,97,97,Troy Matteson,101,57.68,353,612
97,98,98,Arron Oberholser,82,57.67,252,437
98,99,99,Bo Van Pelt,102,57.63,355,616
99,100,100,Robert Damron,91,57.62,344,597
100,101,101,Freddie Jacobson,56,57.58,209,363
101,102,102,Jonathan Kaye,95,57.55,301,523
102,103,103,Zach Johnson,98,57.52,302,525
103,104,104,Daisuke Maruyama,83,57.5,276,480
104,T105,T105,Shane Bertsch,104,57.47,381,663
105,T105,T105,Daniel Chopra,110,57.47,404,703
106,107,107,Mark Brooks,90,57.41,341,594
107,108,108,Retief Goosen,68,57.37,214,373
108,109,109,Henrik Bjornstad,97,57.31,349,609
109,110,110,Brad Faxon,78,57.22,337,589
110,111,111,Steve Lowery,99,57.21,345,603
111,112,112,David McKenzie,82,57.11,281,492
112,113,113,Arjun Atwal,97,57.07,351,615
