,Scrambling_Average_Distance_to_Hole_RANK THIS WEEK,Scrambling_Average_Distance_to_Hole_RANK LAST WEEK,Scrambling_Average_Distance_to_Hole_PLAYER NAME,Scrambling_Average_Distance_to_Hole_ROUNDS,Scrambling_Average_Distance_to_Hole_AVG DTP,Scrambling_Average_Distance_to_Hole_TOTAL DISTANCE (FEET),Scrambling_Average_Distance_to_Hole_ATTEMPTS
0,1,1,Omar Uresti,61,"6' 6""",1892.1670000000001,290
1,2,2,Corey Pavin,74,"6' 7""",2103.25,320
2,3,3,Steve Stricker,64,"6' 11""",1738.1670000000001,252
3,4,4,Vijay Singh,103,"7' 0""",2930.75,417
4,5,5,Padraig Harrington,54,"7' 2""",1363.0829999999999,190
5,6,6,Chris Riley,86,"7' 3""",3074.833,426
6,7,7,Scott Verplank,88,"7' 4""",2606.833,355
7,8,8,Paul Goydos,72,"7' 5""",2575.25,349
8,9,9,Luke Donald,66,"7' 6""",1670.3329999999999,222
9,T10,T10,John Cook,67,"7' 7""",2146.5,284
10,T10,T10,Fred Funk,106,"7' 7""",3326.333,439
11,T10,T10,Ian Poulter,53,"7' 7""",1653.4170000000001,217
12,T10,T10,Jerry Smith,94,"7' 7""",3294.167,434
13,T14,T14,Ernie Els,69,"7' 8""",2095.75,272
14,T14,T14,Jim Furyk,89,"7' 8""",2276.667,298
15,T16,T16,Paul Azinger,87,"7' 9""",3570.917,463
16,T16,T16,Marco Dawson,87,"7' 9""",3332.667,429
17,T16,T16,Trevor Immelman,86,"7' 9""",2521.917,327
18,T16,T16,Stephen Leaney,84,"7' 9""",3082.25,396
19,T20,T20,Jason Bohn,104,"7' 10""",3744.583,479
20,T20,T20,Brian Gay,107,"7' 10""",4577.75,587
21,T20,T20,Justin Leonard,83,"7' 10""",2715.25,348
22,T20,T20,Greg Owen,79,"7' 10""",2430.667,309
23,T20,T20,Kirk Triplett,58,"7' 10""",1992.0,253
24,T20,T20,Nick Watney,97,"7' 10""",3759.333,478
25,T20,T20,Mike Weir,88,"7' 10""",2648.333,339
26,T20,T20,Mark Wilson,79,"7' 10""",2896.0,369
27,T20,T20,Tiger Woods,55,"7' 10""",1086.5,139
28,T29,T29,Chad Campbell,91,"7' 11""",2679.083,339
29,T29,T29,Bob Estes,85,"7' 11""",3018.167,380
30,T29,T29,Bill Haas,99,"7' 11""",3986.75,506
31,T29,T29,J.P. Hayes,55,"7' 11""",2085.25,264
32,T29,T29,Brett Quigley,109,"7' 11""",3647.5,463
33,T29,T29,Justin Rose,98,"7' 11""",3373.583,426
34,T35,T35,Michael Allen,84,"8' 0""",3302.583,411
35,T35,T35,Jonathan Byrd,66,"8' 0""",2133.75,268
36,T35,T35,Chris DiMarco,83,"8' 0""",2521.583,315
37,T35,T35,Tim Herron,82,"8' 0""",2759.0,345
38,T35,T35,Jonathan Kaye,95,"8' 0""",3474.083,436
39,T35,T35,Tom Pernice Jr.,108,"8' 0""",3900.333,490
40,T41,T41,Stuart Appleby,83,"8' 1""",2933.583,362
41,T41,T41,Mark Brooks,90,"8' 1""",3576.333,444
42,T41,T41,Robert Damron,91,"8' 1""",3725.5,459
43,T41,T41,Steve Flesch,119,"8' 1""",4405.583,547
44,T41,T41,Jerry Kelly,100,"8' 1""",3598.833,446
45,T41,T41,Shigeki Maruyama,94,"8' 1""",3793.333,467
46,T41,T41,Kevin Sutherland,100,"8' 1""",3534.75,437
47,T41,T41,Bo Van Pelt,102,"8' 1""",3885.167,479
48,T49,T49,Billy Andrade,78,"8' 2""",2640.5,323
49,T49,T49,Craig Barlow,77,"8' 2""",2471.917,304
50,T49,T49,Bart Bryant,87,"8' 2""",2885.167,352
51,T49,T49,Brian Davis,92,"8' 2""",3577.417,440
52,T49,T49,Ryuji Imada,105,"8' 2""",4030.167,494
53,T49,T49,Bob May,65,"8' 2""",2198.75,269
54,T49,T49,Vaughn Taylor,88,"8' 2""",3332.333,407
55,T56,T56,Tim Clark,80,"8' 3""",2390.917,289
56,T56,T56,Danny Ellis,68,"8' 3""",2827.0,341
57,T56,T56,Todd Fischer,101,"8' 3""",4406.833,536
58,T56,T56,Peter Lonard,77,"8' 3""",3097.75,374
59,T56,T56,Billy Mayfair,94,"8' 3""",3300.833,400
60,T56,T56,Joe Ogilvie,95,"8' 3""",3561.917,432
61,T56,T56,Rod Pampling,89,"8' 3""",2954.583,357
62,T56,T56,Rory Sabbatini,84,"8' 3""",2893.0,349
63,T56,T56,Jeff Sluman,101,"8' 3""",3717.417,451
64,T56,T56,Jimmy Walker,60,"8' 3""",2624.0,317
65,T66,T66,Woody Austin,107,"8' 4""",4559.0,549
66,T66,T66,Mark Calcavecchia,94,"8' 4""",3763.0,451
67,T66,T66,Alex Cejka,93,"8' 4""",3462.75,416
68,T66,T66,Larry Mize,53,"8' 4""",1915.0,230
69,T66,T66,John Senden,96,"8' 4""",3080.167,371
70,T66,T66,Duffy Waldorf,96,"8' 4""",3746.917,449
71,T72,T72,Kris Cox,83,"8' 5""",3062.0,365
72,T72,T72,Ben Crane,85,"8' 5""",3001.25,355
73,T72,T72,Steve Elkington,52,"8' 5""",1959.6670000000001,232
74,T72,T72,Kent Jones,103,"8' 5""",3824.917,455
75,T72,T72,Frank Lickliter II,99,"8' 5""",3642.417,433
76,T72,T72,Sean O'Hair,100,"8' 5""",3493.167,413
