,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,64,0.225,129,29.0
1,2,2,Luke Donald,66,0.252,103,26.0
2,3,3,Greg Owen,79,0.253,150,38.0
3,4,4,Brian Gay,107,0.26,262,68.0
4,5,5,Geoff Ogilvy,76,0.266,139,37.0
5,6,6,Nathan Green,108,0.272,232,63.0
6,7,7,Mark O'Meara,52,0.28,107,30.0
7,8,8,Brett Quigley,109,0.281,231,65.0
8,9,9,Kevin Sutherland,100,0.285,200,57.0
9,T10,T10,Paul Azinger,87,0.292,209,61.0
10,T10,T10,Dudley Hart,83,0.292,171,50.0
11,12,12,Trevor Immelman,86,0.293,164,48.0
12,13,13,Ernie Els,69,0.299,134,40.0
13,14,14,Jerry Kelly,100,0.3,217,65.0
14,15,15,K.J. Choi,93,0.302,162,49.0
15,T16,T16,Billy Andrade,78,0.303,152,46.0
16,T16,T16,Jerry Smith,94,0.303,201,61.0
17,18,18,Arron Oberholser,82,0.305,141,43.0
18,T19,T19,Stephen Leaney,84,0.307,176,54.0
19,T19,T19,Kirk Triplett,58,0.307,127,39.0
20,T21,T21,Steve Elkington,52,0.313,112,35.0
21,T21,T21,Richard Johnson,94,0.313,217,68.0
22,T23,T23,Jim Furyk,89,0.315,146,46.0
23,T23,T23,Justin Leonard,83,0.315,146,46.0
24,25,25,Stuart Appleby,83,0.316,155,49.0
25,T26,T26,Greg Chalmers,71,0.317,142,45.0
26,T26,T26,J.P. Hayes,55,0.317,120,38.0
27,28,28,Rod Pampling,89,0.318,176,56.0
28,29,29,Jeff Gove,91,0.319,188,60.0
29,30,30,Doug Barron,74,0.322,183,59.0
30,31,31,Brent Geiberger,99,0.32299999999999995,226,73.0
31,T32,T32,Bubba Dickerson,98,0.324,210,68.0
32,T32,T32,Danny Ellis,68,0.324,170,55.0
