,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Thomas Levet,53,80.36,45,56
1,2,2,Brett Quigley,109,68.59,107,156
2,3,3,Steve Stricker,64,67.11,51,76
3,4,4,Davis Love III,85,66.67,48,72
4,5,5,Luke Donald,66,66.29,59,89
5,6,6,Jim Furyk,89,65.66,65,99
6,7,7,Tjaart van der Walt,60,64.89,61,94
7,8,8,Zach Johnson,98,64.71,77,119
8,9,9,Greg Owen,79,63.64,56,88
9,10,10,Billy Mayfair,94,63.49,80,126
10,11,11,Greg Kraft,79,63.21,67,106
11,12,12,John Cook,67,62.89,61,97
12,13,13,Ryuji Imada,105,62.42,98,157
13,T14,T14,Ernie Els,69,62.12,41,66
14,T14,T14,Larry Mize,53,62.12,41,66
15,16,16,Richard Johnson,94,61.68,66,107
16,17,17,Jonathan Byrd,66,61.45,51,83
17,18,18,Stephen Leaney,84,61.42,78,127
18,19,19,Ryan Moore,68,61.36,54,88
19,20,20,Trevor Immelman,86,61.26,68,111
20,21,21,Ben Curtis,86,61.0,61,100
21,22,22,Vijay Singh,103,60.78,62,102
22,23,23,Rich Beem,85,60.44,55,91
23,24,24,David Branshaw,98,60.16,74,123
24,25,25,Bubba Watson,83,59.81,64,107
25,26,26,Jesper Parnevik,84,59.65,68,114
26,27,27,Scott Verplank,88,59.6,59,99
27,28,28,Todd Fischer,101,59.49,94,158
28,29,29,D.J. Trahan,92,59.48,69,116
29,30,30,Mike Sposa,68,59.35,73,123
30,31,31,Matt Hansen,68,59.3,51,86
31,32,32,Steve Elkington,52,59.02,36,61
32,33,33,Ron Whittaker,81,58.82,60,102
33,34,34,Omar Uresti,61,58.75,47,80
34,35,35,Paul Azinger,87,58.65,78,133
35,36,36,Skip Kendall,72,58.33,49,84
36,37,37,Brett Wetterich,82,58.18,64,110
37,38,38,Frank Lickliter II,99,57.86,81,140
38,39,39,Tim Petrovic,95,57.79,89,154
39,40,40,Jonathan Kaye,95,57.69,60,104
40,41,41,Kevin Sutherland,100,57.63,68,118
41,42,42,Tiger Woods,55,57.5,23,40
42,43,43,Steve Jones,83,57.46,77,134
43,44,44,Corey Pavin,74,57.3,51,89
44,45,45,Ben Crane,85,57.26,67,117
45,46,46,Jeff Brehaut,100,57.25,75,131
46,T47,T47,Stephen Ames,63,57.14,40,70
47,T47,T47,Brian Gay,107,57.14,100,175
48,T47,T47,Dudley Hart,83,57.14,72,126
