,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
127,T128,T128,Aaron Baddeley,71.13,1067,15
128,T128,T128,Tim Clark,71.13,1067,15
129,T130,T130,Michael Clark II,71.14,498,7
130,T130,T130,Glen Day,71.14,1494,21
131,132,132,Peter Lonard,71.15,1423,20
132,T133,T133,Donnie Hammond,71.17,1281,18
133,T133,T133,Mike Sposa,71.17,854,12
134,135,135,Luke Donald,71.18,1210,17
135,136,136,Tom Byrum,71.22,1282,18
136,137,137,Steve Stricker,71.25,570,8
137,138,138,Peter Jacobsen,71.27,1069,15
138,139,139,Kevin Sutherland,71.29,1497,21
139,T140,T140,Brian Bateman,71.3,713,10
140,T140,T140,Rory Sabbatini,71.3,1426,20
141,142,142,Tommy Armour III,71.33,856,12
142,T143,T143,Paul Azinger,71.36,785,11
143,T143,T143,Rich Beem,71.36,999,14
144,145,145,Andy Miller,71.38,928,13
145,146,146,Heath Slocum,71.39,1285,18
146,147,147,John Rollins,71.41,1214,17
147,148,148,Glen Hnatiuk,71.44,1143,16
148,149,149,Brent Schwarzrock,71.45,786,11
149,150,150,Jesper Parnevik,71.48,1501,21
150,T151,T151,J.L. Lewis,71.5,1287,18
151,T151,T151,Darron Stiles,71.5,1287,18
152,T151,T151,Dean Wilson,71.5,1001,14
153,154,154,Mathew Goggin,71.53,1216,17
154,155,155,Pat Perez,71.59,1217,17
155,T156,T156,Chris Anderson,71.67,1290,18
156,T156,T156,Carl Pettersson,71.67,1075,15
157,158,158,Craig Perks,71.69,932,13
158,159,159,Steven Alker,71.71,1004,14
159,T160,T160,Mike Grob,71.75,1148,16
160,T160,T160,Kenneth Staton,71.75,574,8
161,162,162,John Maginnes,71.8,1077,15
162,T163,T163,Ian Leggatt,71.82,790,11
163,T163,T163,Mark Wilson,71.82,790,11
164,165,165,David Sutherland,71.85,934,13
165,166,166,Gene Sauers,71.86,1006,14
166,167,167,Chris Smith,71.88,1222,17
167,168,168,Jay Don Blake,71.92,935,13
168,169,169,Kenichi Kuboya,71.93,1079,15
169,170,170,Len Mattiace,72.05,1441,20
170,171,171,Anthony Painter,72.15,938,13
171,172,172,José Coceres,72.18,794,11
172,173,173,Matt Kuchar,72.33,651,9
173,174,174,Bob Burns,72.36,1013,14
174,T175,T175,Jason Caron,72.38,579,8
175,T175,T175,John Daly,72.38,579,8
176,177,177,Thomas Levet,72.41,1231,17
177,178,178,Ben Curtis,72.43,1014,14
178,179,179,Adam Scott,72.6,726,10
179,180,180,John Morgan,72.62,944,13
180,181,181,Cameron Yancey,72.67,436,6
181,182,182,"Dave Stockton, Jr.",72.78,655,9
182,183,183,Gavin Coles,72.86,510,7
183,184,184,Jason Gore,72.93,1021,14
184,185,185,Jeff Klein,73.0,438,6
185,186,186,Akio Sadakata,73.07,1023,14
186,187,187,Vance Veazey,73.13,585,8
187,188,188,Todd Barranger,74.78,673,9
188,189,189,Kaname Yokoo,75.0,525,7
189,190,190,Ty Tryon,75.33,452,6
