,First_Tee_Late_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_1_Scoring_Average_AVG,First_Tee_Late_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Fred Couples,67.5,135,2
1,2,2,Kenny Perry,67.88,543,8
2,3,3,John Huston,68.5,411,6
3,4,4,Carl Paulson,68.67,618,9
4,5,5,Vijay Singh,68.85,895,13
5,6,6,Harrison Frazar,69.0,345,5
6,7,7,Tiger Woods,69.2,346,5
7,8,8,Todd Fischer,69.4,347,5
8,9,9,Kirk Triplett,69.43,486,7
9,T10,T10,Jerry Kelly,69.44,625,9
10,T10,T10,Cliff Kresge,69.44,625,9
11,12,12,Paul Goydos,69.5,417,6
12,13,13,Sergio Garcia,69.56,626,9
13,14,14,Spike McRoy,69.6,696,10
14,T15,T15,Per-Ulrik Johansson,69.67,418,6
15,T15,T15,Arron Oberholser,69.67,209,3
16,T15,T15,Deane Pappas,69.67,418,6
17,T15,T15,Heath Slocum,69.67,627,9
18,19,19,Bob Tway,69.71,488,7
19,20,20,Esteban Toledo,69.75,558,8
20,21,21,Peter Lonard,69.78,628,9
21,22,22,Retief Goosen,69.8,349,5
22,T23,T23,Jonathan Byrd,69.83,419,6
23,T23,T23,Dean Wilson,69.83,419,6
24,25,25,Dan Forsman,69.86,489,7
25,26,26,Olin Browne,69.88,559,8
26,27,27,Robert Gamez,69.91,769,11
27,T28,T28,Darren Clarke,70.0,140,2
28,T28,T28,Steve Flesch,70.0,350,5
29,T28,T28,Andrew Magee,70.0,560,8
30,T28,T28,Akio Sadakata,70.0,700,10
31,T28,T28,Joey Sindelar,70.0,210,3
32,33,33,Billy Mayfair,70.1,701,10
33,34,34,Alex Cejka,70.11,631,9
34,T35,T35,Craig Barlow,70.13,561,8
35,T35,T35,Ian Leggatt,70.13,561,8
36,T37,T37,Bob Estes,70.2,702,10
37,T37,T37,Rod Pampling,70.2,351,5
38,T37,T37,Jesper Parnevik,70.2,702,10
39,40,40,Glen Day,70.22,632,9
40,41,41,Robert Allenby,70.25,562,8
41,42,42,Phil Mickelson,70.33,422,6
42,43,43,Darron Stiles,70.38,563,8
43,T44,T44,Tommy Armour III,70.4,352,5
44,T44,T44,Brad Elder,70.4,352,5
45,T44,T44,Hank Kuehne,70.4,352,5
46,T47,T47,Aaron Baddeley,70.43,493,7
47,T47,T47,Donnie Hammond,70.43,493,7
48,49,49,Kevin Sutherland,70.44,634,9
49,T50,T50,Fred Funk,70.5,705,10
50,T50,T50,Scott McCarron,70.5,564,8
51,T50,T50,Hidemichi Tanaka,70.5,564,8
52,T50,T50,Scott Verplank,70.5,564,8
53,T54,T54,Luke Donald,70.57,494,7
54,T54,T54,Brandt Jobe,70.57,494,7
55,T54,T54,Duffy Waldorf,70.57,494,7
56,57,57,David Gossett,70.6,353,5
57,58,58,Tom Pernice Jr.,70.63,565,8
58,T59,T59,Billy Andrade,70.64,777,11
59,T59,T59,Chad Campbell,70.64,777,11
60,61,61,Tim Herron,70.67,424,6
61,62,62,Mark Calcavecchia,70.71,495,7
62,T63,T63,Doug Barron,70.75,566,8
63,T63,T63,Steve Stricker,70.75,283,4
64,T63,T63,Garrett Willis,70.75,566,8
65,66,66,Brett Quigley,70.78,637,9
66,T67,T67,Jim Furyk,70.8,354,5
67,T67,T67,J.J. Henry,70.8,354,5
68,T67,T67,John Senden,70.8,708,10
69,T70,T70,Pat Bates,70.83,425,6
70,T70,T70,Carlos Franco,70.83,425,6
71,72,72,Paul Azinger,70.86,496,7
72,73,73,Skip Kendall,70.88,567,8
73,74,74,Matt Gogel,70.89,638,9
74,T75,T75,Stephen Ames,71.0,568,8
75,T75,T75,Jason Caron,71.0,426,6
76,T75,T75,Robert Damron,71.0,284,4
77,T75,T75,Jason Gore,71.0,355,5
78,T75,T75,Charles Howell III,71.0,497,7
79,T75,T75,Neal Lancaster,71.0,497,7
80,T75,T75,Bernhard Langer,71.0,426,6
81,T75,T75,Davis Love III,71.0,568,8
82,T75,T75,Mark O'Meara,71.0,355,5
83,T75,T75,Carl Pettersson,71.0,568,8
84,T75,T75,David Toms,71.0,568,8
85,86,86,J.L. Lewis,71.08,853,12
86,87,87,Woody Austin,71.13,569,8
87,T88,T88,Anthony Painter,71.17,854,12
88,T88,T88,Mike Weir,71.17,427,6
89,T88,T88,Mark Wilson,71.17,427,6
90,T91,T91,Stewart Cink,71.2,356,5
91,T91,T91,Marco Dawson,71.2,356,5
92,T91,T91,Chris DiMarco,71.2,356,5
93,T91,T91,Mike Heinen,71.2,356,5
94,T91,T91,Brian Henninger,71.2,356,5
95,T91,T91,Andy Miller,71.2,356,5
96,T91,T91,Nick Price,71.2,356,5
97,98,98,Justin Leonard,71.22,641,9
98,T99,T99,Tom Byrum,71.25,570,8
99,T99,T99,Patrick Sheehan,71.25,570,8
100,T99,T99,Mike Sposa,71.25,285,4
101,T102,T102,Rory Sabbatini,71.29,499,7
102,T102,T102,Paul Stankowski,71.29,499,7
103,104,104,Jim Carter,71.3,713,10
104,T105,T105,Cameron Beckman,71.33,214,3
105,T105,T105,Chris Riley,71.33,214,3
106,T105,T105,Jeff Sluman,71.33,428,6
107,T105,T105,"Dave Stockton, Jr.",71.33,428,6
108,T105,T105,Hal Sutton,71.33,428,6
109,110,110,Kenichi Kuboya,71.38,571,8
110,T111,T111,Ernie Els,71.4,357,5
111,T111,T111,Corey Pavin,71.4,357,5
112,113,113,Glen Hnatiuk,71.43,500,7
113,114,114,Thomas Levet,71.5,429,6
114,T115,T115,Shigeki Maruyama,71.56,644,9
115,T115,T115,Tim Petrovic,71.56,644,9
116,117,117,K.J. Choi,71.58,859,12
117,118,118,Tom Gillis,71.63,573,8
118,T119,T119,Jay Don Blake,71.67,430,6
119,T119,T119,Joel Edwards,71.67,430,6
120,T119,T119,Loren Roberts,71.67,215,3
121,T119,T119,David Sutherland,71.67,215,3
122,123,123,Brenden Pappas,71.71,502,7
123,124,124,Jonathan Kaye,71.73,789,11
124,T125,T125,Steven Alker,71.75,574,8
125,T125,T125,Tom Lehman,71.75,287,4
126,T125,T125,John Riegger,71.75,287,4
127,128,128,Notah Begay III,71.77,933,13
128,129,129,Gene Sauers,71.83,431,6
129,130,130,Joe Durant,71.86,503,7
130,T131,T131,David Frost,71.88,575,8
131,T131,T131,Jay Williamson,71.88,575,8
132,133,133,Chris Anderson,71.89,647,9
133,T134,T134,Briny Baird,72.0,504,7
134,T134,T134,Jeff Brehaut,72.0,360,5
135,T134,T134,Greg Chalmers,72.0,720,10
136,T134,T134,John Maginnes,72.0,504,7
137,T134,T134,Rocco Mediate,72.0,576,8
138,T134,T134,Geoff Ogilvy,72.0,288,4
139,140,140,Paul Gow,72.17,433,6
140,T141,T141,Aaron Barber,72.2,722,10
141,T141,T141,J.P. Hayes,72.2,361,5
142,143,143,Pat Perez,72.22,650,9
143,144,144,Ben Curtis,72.25,578,8
144,145,145,Craig Perks,72.29,506,7
145,T146,T146,Kent Jones,72.33,217,3
