,Total_Eagles_RANK THIS WEEK,Total_Eagles_RANK LAST WEEK,Total_Eagles_PLAYER NAME,Total_Eagles_ROUNDS,Total_Eagles_TOTAL
0,1,1,Carlos Franco,99,22.0
1,2,2,Robert Gamez,114,21.0
2,3,3,Chad Campbell,105,17.0
3,T4,T4,Darron Stiles,93,16.0
4,T4,T4,Tiger Woods,74,16.0
5,T6,T6,Jason Gore,83,15.0
6,T6,T6,J.J. Henry,100,15.0
7,T6,T6,Brenden Pappas,105,15.0
8,T9,T9,Woody Austin,107,14.0
9,T9,T9,Jim Furyk,104,14.0
10,T9,T9,Patrick Sheehan,101,14.0
11,T9,T9,Paul Stankowski,67,14.0
12,T13,T13,Briny Baird,113,13.0
13,T13,T13,David Gossett,92,13.0
14,T13,T13,Charles Howell III,120,13.0
15,T13,T13,Jerry Kelly,108,13.0
16,T13,T13,Pat Perez,95,13.0
17,T13,T13,Tim Petrovic,108,13.0
18,T13,T13,Vijay Singh,106,13.0
19,T20,T20,Ernie Els,65,12.0
20,T20,T20,Lee Janzen,83,12.0
21,T20,T20,J.L. Lewis,99,12.0
22,T20,T20,Davis Love III,85,12.0
23,T20,T20,Andrew Magee,91,12.0
24,T20,T20,David Peoples,96,12.0
25,T20,T20,Tom Pernice Jr.,105,12.0
26,T20,T20,Mike Sposa,72,12.0
27,T28,T28,Craig Barlow,95,11.0
28,T28,T28,Greg Chalmers,98,11.0
29,T28,T28,Mike Heinen,89,11.0
30,T28,T28,John Huston,76,11.0
31,T28,T28,Cliff Kresge,102,11.0
32,T28,T28,Hank Kuehne,73,11.0
33,T28,T28,Neal Lancaster,110,11.0
34,T28,T28,Frank Lickliter II,94,11.0
35,T28,T28,Carl Paulson,101,11.0
36,T28,T28,Chris Smith,92,11.0
37,T28,T28,Garrett Willis,97,11.0
38,T39,T39,Chris Anderson,96,10.0
39,T39,T39,Todd Barranger,78,10.0
40,T39,T39,Rich Beem,80,10.0
41,T39,T39,Tom Byrum,97,10.0
42,T39,T39,Darren Clarke,61,10.0
43,T39,T39,Chris DiMarco,98,10.0
44,T39,T39,Harrison Frazar,88,10.0
45,T39,T39,Sergio Garcia,62,10.0
46,T39,T39,Tim Herron,102,10.0
47,T39,T39,Steve Lowery,86,10.0
48,T39,T39,Shigeki Maruyama,87,10.0
49,T39,T39,Geoff Ogilvy,86,10.0
50,T39,T39,Kenneth Staton,59,10.0
51,T39,T39,Duffy Waldorf,90,10.0
52,T53,T53,Robert Allenby,87,9.0
53,T53,T53,Stephen Ames,91,9.0
54,T53,T53,Stuart Appleby,90,9.0
55,T53,T53,Aaron Baddeley,71,9.0
56,T53,T53,Notah Begay III,92,9.0
57,T53,T53,Bob Burns,88,9.0
58,T53,T53,John Daly,56,9.0
59,T53,T53,Steve Flesch,110,9.0
60,T53,T53,Brent Geiberger,51,9.0
61,T53,T53,Matt Gogel,77,9.0
62,T53,T53,Mathew Goggin,90,9.0
63,T53,T53,Tom Lehman,87,9.0
64,T53,T53,Phil Mickelson,87,9.0
65,T53,T53,Andy Miller,75,9.0
66,T53,T53,John Morgan,81,9.0
67,T53,T53,Jesper Parnevik,102,9.0
68,T53,T53,Craig Perks,82,9.0
69,T53,T53,Kenny Perry,98,9.0
70,T53,T53,John Senden,111,9.0
71,T53,T53,Mike Weir,80,9.0
72,T73,T73,Cameron Beckman,86,8.0
73,T73,T73,K.J. Choi,112,8.0
74,T73,T73,Stewart Cink,104,8.0
75,T73,T73,Marco Dawson,86,8.0
76,T73,T73,Glen Day,103,8.0
77,T73,T73,Brad Faxon,97,8.0
78,T73,T73,David Frost,80,8.0
79,T73,T73,Brian Gay,100,8.0
80,T73,T73,Paul Goydos,86,8.0
81,T73,T73,Brandt Jobe,77,8.0
82,T73,T73,Jonathan Kaye,91,8.0
83,T73,T73,Jeff Maggert,81,8.0
84,T73,T73,Billy Mayfair,105,8.0
85,T73,T73,David Sutherland,77,8.0
86,T73,T73,Kevin Sutherland,97,8.0
87,T73,T73,Esteban Toledo,109,8.0
88,T73,T73,David Toms,90,8.0
89,T90,T90,Tommy Armour III,66,7.0
90,T90,T90,Jeff Brehaut,110,7.0
91,T90,T90,Jonathan Byrd,101,7.0
92,T90,T90,Retief Goosen,69,7.0
93,T90,T90,Mike Grob,83,7.0
94,T90,T90,Dudley Hart,66,7.0
95,T90,T90,Len Mattiace,94,7.0
96,T90,T90,Scott McCarron,86,7.0
97,T90,T90,Spike McRoy,103,7.0
98,T90,T90,Rocco Mediate,80,7.0
99,T90,T90,Shaun Micheel,97,7.0
100,T90,T90,Anthony Painter,87,7.0
101,T90,T90,Chris Riley,96,7.0
102,T90,T90,Rory Sabbatini,95,7.0
103,T90,T90,Hal Sutton,81,7.0
104,T90,T90,Kirk Triplett,92,7.0
105,T90,T90,Bob Tway,89,7.0
106,T90,T90,Scott Verplank,97,7.0
107,T108,T108,Brian Bateman,70,6.0
108,T108,T108,Pat Bates,111,6.0
109,T108,T108,Alex Cejka,98,6.0
110,T108,T108,Tim Clark,79,6.0
111,T108,T108,Luke Donald,88,6.0
112,T108,T108,Todd Fischer,97,6.0
113,T108,T108,Fred Funk,112,6.0
114,T108,T108,Tom Gillis,71,6.0
115,T108,T108,Paul Gow,62,6.0
116,T108,T108,Jay Haas,89,6.0
117,T108,T108,Ian Leggatt,71,6.0
118,T108,T108,Thomas Levet,85,6.0
119,T108,T108,John Maginnes,87,6.0
120,T108,T108,Rod Pampling,87,6.0
121,T108,T108,Joey Sindelar,93,6.0
122,T108,T108,"Dave Stockton, Jr.",79,6.0
123,T108,T108,Hidemichi Tanaka,112,6.0
124,T108,T108,Jay Williamson,93,6.0
125,T126,T126,Jim Carter,95,5.0
126,T126,T126,José Coceres,62,5.0
127,T126,T126,Ben Crane,94,5.0
128,T126,T126,Dan Forsman,98,5.0
129,T126,T126,Glen Hnatiuk,92,5.0
130,T126,T126,Peter Jacobsen,75,5.0
131,T126,T126,Per-Ulrik Johansson,96,5.0
132,T126,T126,Skip Kendall,110,5.0
133,T126,T126,Kenichi Kuboya,91,5.0
134,T126,T126,Justin Leonard,80,5.0
135,T126,T126,Mark O'Meara,69,5.0
136,T126,T126,Arron Oberholser,80,5.0
137,T126,T126,Carl Pettersson,80,5.0
138,T126,T126,Nick Price,65,5.0
139,T126,T126,John Riegger,55,5.0
140,T126,T126,Gene Sauers,87,5.0
141,T126,T126,Adam Scott,52,5.0
142,T126,T126,Jeff Sluman,106,5.0
143,T126,T126,Ty Tryon,52,5.0
144,T126,T126,Vance Veazey,66,5.0
145,T126,T126,Cameron Yancey,58,5.0
146,T126,T126,Kaname Yokoo,56,5.0
147,T148,T148,Steven Alker,87,4.0
148,T148,T148,Billy Andrade,100,4.0
149,T148,T148,Paul Azinger,73,4.0
150,T148,T148,Aaron Barber,94,4.0
151,T148,T148,Doug Barron,90,4.0
