,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,74,+2.82,69.38,72.2
1,2,2,Vijay Singh,106,+2.56,69.11,71.67
2,3,3,Mike Weir,80,+2.23,69.89,72.12
3,4,4,Jim Furyk,104,+2.15,69.28,71.43
4,5,5,Ernie Els,65,+2.08,69.9,71.98
5,6,6,Retief Goosen,69,+1.99,69.73,71.72
6,7,7,Davis Love III,85,+1.94,69.78,71.72
7,8,8,Kenny Perry,98,+1.54,70.02,71.56
8,9,9,Fred Couples,71,+1.48,70.7,72.18
9,10,10,Chad Campbell,105,+1.45,69.91,71.36
10,11,11,Robert Allenby,87,+1.34,70.11,71.45
11,12,12,David Toms,90,+1.30,70.22,71.52
12,13,13,Scott Verplank,97,+1.26,69.93,71.19
13,14,14,Jay Haas,89,+1.22,70.3,71.52
14,T15,T15,Stewart Cink,104,+1.19,70.03,71.22
15,T15,T15,Darren Clarke,61,+1.19,70.85,72.04
16,17,17,Stuart Appleby,90,+1.17,70.53,71.7
17,18,18,Bob Estes,92,+1.13,70.21,71.34
18,19,19,Justin Leonard,80,+1.11,70.29,71.4
19,20,20,Briny Baird,113,+1.08,69.91,70.99
20,T21,T21,Brad Faxon,97,+1.03,70.76,71.79
21,T21,T21,Charles Howell III,120,+1.03,70.3,71.33
22,T23,T23,Stephen Ames,91,+1.02,70.02,71.04
23,T23,T23,Fred Funk,112,+1.02,70.3,71.32
24,T23,T23,Loren Roberts,87,+1.02,70.45,71.47
25,T26,T26,Chris DiMarco,98,+1.01,70.02,71.03
26,T26,T26,Jeff Sluman,106,+1.01,70.26,71.27
27,28,28,Nick Price,65,+.98,70.5,71.48
28,29,29,Kirk Triplett,92,+.96,70.44,71.4
29,30,30,Tim Petrovic,108,+.94,70.21,71.15
30,T31,T31,John Huston,76,+.93,70.08,71.01
31,T31,T31,Kevin Sutherland,97,+.93,70.66,71.59
32,33,33,Chris Riley,96,+.91,70.31,71.22
33,34,34,Robert Gamez,114,+.90,70.16,71.06
34,T35,T35,Jerry Kelly,108,+.89,70.46,71.35
35,T35,T35,Phil Mickelson,87,+.89,70.64,71.53
36,T37,T37,Dan Forsman,98,+.86,70.03,70.89
37,T37,T37,Tim Herron,102,+.86,70.31,71.17
38,T37,T37,Tom Lehman,87,+.86,70.46,71.32
39,T40,T40,Steve Flesch,110,+.84,70.44,71.28
40,T40,T40,Rod Pampling,87,+.84,70.19,71.03
41,42,42,Mark Calcavecchia,84,+.80,70.4,71.2
42,43,43,Bob Tway,89,+.78,70.31,71.09
43,44,44,Rocco Mediate,80,+.77,70.65,71.42
44,T45,T45,K.J. Choi,112,+.76,70.81,71.57
45,T45,T45,Adam Scott,52,+.76,71.61,72.37
