,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Vijay Singh,67.43,472,7
1,2,2,Chad Campbell,67.83,407,6
2,3,3,Chris DiMarco,68.2,341,5
3,4,4,Jay Haas,68.25,273,4
4,T5,T5,Mark Calcavecchia,68.5,274,4
5,T5,T5,Lee Janzen,68.5,274,4
6,T7,T7,Tim Clark,68.75,275,4
7,T7,T7,Tiger Woods,68.75,550,8
8,T9,T9,Brad Elder,69.0,138,2
9,T9,T9,Tim Petrovic,69.0,207,3
10,11,11,Scott Verplank,69.17,415,6
11,T12,T12,Geoff Ogilvy,69.25,554,8
12,T12,T12,Kirk Triplett,69.25,277,4
13,14,14,Len Mattiace,69.29,485,7
14,T15,T15,K.J. Choi,69.33,416,6
15,T15,T15,Steve Lowery,69.33,416,6
16,17,17,Hidemichi Tanaka,69.38,902,13
17,18,18,Joe Durant,69.44,625,9
18,19,19,Dan Forsman,69.45,764,11
19,T20,T20,Stephen Ames,69.5,417,6
20,T20,T20,Harrison Frazar,69.5,417,6
21,T20,T20,Jim Furyk,69.5,556,8
22,T20,T20,Retief Goosen,69.5,278,4
23,T20,T20,J.J. Henry,69.5,417,6
24,T20,T20,Davis Love III,69.5,556,8
25,T20,T20,Rory Sabbatini,69.5,417,6
26,T20,T20,John Senden,69.5,417,6
27,28,28,Neal Lancaster,69.57,487,7
28,T29,T29,Carlos Franco,69.6,348,5
29,T29,T29,David Frost,69.6,348,5
30,T31,T31,Billy Andrade,69.67,209,3
31,T31,T31,Cameron Beckman,69.67,418,6
32,T31,T31,Dudley Hart,69.67,209,3
33,34,34,Ian Leggatt,69.71,488,7
34,T35,T35,Charles Howell III,69.73,767,11
35,T35,T35,Jesper Parnevik,69.73,767,11
36,T37,T37,Ernie Els,69.75,558,8
37,T37,T37,Peter Jacobsen,69.75,279,4
38,T37,T37,Carl Paulson,69.75,558,8
39,T37,T37,Joey Sindelar,69.75,558,8
40,41,41,José Coceres,69.8,349,5
41,42,42,Jonathan Kaye,69.86,489,7
42,43,43,Fred Couples,69.88,559,8
43,T44,T44,Jeff Brehaut,70.0,840,12
44,T44,T44,Stewart Cink,70.0,630,9
45,T44,T44,John Huston,70.0,420,6
46,T44,T44,Brandt Jobe,70.0,210,3
47,T44,T44,Per-Ulrik Johansson,70.0,840,12
48,T44,T44,Richard Johnson,70.0,420,6
49,T44,T44,Anthony Painter,70.0,280,4
50,T44,T44,Tom Pernice Jr.,70.0,630,9
51,T44,T44,Dicky Pride,70.0,280,4
52,T44,T44,Adam Scott,70.0,140,2
53,54,54,Dean Wilson,70.1,701,10
54,T55,T55,Arron Oberholser,70.17,421,6
55,T55,T55,Brett Quigley,70.17,421,6
56,T57,T57,Woody Austin,70.2,351,5
57,T57,T57,David Peoples,70.2,351,5
58,59,59,Chris Riley,70.22,632,9
59,T60,T60,Brad Faxon,70.25,562,8
60,T60,T60,Kevin Sutherland,70.25,281,4
61,62,62,Mark Wilson,70.3,703,10
62,T63,T63,Aaron Baddeley,70.33,211,3
63,T63,T63,David Gossett,70.33,211,3
64,T63,T63,David Toms,70.33,422,6
65,T66,T66,Nick Price,70.4,352,5
66,T66,T66,Akio Sadakata,70.4,352,5
67,68,68,Chris Smith,70.44,634,9
68,T69,T69,Robert Gamez,70.5,282,4
69,T69,T69,Brent Geiberger,70.5,141,2
70,T69,T69,Mark O'Meara,70.5,282,4
71,T69,T69,John Rollins,70.5,423,6
72,73,73,Scott Laycock,70.55,776,11
73,T74,T74,Rich Beem,70.57,494,7
74,T74,T74,Carl Pettersson,70.57,494,7
75,T74,T74,Brent Schwarzrock,70.57,494,7
76,77,77,Billy Mayfair,70.6,353,5
77,78,78,Tommy Armour III,70.63,565,8
78,T79,T79,Tim Herron,70.67,424,6
79,T79,T79,J.L. Lewis,70.67,424,6
80,81,81,Jeff Sluman,70.73,778,11
