,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,1,1,Pat Perez,95,28
1,T2,T2,Aaron Baddeley,71,29
2,T2,T2,Chad Campbell,105,29
3,T2,T2,Ben Crane,94,29
4,T2,T2,Joe Durant,96,29
5,T2,T2,Jonathan Kaye,91,29
6,T2,T2,Vijay Singh,106,29
7,T2,T2,Hal Sutton,81,29
8,T9,T9,Stephen Ames,91,30
9,T9,T9,Stuart Appleby,90,30
10,T9,T9,Woody Austin,107,30
11,T9,T9,Briny Baird,113,30
12,T9,T9,Cameron Beckman,86,30
13,T9,T9,Rich Beem,80,30
14,T9,T9,Mark Brooks,90,30
15,T9,T9,Jonathan Byrd,101,30
16,T9,T9,Alex Cejka,98,30
17,T9,T9,Michael Clark II,54,30
18,T9,T9,Tim Clark,79,30
19,T9,T9,Glen Day,103,30
20,T9,T9,Bob Estes,92,30
21,T9,T9,Steve Flesch,110,30
22,T9,T9,Dan Forsman,98,30
23,T9,T9,Harrison Frazar,88,30
24,T9,T9,Jim Furyk,104,30
25,T9,T9,Robert Gamez,114,30
26,T9,T9,Tom Gillis,71,30
27,T9,T9,Paul Gow,62,30
28,T9,T9,Paul Goydos,86,30
29,T9,T9,Jay Haas,89,30
30,T9,T9,Charles Howell III,120,30
31,T9,T9,Peter Jacobsen,75,30
32,T9,T9,Per-Ulrik Johansson,96,30
33,T9,T9,Jerry Kelly,108,30
34,T9,T9,Cliff Kresge,102,30
35,T9,T9,Neal Lancaster,110,30
36,T9,T9,Tom Lehman,87,30
37,T9,T9,Justin Leonard,80,30
38,T9,T9,J.L. Lewis,99,30
39,T9,T9,Frank Lickliter II,94,30
40,T9,T9,Peter Lonard,96,30
41,T9,T9,Steve Lowery,86,30
42,T9,T9,Billy Mayfair,105,30
43,T9,T9,Scott McCarron,86,30
44,T9,T9,Rocco Mediate,80,30
45,T9,T9,Phil Mickelson,87,30
46,T9,T9,Arron Oberholser,80,30
47,T9,T9,Rod Pampling,87,30
48,T9,T9,Carl Paulson,101,30
49,T9,T9,Craig Perks,82,30
50,T9,T9,Kenny Perry,98,30
51,T9,T9,Tim Petrovic,108,30
52,T9,T9,Nick Price,65,30
53,T9,T9,Brett Quigley,92,30
54,T9,T9,Chris Riley,96,30
55,T9,T9,John Rollins,89,30
56,T9,T9,Adam Scott,52,30
57,T9,T9,Mike Sposa,72,30
58,T9,T9,Steve Stricker,59,30
59,T9,T9,David Toms,90,30
60,T9,T9,Kirk Triplett,92,30
61,T9,T9,Bob Tway,89,30
62,T9,T9,Scott Verplank,97,30
63,T9,T9,Duffy Waldorf,90,30
64,T9,T9,Dean Wilson,82,30
65,T9,T9,Tiger Woods,74,30
66,T67,T67,Robert Allenby,87,31
67,T67,T67,Chris Anderson,96,31
68,T67,T67,Billy Andrade,100,31
69,T67,T67,Tommy Armour III,66,31
70,T67,T67,Paul Azinger,73,31
71,T67,T67,Craig Barlow,95,31
72,T67,T67,Todd Barranger,78,31
73,T67,T67,Doug Barron,90,31
74,T67,T67,Pat Bates,111,31
75,T67,T67,Jay Don Blake,77,31
76,T67,T67,Jeff Brehaut,110,31
77,T67,T67,Olin Browne,113,31
78,T67,T67,Jason Buha,61,31
79,T67,T67,Bob Burns,88,31
80,T67,T67,Tom Byrum,97,31
81,T67,T67,Mark Calcavecchia,84,31
82,T67,T67,Greg Chalmers,98,31
83,T67,T67,K.J. Choi,112,31
84,T67,T67,Stewart Cink,104,31
85,T67,T67,Darren Clarke,61,31
86,T67,T67,Fred Couples,71,31
87,T67,T67,John Daly,56,31
88,T67,T67,Robert Damron,96,31
89,T67,T67,Marco Dawson,86,31
90,T67,T67,Chris DiMarco,98,31
91,T67,T67,Luke Donald,88,31
92,T67,T67,Ernie Els,65,31
93,T67,T67,Brad Faxon,97,31
94,T67,T67,Todd Fischer,97,31
95,T67,T67,Carlos Franco,99,31
96,T67,T67,David Frost,80,31
97,T67,T67,Fred Funk,112,31
98,T67,T67,Sergio Garcia,62,31
99,T67,T67,Brian Gay,100,31
100,T67,T67,Mathew Goggin,90,31
101,T67,T67,Retief Goosen,69,31
102,T67,T67,David Gossett,92,31
103,T67,T67,Mike Grob,83,31
104,T67,T67,Donnie Hammond,92,31
105,T67,T67,Dudley Hart,66,31
106,T67,T67,J.J. Henry,100,31
107,T67,T67,Tim Herron,102,31
108,T67,T67,Glen Hnatiuk,92,31
109,T67,T67,John Huston,76,31
110,T67,T67,Lee Janzen,83,31
111,T67,T67,Brandt Jobe,77,31
112,T67,T67,Richard Johnson,89,31
113,T67,T67,Davis Love III,85,31
114,T67,T67,Andrew Magee,91,31
115,T67,T67,Len Mattiace,94,31
116,T67,T67,Shaun Micheel,97,31
117,T67,T67,Andy Miller,75,31
118,T67,T67,John Morgan,81,31
119,T67,T67,Geoff Ogilvy,86,31
120,T67,T67,Deane Pappas,75,31
121,T67,T67,Brenden Pappas,105,31
122,T67,T67,Jesper Parnevik,102,31
123,T67,T67,David Peoples,96,31
124,T67,T67,Tom Pernice Jr.,105,31
125,T67,T67,Dicky Pride,73,31
126,T67,T67,John Riegger,55,31
127,T67,T67,Rory Sabbatini,95,31
128,T67,T67,Brent Schwarzrock,60,31
129,T67,T67,John Senden,111,31
130,T67,T67,Joey Sindelar,93,31
131,T67,T67,Heath Slocum,101,31
132,T67,T67,Jeff Sluman,106,31
133,T67,T67,Paul Stankowski,67,31
134,T67,T67,Kenneth Staton,59,31
135,T67,T67,Darron Stiles,93,31
136,T67,T67,"Dave Stockton, Jr.",79,31
137,T67,T67,David Sutherland,77,31
138,T67,T67,Esteban Toledo,109,31
139,T67,T67,Mike Weir,80,31
140,T67,T67,Jay Williamson,93,31
141,T67,T67,Garrett Willis,97,31
142,T67,T67,Cameron Yancey,58,31
143,T144,T144,Steven Alker,87,32
144,T144,T144,Steve Allan,53,32
145,T144,T144,Aaron Barber,94,32
146,T144,T144,Brian Bateman,70,32
147,T144,T144,Notah Begay III,92,32
148,T144,T144,Jim Carter,95,32
149,T144,T144,Gavin Coles,69,32
150,T144,T144,Ben Curtis,69,32
151,T144,T144,Brad Elder,51,32
152,T144,T144,Brent Geiberger,51,32
153,T144,T144,Matt Gogel,77,32
154,T144,T144,Jason Gore,83,32
155,T144,T144,J.P. Hayes,79,32
156,T144,T144,Mike Heinen,89,32
157,T144,T144,Brian Henninger,56,32
158,T144,T144,Kent Jones,74,32
159,T144,T144,Skip Kendall,110,32
160,T144,T144,Kenichi Kuboya,91,32
161,T144,T144,Matt Kuchar,63,32
162,T144,T144,Hank Kuehne,73,32
163,T144,T144,Bernhard Langer,65,32
164,T144,T144,Scott Laycock,71,32
165,T144,T144,Ian Leggatt,71,32
166,T144,T144,Thomas Levet,85,32
167,T144,T144,Jeff Maggert,81,32
168,T144,T144,John Maginnes,87,32
169,T144,T144,Shigeki Maruyama,87,32
170,T144,T144,Spike McRoy,103,32
171,T144,T144,Mark O'Meara,69,32
172,T144,T144,Anthony Painter,87,32
173,T144,T144,Corey Pavin,88,32
174,T144,T144,Carl Pettersson,80,32
175,T144,T144,Loren Roberts,87,32
176,T144,T144,Akio Sadakata,83,32
177,T144,T144,Gene Sauers,87,32
178,T144,T144,Patrick Sheehan,101,32
179,T144,T144,Chris Smith,92,32
180,T144,T144,Kevin Sutherland,97,32
181,T144,T144,Hidemichi Tanaka,112,32
182,T144,T144,Ty Tryon,52,32
183,T144,T144,Vance Veazey,66,32
184,T144,T144,Mark Wilson,82,32
185,T144,T144,Kaname Yokoo,56,32
186,T187,T187,Jason Caron,74,33
187,T187,T187,José Coceres,62,33
188,T187,T187,Joel Edwards,60,33
189,T187,T187,Jeff Klein,60,33
