,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Vijay Singh,106,68.97,4621,67
1,2,2,Tiger Woods,74,69.09,3109,45
2,3,3,Robert Allenby,87,69.43,3055,44
3,4,4,Davis Love III,85,69.5,3058,44
4,5,5,Dan Forsman,98,69.57,3061,44
5,6,6,Jim Furyk,104,69.61,3898,56
6,7,7,Kenny Perry,98,69.64,3691,53
7,8,8,Chris DiMarco,98,69.71,3346,48
8,9,9,Chris Riley,96,69.73,3556,51
9,10,10,John Huston,76,69.78,2582,37
10,T11,T11,Joe Durant,96,69.87,3144,45
11,T11,T11,Jerry Kelly,108,69.87,3843,55
12,13,13,Bob Estes,92,70.0,3360,48
13,14,14,Retief Goosen,69,70.02,2871,41
14,15,15,Ernie Els,65,70.03,2661,38
15,16,16,Chad Campbell,105,70.05,4063,58
16,17,17,Scott Verplank,97,70.08,3364,48
17,18,18,Hank Kuehne,73,70.09,2383,34
18,19,19,Brett Quigley,92,70.1,2874,41
19,T20,T20,Briny Baird,113,70.11,4557,65
20,T20,T20,Jonathan Kaye,91,70.11,3155,45
21,22,22,Bob Tway,89,70.13,3647,52
22,23,23,Kirk Triplett,92,70.15,2806,40
23,T24,T24,Stephen Ames,91,70.17,2877,41
24,T24,T24,Rod Pampling,87,70.17,3298,47
25,26,26,J.L. Lewis,99,70.22,2879,41
26,27,27,Loren Roberts,87,70.23,3020,43
27,T28,T28,Justin Leonard,80,70.24,2669,38
28,T28,T28,Mike Weir,80,70.24,2950,42
29,30,30,Aaron Baddeley,71,70.28,2249,32
30,31,31,Stewart Cink,104,70.29,3936,56
31,32,32,Shaun Micheel,97,70.3,3093,44
32,33,33,Carl Paulson,101,70.31,3164,45
33,T34,T34,Fred Couples,71,70.34,2673,38
34,T34,T34,Sergio Garcia,62,70.34,2040,29
35,T34,T34,Charles Howell III,120,70.34,4080,58
36,37,37,John Senden,111,70.38,3660,52
37,38,38,Tim Petrovic,108,70.39,4012,57
38,T39,T39,Jay Haas,89,70.4,2816,40
39,T39,T39,David Toms,90,70.4,2957,42
40,41,41,Hidemichi Tanaka,112,70.43,3803,54
41,42,42,Neal Lancaster,110,70.45,3452,49
