,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Jason Gore,30,90.91
1,2,2,Tom Lehman,25,88.89
2,3,3,Tiger Woods,18,88.24
3,4,4,Jim Furyk,27,87.5
4,5,5,Vijay Singh,27,84.62
5,T6,T6,Robert Allenby,24,84.21
6,T6,T6,Davis Love III,23,84.21
7,8,8,Jay Haas,25,83.33
8,9,9,Mike Heinen,29,80.0
9,10,10,Skip Kendall,30,79.17
10,11,11,Joe Durant,28,78.95
11,T12,T12,Brian Bateman,26,77.78
12,T12,T12,J.L. Lewis,31,77.78
13,T14,T14,Ben Curtis,21,76.92
14,T14,T14,Dean Wilson,27,76.92
15,16,16,Ernie Els,17,75.0
16,17,17,Stephen Ames,27,73.68
17,18,18,Chris Anderson,31,73.33
18,19,19,Marco Dawson,31,72.73
19,T20,T20,Stuart Appleby,27,72.22
20,T20,T20,Brenden Pappas,33,72.22
21,T20,T20,Patrick Sheehan,32,72.22
22,T23,T23,Tommy Armour III,23,70.0
23,T23,T23,Mike Sposa,25,70.0
24,T23,T23,Mark Wilson,30,70.0
25,T26,T26,Retief Goosen,19,68.75
26,T26,T26,Richard Johnson,28,68.75
27,28,28,Glen Day,31,68.42
28,29,29,Jerry Kelly,30,68.18
29,T30,T30,K.J. Choi,32,66.67
30,T30,T30,Matt Gogel,25,66.67
31,T30,T30,Gene Sauers,30,66.67
32,T30,T30,Mike Weir,21,66.67
33,T34,T34,Shaun Micheel,28,65.0
34,T34,T34,Rory Sabbatini,27,65.0
35,T36,T36,Luke Donald,27,64.71
36,T36,T36,Jonathan Kaye,27,64.71
37,T36,T36,John Rollins,27,64.71
38,T36,T36,Joey Sindelar,29,64.71
39,T36,T36,Bob Tway,26,64.71
40,41,41,Brian Gay,34,64.29
41,T42,T42,Steve Allan,18,62.5
42,T42,T42,Chad Campbell,27,62.5
43,T42,T42,Geoff Ogilvy,26,62.5
44,T42,T42,Pat Perez,33,62.5
45,T46,T46,Bob Estes,25,61.9
46,T46,T46,Dan Forsman,27,61.9
47,T46,T46,Tim Herron,29,61.9
48,T49,T49,Mike Grob,27,61.54
49,T49,T49,Hank Kuehne,23,61.54
50,T51,T51,Mark Calcavecchia,24,61.11
51,T51,T51,Chris Riley,29,61.11
52,T53,T53,Paul Azinger,26,60.0
53,T53,T53,Michael Clark II,21,60.0
54,T53,T53,David Frost,26,60.0
55,T53,T53,Tom Gillis,25,60.0
56,T53,T53,Scott Laycock,25,60.0
57,T53,T53,Peter Lonard,26,60.0
58,T53,T53,Loren Roberts,24,60.0
59,T53,T53,Adam Scott,14,60.0
60,T53,T53,Kaname Yokoo,22,60.0
61,T62,T62,Chris DiMarco,27,59.09
62,T62,T62,Scott Verplank,26,59.09
63,64,64,Craig Barlow,29,58.82
64,T65,T65,Anthony Painter,31,58.33
65,T65,T65,Paul Stankowski,21,58.33
66,T67,T67,Billy Andrade,29,57.89
67,T67,T67,Ben Crane,27,57.89
68,T67,T67,Duffy Waldorf,25,57.89
69,T70,T70,Todd Barranger,31,57.14
70,T70,T70,Jonathan Byrd,29,57.14
71,T70,T70,Carl Pettersson,26,57.14
72,T70,T70,Kenneth Staton,22,57.14
73,T70,T70,"Dave Stockton, Jr.",31,57.14
74,T70,T70,Vance Veazey,26,57.14
75,T76,T76,Fred Funk,33,56.52
76,T76,T76,Kenny Perry,26,56.52
77,T78,T78,Justin Leonard,23,56.25
78,T78,T78,Thomas Levet,26,56.25
79,T78,T78,Frank Lickliter II,30,56.25
80,T78,T78,Shigeki Maruyama,28,56.25
81,T78,T78,Hal Sutton,24,56.25
82,T83,T83,Kevin Sutherland,27,55.0
83,T83,T83,Kirk Triplett,25,55.0
84,85,85,John Morgan,29,54.55
85,T86,T86,Dudley Hart,22,53.85
86,T86,T86,J.P. Hayes,25,53.85
87,T86,T86,Dicky Pride,23,53.85
88,T89,T89,Notah Begay III,30,53.33
89,T89,T89,Bob Burns,28,53.33
