,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,74,68.415,4718,- 65.794,68
1,2,2,Vijay Singh,106,68.649,7049,- 46.769,102
2,3,3,Mike Weir,80,68.969,5242,- 69.343,75
3,4,4,Ernie Els,65,68.991,4194,- 54.549,60
4,5,5,Jim Furyk,104,69.102,6997,- 17.712,101
5,6,6,Retief Goosen,69,69.20100000000001,4463,- 34.116,64
6,7,7,Davis Love III,85,69.41,5513,- 29.585,79
7,8,8,Kenny Perry,98,69.57300000000001,6792,- 43.371,97
8,9,9,Chad Campbell,105,69.68,7131,- 23.682,102
9,10,10,Robert Allenby,87,69.751,5609,- 28.899,80
10,11,11,Fred Couples,71,69.809,4737,- 59.770,67
11,12,12,David Toms,90,69.862,5688,- 29.152,81
12,13,13,Scott Verplank,97,69.876,6713,- 4.939,96
13,14,14,Darren Clarke,61,69.906,3826,- 51.076,54
14,15,15,Jay Haas,89,69.911,5835,- 32.390,83
15,16,16,Loren Roberts,87,69.965,6059,- 42.041,86
16,17,17,Bob Estes,92,70.062,6389,- 13.331,91
17,18,18,Stewart Cink,104,70.081,7003,5.052,100
18,19,19,Fred Funk,112,70.082,7663,- 24.068,109
19,T20,T20,Briny Baird,113,70.119,7620,23.024,109
20,T20,T20,Brad Faxon,97,70.119,6722,- 60.721,95
21,22,22,Nick Price,65,70.12,4371,- 23.552,62
22,23,23,Stuart Appleby,90,70.157,5995,- 31.674,85
23,24,24,Justin Leonard,80,70.173,5272,- 9.051,75
24,25,25,Charles Howell III,120,70.208,8084,- 10.042,115
25,26,26,Phil Mickelson,87,70.249,5651,- 31.059,80
26,27,27,Chris Riley,96,70.259,6328,- 4.673,90
27,28,28,Tim Petrovic,108,70.286,7302,7.710,104
28,29,29,Chris DiMarco,98,70.292,6512,25.126,93
29,30,30,Peter Lonard,96,70.293,6395,- 68.609,90
30,31,31,Jeff Sluman,106,70.30199999999999,7307,4.439,104
31,32,32,Adam Scott,52,70.33,3294,- 58.823,46
32,33,33,Mark Calcavecchia,84,70.334,5914,- 5.978,84
33,T34,T34,K.J. Choi,112,70.35,7506,- 48.882,106
34,T34,T34,Dan Forsman,98,70.35,6863,31.278,98
35,36,36,Jonathan Kaye,91,70.36,6228,- 36.337,88
36,37,37,Tim Herron,102,70.366,7031,5.646,100
37,38,38,Robert Gamez,114,70.38600000000001,7998,26.058,114
