,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Vijay Singh,106,4.41,450,102
1,2,2,John Huston,76,4.28,321,75
2,3,3,Tiger Woods,74,4.26,290,68
3,4,4,Mark Calcavecchia,84,4.23,355,84
4,5,5,Chris DiMarco,98,4.19,390,93
5,6,6,Retief Goosen,69,4.17,267,64
6,7,7,Stephen Ames,91,4.15,369,89
7,T8,T8,Robert Allenby,87,4.1,328,80
8,T8,T8,Hank Kuehne,73,4.1,291,71
9,T8,T8,Scott Verplank,97,4.1,394,96
10,T11,T11,Robert Gamez,114,4.09,466,114
11,T11,T11,Davis Love III,85,4.09,323,79
12,13,13,Phil Mickelson,87,4.04,323,80
13,T14,T14,Brenden Pappas,105,4.03,415,103
14,T14,T14,Mike Weir,80,4.03,302,75
15,T16,T16,Stewart Cink,104,4.01,401,100
16,T16,T16,Steve Flesch,110,4.01,433,108
17,T18,T18,Woody Austin,107,4.0,416,104
18,T18,T18,Fred Couples,71,4.0,268,67
19,T18,T18,Jim Furyk,104,4.0,404,101
20,T18,T18,Geoff Ogilvy,86,4.0,328,82
21,T18,T18,Paul Stankowski,67,4.0,268,67
22,T23,T23,Paul Goydos,86,3.95,328,83
23,T23,T23,Mike Heinen,89,3.95,348,88
24,T23,T23,Rod Pampling,87,3.95,328,83
25,T26,T26,Stuart Appleby,90,3.92,333,85
26,T26,T26,Justin Leonard,80,3.92,294,75
27,T26,T26,Deane Pappas,75,3.92,286,73
28,T29,T29,Craig Barlow,95,3.91,364,93
29,T29,T29,Chad Campbell,105,3.91,399,102
30,T29,T29,Tim Herron,102,3.91,391,100
31,32,32,Kent Jones,74,3.9,273,70
32,T33,T33,Ben Crane,94,3.89,358,92
33,T33,T33,Scott McCarron,86,3.89,315,81
34,T35,T35,Cameron Beckman,86,3.88,322,83
35,T35,T35,Skip Kendall,110,3.88,427,110
36,T37,T37,Jonathan Byrd,101,3.87,391,101
37,T37,T37,Glen Day,103,3.87,391,101
38,T37,T37,Jerry Kelly,108,3.87,402,104
39,T37,T37,Tom Lehman,87,3.87,317,82
40,T37,T37,John Rollins,89,3.87,329,85
41,T42,T42,Bob Estes,92,3.86,351,91
42,T42,T42,Brent Schwarzrock,60,3.86,224,58
43,T44,T44,Aaron Baddeley,71,3.84,257,67
44,T44,T44,David Sutherland,77,3.84,280,73
45,T46,T46,Briny Baird,113,3.83,418,109
46,T46,T46,Joe Durant,96,3.83,368,96
47,T48,T48,Billy Andrade,100,3.82,382,100
48,T48,T48,Tom Pernice Jr.,105,3.82,390,102
49,T50,T50,Tim Petrovic,108,3.81,396,104
50,T50,T50,Carl Pettersson,80,3.81,301,79
51,52,52,Duffy Waldorf,90,3.8,327,86
52,T53,T53,Jeff Brehaut,110,3.79,406,107
53,T53,T53,Chris Riley,96,3.79,341,90
54,T53,T53,David Toms,90,3.79,307,81
55,T53,T53,Kirk Triplett,92,3.79,341,90
56,T57,T57,Darren Clarke,61,3.78,204,54
57,T57,T57,Harrison Frazar,88,3.78,321,85
58,T57,T57,J.P. Hayes,79,3.78,299,79
59,T57,T57,Brett Quigley,92,3.78,333,88
60,T57,T57,John Senden,111,3.78,404,107
61,T57,T57,Patrick Sheehan,101,3.78,374,99
62,63,63,Kenny Perry,98,3.75,364,97
63,T64,T64,David Gossett,92,3.74,344,92
64,T64,T64,Steve Lowery,86,3.74,299,80
65,T66,T66,Jay Haas,89,3.73,310,83
66,T66,T66,Rory Sabbatini,95,3.73,347,93
67,T68,T68,Charles Howell III,120,3.72,428,115
68,T68,T68,Per-Ulrik Johansson,96,3.72,357,96
69,70,70,Carl Paulson,101,3.71,375,101
70,71,71,Ernie Els,65,3.7,222,60
71,72,72,Jeff Sluman,106,3.69,384,104
72,T73,T73,Greg Chalmers,98,3.68,350,95
73,T73,T73,Dicky Pride,73,3.68,269,73
74,T73,T73,Bob Tway,89,3.68,313,85
75,T76,T76,Alex Cejka,98,3.67,334,91
76,T76,T76,Dan Forsman,98,3.67,360,98
77,T76,T76,Peter Jacobsen,75,3.67,275,75
78,T76,T76,Jeff Maggert,81,3.67,297,81
79,T76,T76,Rocco Mediate,80,3.67,286,78
80,T81,T81,Jonathan Kaye,91,3.66,322,88
81,T81,T81,Garrett Willis,97,3.66,351,96
82,T83,T83,Scott Laycock,71,3.65,252,69
83,T83,T83,Hidemichi Tanaka,112,3.65,409,112
84,T85,T85,Tommy Armour III,66,3.64,233,64
85,T85,T85,Luke Donald,88,3.64,320,88
86,T85,T85,Todd Fischer,97,3.64,346,95
87,T88,T88,Brent Geiberger,51,3.63,185,51
88,T88,T88,Frank Lickliter II,94,3.63,330,91
89,T88,T88,Shaun Micheel,97,3.63,341,94
90,T88,T88,Nick Price,65,3.63,225,62
91,T88,T88,Kevin Sutherland,97,3.63,341,94
92,T88,T88,Hal Sutton,81,3.63,294,81
93,94,94,Heath Slocum,101,3.62,355,98
94,T95,T95,Olin Browne,113,3.61,397,110
95,T95,T95,Marco Dawson,86,3.61,303,84
96,T95,T95,Fred Funk,112,3.61,393,109
97,T95,T95,Brandt Jobe,77,3.61,278,77
98,T99,T99,Carlos Franco,99,3.6,349,97
99,T99,T99,David Peoples,96,3.6,346,96
100,T101,T101,Brad Faxon,97,3.59,341,95
101,T101,T101,David Frost,80,3.59,287,80
102,T101,T101,J.L. Lewis,99,3.59,348,97
103,T101,T101,Dean Wilson,82,3.59,294,82
104,105,105,Darron Stiles,93,3.58,322,90
105,T106,T106,K.J. Choi,112,3.57,378,106
106,T106,T106,Michael Clark II,54,3.57,193,54
107,T106,T106,Jason Gore,83,3.57,296,83
108,109,109,John Riegger,55,3.56,185,52
109,T110,T110,Neal Lancaster,110,3.55,380,107
110,T110,T110,Andrew Magee,91,3.55,316,89
111,T110,T110,Andy Miller,75,3.55,266,75
112,T113,T113,Aaron Barber,94,3.54,333,94
113,T113,T113,John Daly,56,3.54,198,56
114,T113,T113,Peter Lonard,96,3.54,319,90
115,T113,T113,Chris Smith,92,3.54,326,92
116,117,117,Matt Gogel,77,3.53,258,73
117,118,118,Billy Mayfair,105,3.52,370,105
118,T119,T119,Tim Clark,79,3.51,274,78
119,T119,T119,Arron Oberholser,80,3.51,281,80
120,121,121,Cliff Kresge,102,3.5,350,100
121,122,122,Sergio Garcia,62,3.49,199,57
122,T123,T123,Todd Barranger,78,3.48,261,75
123,T123,T123,Brian Bateman,70,3.48,233,67
124,T123,T123,Pat Bates,111,3.48,376,108
125,T123,T123,Brian Henninger,56,3.48,195,56
126,T123,T123,Lee Janzen,83,3.48,278,80
127,T123,T123,Shigeki Maruyama,87,3.48,296,85
128,T123,T123,Jesper Parnevik,102,3.48,348,100
129,T123,T123,Akio Sadakata,83,3.48,282,81
130,131,131,Tom Gillis,71,3.47,236,68
131,132,132,Paul Gow,62,3.45,214,62
132,T133,T133,Doug Barron,90,3.44,303,88
133,T133,T133,"Dave Stockton, Jr.",79,3.44,265,77
134,T135,T135,Ian Leggatt,71,3.43,233,68
135,T135,T135,Craig Perks,82,3.43,271,79
136,T135,T135,Mike Sposa,72,3.43,240,70
137,T138,T138,Kenichi Kuboya,91,3.42,304,89
138,T138,T138,Spike McRoy,103,3.42,345,101
139,T138,T138,Loren Roberts,87,3.42,294,86
140,T138,T138,Esteban Toledo,109,3.42,362,106
141,T142,T142,Rich Beem,80,3.4,262,77
142,T142,T142,Brian Gay,100,3.4,330,97
143,T142,T142,Richard Johnson,89,3.4,303,89
144,T145,T145,Jay Don Blake,77,3.39,254,75
145,T145,T145,Donnie Hammond,92,3.39,312,92
146,T145,T145,John Morgan,81,3.39,268,79
147,T148,T148,Mike Grob,83,3.38,274,81
148,T148,T148,Pat Perez,95,3.38,314,93
149,T148,T148,Vance Veazey,66,3.38,223,66
150,151,151,Adam Scott,52,3.37,155,46
151,152,152,Mathew Goggin,90,3.36,289,86
152,153,153,Thomas Levet,85,3.35,278,83
153,154,154,José Coceres,62,3.34,207,62
154,T155,T155,J.J. Henry,100,3.33,320,96
155,T155,T155,Joey Sindelar,93,3.33,303,91
156,T157,T157,Notah Begay III,92,3.31,298,90
157,T157,T157,Mark Brooks,90,3.31,288,87
158,T157,T157,Matt Kuchar,63,3.31,202,61
159,160,160,Steve Stricker,59,3.3,185,56
160,161,161,Tom Byrum,97,3.29,319,97
161,162,162,Chris Anderson,96,3.28,315,96
162,T163,T163,Jason Buha,61,3.26,189,58
163,T163,T163,Ty Tryon,52,3.26,163,50
164,T165,T165,Bernhard Langer,65,3.25,208,64
165,T165,T165,Mark Wilson,82,3.25,260,80
166,T167,T167,Robert Damron,96,3.23,310,96
167,T167,T167,Dudley Hart,66,3.23,213,66
168,T167,T167,John Maginnes,87,3.23,281,87
169,170,170,Mark O'Meara,69,3.22,216,67
170,T171,T171,Jason Caron,74,3.2,227,71
171,T171,T171,Cameron Yancey,58,3.2,179,56
172,T173,T173,Anthony Painter,87,3.19,271,85
173,T173,T173,Gene Sauers,87,3.19,271,85
174,175,175,Paul Azinger,73,3.16,231,73
175,T176,T176,Bob Burns,88,3.15,265,84
176,T176,T176,Jim Carter,95,3.15,293,93
177,T176,T176,Glen Hnatiuk,92,3.15,280,89
178,T176,T176,Corey Pavin,88,3.15,271,86
179,180,180,Jay Williamson,93,3.14,289,92
180,T181,T181,Joel Edwards,60,3.13,188,60
181,T181,T181,Len Mattiace,94,3.13,291,93
182,183,183,Ben Curtis,69,3.12,215,69
183,184,184,Kaname Yokoo,56,3.09,167,54
184,185,185,Brad Elder,51,3.08,151,49
185,186,186,Kenneth Staton,59,3.04,173,57
186,187,187,Steve Allan,53,3.02,148,49
187,188,188,Steven Alker,87,3.0,255,85
188,189,189,Jeff Klein,60,2.79,162,58
189,190,190,Gavin Coles,69,2.53,167,66
