,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,106,3.95,4341,1098
1,2,2,Jim Furyk,104,3.96,4319,1091
2,3,3,Stephen Ames,91,3.97,3651,920
3,T4,T4,Briny Baird,113,3.99,4650,1165
4,T4,T4,Chad Campbell,105,3.99,4382,1097
5,T4,T4,Dan Forsman,98,3.99,4170,1045
6,T4,T4,Kirk Triplett,92,3.99,3766,943
7,T8,T8,Woody Austin,107,4.0,4315,1079
8,T8,T8,Glen Day,103,4.0,4209,1051
9,T8,T8,Retief Goosen,69,4.0,2769,692
10,T8,T8,Peter Jacobsen,75,4.0,3121,781
11,T8,T8,Skip Kendall,110,4.0,4511,1129
12,T8,T8,Davis Love III,85,4.0,3311,828
13,T8,T8,Kenny Perry,98,4.0,4134,1034
14,T15,T15,Robert Allenby,87,4.01,3497,873
15,T15,T15,Pat Bates,111,4.01,4513,1125
16,T15,T15,Cameron Beckman,86,4.01,3549,884
17,T15,T15,Stewart Cink,104,4.01,4259,1061
18,T15,T15,Chris DiMarco,98,4.01,4008,999
19,T15,T15,Joe Durant,96,4.01,4077,1017
20,T15,T15,Ernie Els,65,4.01,2630,656
21,T15,T15,Harrison Frazar,88,4.01,3600,897
22,T15,T15,Robert Gamez,114,4.01,4807,1199
23,T15,T15,Paul Goydos,86,4.01,3517,877
24,T15,T15,Tim Herron,102,4.01,4265,1063
25,T15,T15,John Huston,76,4.01,3112,776
26,T15,T15,Brandt Jobe,77,4.01,3247,810
27,T15,T15,Jerry Kelly,108,4.01,4373,1090
28,T15,T15,Andrew Magee,91,4.01,3775,941
29,T15,T15,Rod Pampling,87,4.01,3544,884
30,T15,T15,Tim Petrovic,108,4.01,4438,1107
31,T15,T15,Jeff Sluman,106,4.01,4420,1103
32,T15,T15,Hal Sutton,81,4.01,3448,860
33,T15,T15,Bob Tway,89,4.01,3655,911
34,T15,T15,Mike Weir,80,4.01,3194,796
35,T36,T36,Stuart Appleby,90,4.02,3646,907
36,T36,T36,Jeff Brehaut,110,4.02,4477,1115
37,T36,T36,Bob Estes,92,4.02,3954,983
38,T36,T36,Fred Funk,112,4.02,4740,1180
39,T36,T36,Tom Gillis,71,4.02,2902,721
40,T36,T36,J.J. Henry,100,4.02,4048,1006
41,T36,T36,Justin Leonard,80,4.02,3215,800
42,T36,T36,Rocco Mediate,80,4.02,3349,834
43,T36,T36,Shaun Micheel,97,4.02,4044,1005
44,T36,T36,Arron Oberholser,80,4.02,3418,851
45,T36,T36,Tom Pernice Jr.,105,4.02,4286,1065
46,T36,T36,Chris Riley,96,4.02,3900,971
47,T36,T36,Patrick Sheehan,101,4.02,4220,1049
48,T36,T36,Scott Verplank,97,4.02,4177,1039
49,T36,T36,Duffy Waldorf,90,4.02,3619,901
50,T51,T51,Billy Andrade,100,4.03,4234,1051
51,T51,T51,Alex Cejka,98,4.03,3944,979
52,T51,T51,Steve Flesch,110,4.03,4581,1137
53,T51,T51,David Frost,80,4.03,3383,839
54,T51,T51,Paul Gow,62,4.03,2647,657
55,T51,T51,Charles Howell III,120,4.03,4975,1235
56,T51,T51,Per-Ulrik Johansson,96,4.03,4095,1015
57,T51,T51,Richard Johnson,89,4.03,3788,941
58,T51,T51,Kent Jones,74,4.03,2980,739
59,T51,T51,Neal Lancaster,110,4.03,4483,1113
60,T51,T51,Deane Pappas,75,4.03,3068,761
61,T51,T51,David Peoples,96,4.03,4026,999
62,T51,T51,Dicky Pride,73,4.03,3102,769
63,T51,T51,Brett Quigley,92,4.03,3714,922
64,T51,T51,Mike Sposa,72,4.03,2980,739
65,T51,T51,Hidemichi Tanaka,112,4.03,4739,1176
66,T51,T51,David Toms,90,4.03,3522,874
67,T51,T51,Tiger Woods,74,4.03,2947,732
68,T69,T69,Aaron Barber,94,4.04,3922,971
69,T69,T69,Craig Barlow,95,4.04,3922,971
70,T69,T69,Olin Browne,113,4.04,4712,1167
71,T69,T69,Jonathan Byrd,101,4.04,4347,1077
72,T69,T69,Mark Calcavecchia,84,4.04,3605,893
73,T69,T69,Fred Couples,71,4.04,2879,712
74,T69,T69,Ben Crane,94,4.04,3896,965
75,T69,T69,David Gossett,92,4.04,3845,952
76,T69,T69,Hank Kuehne,73,4.04,2998,742
77,T69,T69,Scott Laycock,71,4.04,2937,727
78,T69,T69,Tom Lehman,87,4.04,3509,869
79,T69,T69,Billy Mayfair,105,4.04,4477,1109
80,T69,T69,Scott McCarron,86,4.04,3437,851
81,T69,T69,Spike McRoy,103,4.04,4265,1055
82,T69,T69,Brenden Pappas,105,4.04,4356,1077
83,T69,T69,Nick Price,65,4.04,2764,684
84,T69,T69,John Riegger,55,4.04,2230,552
85,T69,T69,Joey Sindelar,93,4.04,3845,952
86,T69,T69,Paul Stankowski,67,4.04,2786,689
87,T69,T69,Kevin Sutherland,97,4.04,4008,993
88,T89,T89,Chris Anderson,96,4.05,4092,1011
89,T89,T89,Notah Begay III,92,4.05,3858,953
90,T89,T89,Darren Clarke,61,4.05,2384,589
91,T89,T89,Brad Faxon,97,4.05,4132,1021
92,T89,T89,Carlos Franco,99,4.05,4128,1019
93,T89,T89,Brent Geiberger,51,4.05,2174,537
94,T89,T89,Jay Haas,89,4.05,3634,898
95,T89,T89,J.P. Hayes,79,4.05,3363,831
96,T89,T89,Mike Heinen,89,4.05,3678,909
97,T89,T89,Glen Hnatiuk,92,4.05,3790,936
98,T89,T89,Jonathan Kaye,91,4.05,3882,959
99,T89,T89,Cliff Kresge,102,4.05,4228,1045
100,T89,T89,Steve Lowery,86,4.05,3380,835
101,T89,T89,Phil Mickelson,87,4.05,3479,859
102,T89,T89,Carl Paulson,101,4.05,4296,1061
103,T89,T89,Loren Roberts,87,4.05,3796,938
104,T89,T89,Brent Schwarzrock,60,4.05,2457,606
105,T89,T89,John Senden,111,4.05,4541,1121
106,T89,T89,Jay Williamson,93,4.05,3965,979
107,T108,T108,Steve Allan,53,4.06,2130,524
108,T108,T108,Tommy Armour III,66,4.06,2774,683
109,T108,T108,Aaron Baddeley,71,4.06,2907,716
110,T108,T108,Doug Barron,90,4.06,3728,919
111,T108,T108,Brian Bateman,70,4.06,2837,699
112,T108,T108,Tom Byrum,97,4.06,4209,1037
113,T108,T108,Tim Clark,79,4.06,3351,826
114,T108,T108,Robert Damron,96,4.06,4075,1004
115,T108,T108,Matt Gogel,77,4.06,3116,767
116,T108,T108,Donnie Hammond,92,4.06,3857,949
117,T108,T108,Brian Henninger,56,4.06,2447,602
118,T108,T108,Matt Kuchar,63,4.06,2597,640
119,T108,T108,Shigeki Maruyama,87,4.06,3685,908
120,T108,T108,Geoff Ogilvy,86,4.06,3446,849
121,T108,T108,Corey Pavin,88,4.06,3702,912
122,T108,T108,Carl Pettersson,80,4.06,3358,828
123,T108,T108,Heath Slocum,101,4.06,4147,1022
124,T108,T108,Garrett Willis,97,4.06,4085,1007
125,T126,T126,Mark Brooks,90,4.07,3677,903
126,T126,T126,Greg Chalmers,98,4.07,4055,997
127,T126,T126,Marco Dawson,86,4.07,3625,891
128,T126,T126,Todd Fischer,97,4.07,4015,987
129,T126,T126,Brian Gay,100,4.07,4188,1029
130,T126,T126,Mike Grob,83,4.07,3490,857
131,T126,T126,J.L. Lewis,99,4.07,4223,1038
132,T126,T126,John Maginnes,87,4.07,3728,915
133,T126,T126,Jesper Parnevik,102,4.07,4313,1059
134,T126,T126,John Rollins,89,4.07,3701,909
135,T126,T126,Rory Sabbatini,95,4.07,4046,995
136,T126,T126,David Sutherland,77,4.07,3021,743
137,T126,T126,Esteban Toledo,109,4.07,4537,1115
138,T126,T126,Dean Wilson,82,4.07,3540,869
139,T140,T140,Paul Azinger,73,4.08,3154,773
140,T140,T140,Jay Don Blake,77,4.08,3251,797
141,T140,T140,K.J. Choi,112,4.08,4673,1144
142,T140,T140,Ben Curtis,69,4.08,2982,730
143,T140,T140,Luke Donald,88,4.08,3826,938
144,T140,T140,Sergio Garcia,62,4.08,2618,641
145,T140,T140,Dudley Hart,66,4.08,2851,698
146,T140,T140,Lee Janzen,83,4.08,3473,851
147,T140,T140,Bernhard Langer,65,4.08,2774,680
148,T140,T140,Frank Lickliter II,94,4.08,3923,961
149,T140,T140,Peter Lonard,96,4.08,3996,980
150,T140,T140,Jeff Maggert,81,4.08,3448,846
151,T140,T140,Len Mattiace,94,4.08,4092,1003
152,T140,T140,Akio Sadakata,83,4.08,3492,856
153,T140,T140,Adam Scott,52,4.08,2047,502
154,T140,T140,Darron Stiles,93,4.08,3874,949
155,T140,T140,Mark Wilson,82,4.08,3407,835
156,T157,T157,Rich Beem,80,4.09,3398,831
157,T157,T157,Bob Burns,88,4.09,3662,895
158,T157,T157,Mathew Goggin,90,4.09,3649,893
159,T157,T157,Ian Leggatt,71,4.09,2962,724
160,T157,T157,Thomas Levet,85,4.09,3535,865
161,T157,T157,John Morgan,81,4.09,3386,828
162,T157,T157,Pat Perez,95,4.09,3949,965
163,T157,T157,Chris Smith,92,4.09,3944,964
164,T157,T157,Steve Stricker,59,4.09,2405,588
165,T166,T166,Michael Clark II,54,4.1,2304,562
166,T166,T166,Jason Gore,83,4.1,3562,869
167,T166,T166,Gene Sauers,87,4.1,3687,899
168,T169,T169,Steven Alker,87,4.11,3658,891
169,T169,T169,Jim Carter,95,4.11,4018,978
170,T169,T169,Joel Edwards,60,4.11,2633,640
171,T169,T169,Brad Elder,51,4.11,2148,523
172,T169,T169,Kenichi Kuboya,91,4.11,3814,927
173,T169,T169,Andy Miller,75,4.11,3209,781
174,T169,T169,Vance Veazey,66,4.11,2843,691
175,T176,T176,Jason Buha,61,4.12,2550,619
176,T176,T176,Jason Caron,74,4.12,3053,741
177,T176,T176,Mark O'Meara,69,4.12,2920,708
178,T176,T176,Anthony Painter,87,4.12,3658,887
179,T176,T176,"Dave Stockton, Jr.",79,4.12,3294,799
180,T181,T181,Gavin Coles,69,4.13,2859,693
181,T181,T181,Craig Perks,82,4.13,3422,829
182,T181,T181,Kenneth Staton,59,4.13,2451,594
183,T181,T181,Cameron Yancey,58,4.13,2408,583
184,185,185,Kaname Yokoo,56,4.14,2382,575
185,186,186,Todd Barranger,78,4.15,3255,784
186,T187,T187,Jeff Klein,60,4.16,2532,609
187,T187,T187,Ty Tryon,52,4.16,2140,515
188,189,189,José Coceres,62,4.17,2704,648
189,190,190,John Daly,56,4.19,2424,578
