,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Jim Furyk,104,3.92,1711,437
1,T1,T1,Retief Goosen,69,3.92,808,206
2,T3,T3,Briny Baird,113,3.94,1837,466
3,T3,T3,Chad Campbell,105,3.94,1794,455
4,T5,T5,Mark Calcavecchia,84,3.96,1716,433
5,T5,T5,Fred Funk,112,3.96,2174,549
6,T5,T5,Mike Weir,80,3.96,1221,308
7,T8,T8,Stephen Ames,91,3.97,1973,497
8,T8,T8,Robert Gamez,114,3.97,2246,566
9,T8,T8,Nick Price,65,3.97,1049,264
10,T11,T11,Cameron Beckman,86,3.98,1776,446
11,T11,T11,Skip Kendall,110,3.98,2486,624
12,T11,T11,Dicky Pride,73,3.98,1599,402
13,T11,T11,Patrick Sheehan,101,3.98,2233,561
14,T11,T11,Vijay Singh,106,3.98,1302,327
15,T11,T11,Kevin Sutherland,97,3.98,1825,458
16,T17,T17,Billy Andrade,100,3.99,2191,549
17,T17,T17,Tom Gillis,71,3.99,1524,382
18,T17,T17,Paul Goydos,86,3.99,1542,386
19,T17,T17,Tim Herron,102,3.99,2168,543
20,T17,T17,Justin Leonard,80,3.99,1479,371
21,T17,T17,Davis Love III,85,3.99,1281,321
22,T17,T17,Rod Pampling,87,3.99,1541,386
23,T17,T17,Jeff Sluman,106,3.99,2156,541
24,T17,T17,Hal Sutton,81,3.99,1714,430
25,T17,T17,Kirk Triplett,92,3.99,2009,504
26,T17,T17,Scott Verplank,97,3.99,1917,480
27,T28,T28,Stuart Appleby,90,4.0,1789,447
28,T28,T28,Woody Austin,107,4.0,2066,517
29,T28,T28,Stewart Cink,104,4.0,1846,462
30,T28,T28,Glen Day,103,4.0,2030,508
31,T28,T28,Brandt Jobe,77,4.0,1642,411
32,T28,T28,Andrew Magee,91,4.0,1886,472
