,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Hank Kuehne,73,20.07,54,269
1,2,2,Tiger Woods,74,19.75,31,157
2,3,3,Ernie Els,65,19.69,25,127
3,4,4,Phil Mickelson,87,19.59,48,245
4,5,5,Charles Howell III,120,19.55,61,312
5,T6,T6,Chris DiMarco,98,19.05,40,210
6,T6,T6,Sergio Garcia,62,19.05,24,126
7,8,8,Kent Jones,74,19.02,31,163
8,9,9,Ty Tryon,52,18.83,29,154
9,10,10,Dudley Hart,66,18.67,28,150
10,11,11,Carlos Franco,99,18.24,58,318
11,12,12,Cameron Beckman,86,18.22,39,214
12,13,13,Retief Goosen,69,18.12,27,149
13,14,14,Geoff Ogilvy,86,18.11,44,243
14,15,15,David Sutherland,77,18.09,34,188
15,16,16,Mike Sposa,72,17.92,38,212
16,17,17,Mark Calcavecchia,84,17.77,35,197
17,18,18,Vijay Singh,106,17.62,46,261
18,19,19,Patrick Sheehan,101,17.56,49,279
19,20,20,David Toms,90,17.55,33,188
20,21,21,Davis Love III,85,17.49,32,183
21,22,22,Brenden Pappas,105,17.46,55,315
22,23,23,Woody Austin,107,17.39,52,299
23,24,24,Jason Gore,83,17.37,45,259
24,25,25,Stuart Appleby,90,17.31,36,208
25,26,26,Brandt Jobe,77,17.09,34,199
26,27,27,Tim Petrovic,108,17.07,42,246
27,28,28,Kirk Triplett,92,16.94,31,183
28,29,29,John Senden,111,16.92,45,266
29,30,30,Chris Riley,96,16.91,35,207
30,31,31,Harrison Frazar,88,16.9,36,213
31,32,32,Skip Kendall,110,16.82,36,214
32,33,33,Mike Heinen,89,16.74,36,215
33,34,34,Andy Miller,75,16.67,36,216
34,35,35,Deane Pappas,75,16.53,39,236
35,36,36,Kevin Sutherland,97,16.45,38,231
36,37,37,José Coceres,62,16.43,23,140
37,T38,T38,John Daly,56,16.4,31,189
38,T38,T38,Rod Pampling,87,16.4,31,189
39,40,40,Mike Weir,80,16.35,26,159
40,41,41,Duffy Waldorf,90,16.33,32,196
41,42,42,Scott McCarron,86,16.26,33,203
42,43,43,Fred Couples,71,16.22,24,148
43,44,44,John Morgan,81,16.15,42,260
44,45,45,John Riegger,55,16.07,18,112
45,46,46,Dean Wilson,82,15.98,35,219
46,47,47,Briny Baird,113,15.95,41,257
47,48,48,Tim Clark,79,15.91,21,132
48,49,49,Darren Clarke,61,15.84,16,101
49,50,50,Jesper Parnevik,102,15.83,38,240
