,Par_3_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_3_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_3_Birdie_or_Better_Leaders_PLAYER NAME,Par_3_Birdie_or_Better_Leaders_ROUNDS,Par_3_Birdie_or_Better_Leaders_%,Par_3_Birdie_or_Better_Leaders_PAR 3 BIRDIES OR BETTER,Par_3_Birdie_or_Better_Leaders_PAR 3 HOLES
0,1,1,John Daly,56,18.5,42,227
1,2,2,Tiger Woods,74,18.38,50,272
2,3,3,Mark Calcavecchia,84,18.21,63,346
3,4,4,Scott Verplank,97,18.13,70,386
4,5,5,Fred Couples,71,17.71,48,271
5,6,6,Chris Riley,96,17.68,64,362
6,7,7,John Huston,76,17.65,54,306
7,8,8,Mike Weir,80,17.26,53,307
8,9,9,Brent Geiberger,51,16.59,34,205
9,10,10,Nick Price,65,16.39,40,244
10,11,11,Paul Goydos,86,16.32,55,337
11,12,12,Carl Pettersson,80,16.3,52,319
12,13,13,Briny Baird,113,16.29,72,442
13,14,14,Mike Heinen,89,16.16,58,359
14,15,15,Brenden Pappas,105,16.11,68,422
15,16,16,Retief Goosen,69,16.02,41,256
16,17,17,David Peoples,96,15.95,63,395
17,18,18,Bob Estes,92,15.93,58,364
18,T19,T19,Cameron Beckman,86,15.87,53,334
19,T19,T19,Paul Stankowski,67,15.87,43,271
20,T21,T21,Brian Gay,100,15.86,62,391
21,T21,T21,Steve Stricker,59,15.86,36,227
22,23,23,Ernie Els,65,15.83,38,240
23,24,24,Loren Roberts,87,15.76,55,349
24,25,25,Dicky Pride,73,15.72,47,299
25,26,26,Hal Sutton,81,15.71,52,331
26,27,27,Chris DiMarco,98,15.68,58,370
27,T28,T28,Billy Andrade,100,15.61,64,410
28,T28,T28,David Sutherland,77,15.61,47,301
29,T30,T30,Ben Crane,94,15.59,58,372
30,T30,T30,Shigeki Maruyama,87,15.59,53,340
31,T32,T32,Jonathan Kaye,91,15.54,55,354
32,T32,T32,Heath Slocum,101,15.54,62,399
33,34,34,Matt Gogel,77,15.36,45,293
34,35,35,Tom Lehman,87,15.32,51,333
35,T36,T36,Robert Allenby,87,15.31,49,320
36,T36,T36,Joe Durant,96,15.31,60,392
37,38,38,Brian Henninger,56,15.28,35,229
38,39,39,Woody Austin,107,15.13,64,423
39,40,40,Dean Wilson,82,15.11,50,331
40,41,41,Brandt Jobe,77,15.02,47,313
41,42,42,Robert Gamez,114,14.99,70,467
42,43,43,Michael Clark II,54,14.93,33,221
43,44,44,Esteban Toledo,109,14.92,64,429
44,45,45,Vijay Singh,106,14.91,61,409
45,T46,T46,Olin Browne,113,14.86,67,451
46,T46,T46,David Frost,80,14.86,48,323
47,48,48,Hidemichi Tanaka,112,14.79,67,453
48,49,49,David Toms,90,14.72,48,326
49,50,50,John Senden,111,14.71,64,435
50,51,51,Scott McCarron,86,14.68,48,327
51,52,52,Jay Haas,89,14.67,49,334
52,53,53,Akio Sadakata,83,14.63,48,328
53,54,54,Steve Flesch,110,14.61,64,438
54,55,55,Luke Donald,88,14.49,51,352
55,56,56,Lee Janzen,83,14.42,47,326
56,57,57,David Gossett,92,14.4,54,375
57,58,58,Kent Jones,74,14.39,41,285
58,59,59,John Riegger,55,14.35,30,209
59,60,60,Ian Leggatt,71,14.34,39,272
60,61,61,Dan Forsman,98,14.32,57,398
61,62,62,J.L. Lewis,99,14.25,56,393
62,63,63,Davis Love III,85,14.24,46,323
63,64,64,Brett Quigley,92,14.13,51,361
64,65,65,Marco Dawson,86,14.12,48,340
65,66,66,Brent Schwarzrock,60,14.1,33,234
66,67,67,Scott Laycock,71,14.08,39,277
67,68,68,Cliff Kresge,102,14.07,57,405
68,69,69,Jay Don Blake,77,14.05,43,306
69,70,70,Chad Campbell,105,14.01,58,414
70,71,71,Ben Curtis,69,13.98,39,279
71,72,72,Aaron Baddeley,71,13.92,38,273
72,73,73,José Coceres,62,13.89,35,252
73,74,74,J.P. Hayes,79,13.88,44,317
74,75,75,Billy Mayfair,105,13.82,59,427
75,76,76,Stewart Cink,104,13.79,56,406
76,77,77,Robert Damron,96,13.78,54,392
77,78,78,Tim Herron,102,13.76,56,407
78,79,79,Spike McRoy,103,13.73,56,408
79,80,80,Per-Ulrik Johansson,96,13.66,53,388
80,81,81,Kenny Perry,98,13.53,54,399
81,82,82,Richard Johnson,89,13.5,49,363
82,83,83,Tom Byrum,97,13.49,53,393
83,T84,T84,Craig Barlow,95,13.46,51,379
84,T84,T84,Jim Carter,95,13.46,51,379
