,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Vijay Singh,106,25.22,463,1836,12
1,2,2,Tiger Woods,74,25.0,306,1224,26
2,3,3,John Huston,76,24.59,332,1350,20
3,4,4,Chris DiMarco,98,23.89,400,1674,61
4,5,5,Retief Goosen,69,23.78,274,1152,9
5,6,6,Robert Gamez,114,23.73,487,2052,67
6,7,7,Hank Kuehne,73,23.63,302,1278,102
7,8,8,Mark Calcavecchia,84,23.61,357,1512,126
8,9,9,Stephen Ames,91,23.6,378,1602,34
9,10,10,Davis Love III,85,23.56,335,1422,30
10,11,11,Robert Allenby,87,23.4,337,1440,15
11,12,12,Paul Stankowski,67,23.38,282,1206,14
12,13,13,Scott Verplank,97,23.21,401,1728,53
13,14,14,Brenden Pappas,105,23.19,430,1854,58
14,15,15,Phil Mickelson,87,23.06,332,1440,108
15,16,16,Mike Weir,80,23.04,311,1350,85
16,17,17,Jim Furyk,104,22.99,418,1818,6
17,18,18,Woody Austin,107,22.97,430,1872,48
18,19,19,Geoff Ogilvy,86,22.9,338,1476,108
19,20,20,Steve Flesch,110,22.74,442,1944,70
20,21,21,Stewart Cink,104,22.72,409,1800,98
21,T22,T22,Chad Campbell,105,22.66,416,1836,4
22,T22,T22,Mike Heinen,89,22.66,359,1584,8
23,24,24,Fred Couples,71,22.55,272,1206,127
24,25,25,Paul Goydos,86,22.49,336,1494,114
25,26,26,Craig Barlow,95,22.4,375,1674,65
26,27,27,Rod Pampling,87,22.36,334,1494,79
27,28,28,Stuart Appleby,90,22.35,342,1530,95
28,29,29,Tim Herron,102,22.28,401,1800,87
29,30,30,Jerry Kelly,108,22.17,415,1872,34
30,31,31,Justin Leonard,80,22.15,299,1350,100
31,T32,T32,Cameron Beckman,86,22.09,330,1494,55
32,T32,T32,Tom Lehman,87,22.09,326,1476,5
33,T32,T32,Scott McCarron,86,22.09,322,1458,144
34,35,35,Deane Pappas,75,22.07,290,1314,170
35,36,36,Aaron Baddeley,71,22.06,266,1206,183
36,37,37,Darren Clarke,61,22.02,214,972,139
37,38,38,Kent Jones,74,21.98,277,1260,41
38,39,39,Briny Baird,113,21.97,431,1962,2
39,40,40,Glen Day,103,21.95,399,1818,46
40,T41,T41,Ben Crane,94,21.92,363,1656,122
41,T41,T41,David Sutherland,77,21.92,288,1314,10
42,43,43,Tom Pernice Jr.,105,21.9,402,1836,123
43,44,44,Jonathan Byrd,101,21.89,398,1818,136
44,45,45,Tim Petrovic,108,21.85,409,1872,92
45,46,46,Skip Kendall,110,21.82,432,1980,72
46,T47,T47,Patrick Sheehan,101,21.77,388,1782,105
47,T47,T47,Duffy Waldorf,90,21.77,337,1548,36
48,49,49,John Rollins,89,21.76,333,1530,169
49,50,50,Brent Schwarzrock,60,21.74,227,1044,74
50,T51,T51,Ernie Els,65,21.67,234,1080,28
51,T51,T51,Bob Estes,92,21.67,355,1638,60
52,53,53,Harrison Frazar,88,21.63,331,1530,51
53,54,54,David Toms,90,21.6,315,1458,40
54,55,55,David Gossett,92,21.56,357,1656,31
55,56,56,Carl Pettersson,80,21.52,306,1422,128
56,T57,T57,Chris Riley,96,21.48,348,1620,176
57,T57,T57,Kirk Triplett,92,21.48,348,1620,19
58,59,59,Joe Durant,96,21.47,371,1728,1
59,60,60,Steve Lowery,86,21.46,309,1440,110
60,T61,T61,Billy Andrade,100,21.44,386,1800,124
61,T61,T61,Jeff Brehaut,110,21.44,413,1926,16
62,T61,T61,John Senden,111,21.44,413,1926,7
63,64,64,Kenny Perry,98,21.36,373,1746,20
64,65,65,Charles Howell III,120,21.3,441,2070,43
65,66,66,Carlos Franco,99,21.25,371,1746,29
66,67,67,Carl Paulson,101,21.23,386,1818,71
67,68,68,Brett Quigley,92,21.21,336,1584,86
68,69,69,J.P. Hayes,79,21.17,301,1422,83
69,T70,T70,Jay Haas,89,21.15,316,1494,117
70,T70,T70,Rory Sabbatini,95,21.15,354,1674,137
71,72,72,Brent Geiberger,51,21.13,194,918,111
72,73,73,Greg Chalmers,98,21.11,361,1710,174
73,T74,T74,Per-Ulrik Johansson,96,20.95,362,1728,93
74,T74,T74,Garrett Willis,97,20.95,362,1728,128
75,T76,T76,Jeff Maggert,81,20.92,305,1458,97
76,T76,T76,Bob Tway,89,20.92,320,1530,11
77,78,78,Rocco Mediate,80,20.87,293,1404,56
78,79,79,Darron Stiles,93,20.86,338,1620,90
79,T80,T80,Tommy Armour III,66,20.83,240,1152,80
80,T80,T80,Jonathan Kaye,91,20.83,330,1584,52
81,T82,T82,Jason Gore,83,20.82,311,1494,181
82,T82,T82,Frank Lickliter II,94,20.82,341,1638,102
83,84,84,Jeff Sluman,106,20.78,389,1872,24
84,85,85,Alex Cejka,98,20.76,340,1638,66
85,86,86,Peter Jacobsen,75,20.74,280,1350,62
86,87,87,David Peoples,96,20.72,358,1728,13
87,88,88,Dan Forsman,98,20.69,365,1764,3
88,89,89,Hal Sutton,81,20.64,301,1458,24
89,T90,T90,Brandt Jobe,77,20.63,286,1386,47
90,T90,T90,Kevin Sutherland,97,20.63,349,1692,44
91,T92,T92,J.L. Lewis,99,20.62,360,1746,82
92,T92,T92,Dicky Pride,73,20.62,271,1314,99
93,94,94,Nick Price,65,20.61,230,1116,154
94,95,95,Hidemichi Tanaka,112,20.59,415,2016,33
95,T96,T96,Luke Donald,88,20.58,326,1584,94
96,T96,T96,Todd Fischer,97,20.58,352,1710,148
97,T98,T98,Marco Dawson,86,20.57,311,1512,32
98,T98,T98,Shaun Micheel,97,20.57,348,1692,23
99,100,100,John Daly,56,20.54,207,1008,132
100,101,101,David Frost,80,20.49,295,1440,151
101,102,102,Andrew Magee,91,20.47,328,1602,39
102,103,103,Scott Laycock,71,20.45,254,1242,149
103,104,104,Brad Faxon,97,20.41,349,1710,160
104,T105,T105,Sergio Garcia,62,20.37,209,1026,78
105,T105,T105,Andy Miller,75,20.37,275,1350,171
106,107,107,Chris Smith,92,20.35,337,1656,18
107,108,108,Fred Funk,112,20.34,399,1962,57
108,109,109,Matt Gogel,77,20.32,267,1314,145
109,T110,T110,Neal Lancaster,110,20.3,391,1926,63
110,T110,T110,John Riegger,55,20.3,190,936,38
111,112,112,Heath Slocum,101,20.29,358,1764,59
112,113,113,Olin Browne,113,20.25,401,1980,76
113,114,114,K.J. Choi,112,20.23,386,1908,67
114,115,115,Michael Clark II,54,20.16,196,972,77
115,116,116,Lee Janzen,83,20.14,290,1440,112
116,117,117,Dean Wilson,82,20.12,297,1476,141
117,118,118,Todd Barranger,78,20.07,271,1350,180
118,119,119,Cliff Kresge,102,20.06,361,1800,90
119,T120,T120,Shigeki Maruyama,87,20.0,306,1530,106
120,T120,T120,Billy Mayfair,105,20.0,378,1890,69
121,T120,T120,Mike Sposa,72,20.0,252,1260,104
122,T123,T123,Tim Clark,79,19.94,280,1404,101
123,T123,T123,Peter Lonard,96,19.94,323,1620,119
124,125,125,Aaron Barber,94,19.92,337,1692,81
125,126,126,Arron Oberholser,80,19.86,286,1440,87
126,127,127,Jesper Parnevik,102,19.83,357,1800,113
127,128,128,Brian Bateman,70,19.82,239,1206,53
128,129,129,Tom Gillis,71,19.77,242,1224,50
129,130,130,Paul Gow,62,19.71,220,1116,107
130,131,131,Craig Perks,82,19.69,280,1422,155
131,132,132,Pat Bates,111,19.65,382,1944,37
132,T133,T133,Rich Beem,80,19.62,272,1386,152
133,T133,T133,Akio Sadakata,83,19.62,286,1458,75
134,135,135,"Dave Stockton, Jr.",79,19.55,271,1386,162
135,T136,T136,Ian Leggatt,71,19.53,239,1224,42
136,T136,T136,Pat Perez,95,19.53,327,1674,159
137,138,138,John Morgan,81,19.48,277,1422,164
138,T139,T139,J.J. Henry,100,19.39,335,1728,20
139,T139,T139,Esteban Toledo,109,19.39,370,1908,84
140,141,141,Doug Barron,90,19.38,307,1584,158
141,T142,T142,Brian Gay,100,19.36,338,1746,163
142,T142,T142,Spike McRoy,103,19.36,352,1818,27
143,144,144,Brian Henninger,56,19.35,195,1008,161
144,145,145,Adam Scott,52,19.32,160,828,168
145,146,146,Kenichi Kuboya,91,19.29,309,1602,130
146,147,147,Mike Grob,83,19.27,281,1458,64
147,148,148,Mathew Goggin,90,19.25,298,1548,45
148,149,149,Vance Veazey,66,19.19,228,1188,165
149,150,150,Richard Johnson,89,19.16,307,1602,130
150,151,151,Loren Roberts,87,19.12,296,1548,152
151,152,152,Jay Don Blake,77,19.04,257,1350,120
152,153,153,Thomas Levet,85,19.01,284,1494,49
153,154,154,José Coceres,62,19.0,212,1116,184
154,155,155,Donnie Hammond,92,18.96,314,1656,96
155,156,156,Notah Begay III,92,18.95,307,1620,143
156,157,157,Joey Sindelar,93,18.86,309,1638,17
157,158,158,Tom Byrum,97,18.84,329,1746,156
158,159,159,Chris Anderson,96,18.81,325,1728,133
159,160,160,Ty Tryon,52,18.67,168,900,189
