,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Vijay Singh,106,34.36,235,684
1,2,2,Hank Kuehne,73,33.48,149,445
2,3,3,Tiger Woods,74,33.4,156,467
3,4,4,Fred Couples,71,32.68,117,358
4,5,5,Robert Allenby,87,31.87,181,568
5,6,6,Retief Goosen,69,31.48,119,378
6,7,7,John Huston,76,31.24,194,621
7,8,8,Stewart Cink,104,31.21,235,753
8,9,9,Chris DiMarco,98,30.89,211,683
9,10,10,John Rollins,89,30.71,172,560
10,11,11,Woody Austin,107,30.54,233,763
11,12,12,Geoff Ogilvy,86,30.46,184,604
12,13,13,Stephen Ames,91,30.24,238,787
13,14,14,Davis Love III,85,30.22,165,546
14,15,15,Adam Scott,52,30.06,95,316
15,16,16,Jonathan Byrd,101,30.04,210,699
16,17,17,Robert Gamez,114,29.71,268,902
17,18,18,Duffy Waldorf,90,29.7,199,670
18,19,19,Jerry Kelly,108,29.69,239,805
19,20,20,Aaron Baddeley,71,29.67,135,455
20,21,21,Darren Clarke,61,29.65,110,371
21,22,22,Steve Flesch,110,29.64,257,867
22,23,23,Jim Furyk,104,29.54,239,809
23,24,24,Phil Mickelson,87,29.53,114,386
24,25,25,Justin Leonard,80,29.51,180,610
25,26,26,Tim Herron,102,29.38,238,810
26,27,27,Jay Haas,89,29.32,190,648
27,28,28,Mark Calcavecchia,84,29.26,182,622
28,29,29,Stuart Appleby,90,29.19,181,620
29,30,30,Deane Pappas,75,29.1,156,536
30,31,31,Paul Stankowski,67,28.99,149,514
31,32,32,Tom Pernice Jr.,105,28.92,223,771
32,33,33,Mike Weir,80,28.83,143,496
33,34,34,Brett Quigley,92,28.77,185,643
34,35,35,Bob Tway,89,28.61,202,706
35,36,36,Tom Lehman,87,28.52,160,561
36,37,37,Chad Campbell,105,28.48,231,811
37,38,38,Greg Chalmers,98,28.35,216,762
38,39,39,Craig Barlow,95,28.3,225,795
39,40,40,Ben Crane,94,28.2,194,688
40,41,41,Kenny Perry,98,28.18,204,724
