,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,74,4.35,435,100
1,2,2,Vijay Singh,106,4.43,700,158
2,3,3,Carlos Franco,99,4.48,726,162
3,T4,T4,Aaron Baddeley,71,4.5,491,109
4,T4,T4,Rod Pampling,87,4.5,585,130
5,T6,T6,Cameron Beckman,86,4.51,618,137
6,T6,T6,Sergio Garcia,62,4.51,343,76
7,8,8,Geoff Ogilvy,86,4.52,638,141
8,T9,T9,Chad Campbell,105,4.54,718,158
9,T9,T9,Retief Goosen,69,4.54,427,94
10,T9,T9,Peter Lonard,96,4.54,604,133
11,12,12,Robert Gamez,114,4.55,869,191
12,T13,T13,Luke Donald,88,4.56,671,147
13,T13,T13,Tim Petrovic,108,4.56,762,167
14,T15,T15,Briny Baird,113,4.57,782,171
15,T15,T15,Mike Grob,83,4.57,580,127
16,T15,T15,Charles Howell III,120,4.57,828,181
17,T15,T15,Frank Lickliter II,94,4.57,690,151
18,T19,T19,K.J. Choi,112,4.58,760,166
19,T19,T19,Stewart Cink,104,4.58,728,159
20,T19,T19,John Senden,111,4.58,829,181
21,T19,T19,David Toms,90,4.58,563,123
22,T23,T23,Davis Love III,85,4.59,601,131
23,T23,T23,Joey Sindelar,93,4.59,688,150
24,T25,T25,Craig Barlow,95,4.6,750,163
25,T25,T25,Fred Couples,71,4.6,492,107
26,T25,T25,Marco Dawson,86,4.6,607,132
27,T25,T25,Jim Furyk,104,4.6,704,153
28,T25,T25,Brent Geiberger,51,4.6,419,91
29,T25,T25,Justin Leonard,80,4.6,557,121
30,T25,T25,Shaun Micheel,97,4.6,704,153
31,T25,T25,Patrick Sheehan,101,4.6,731,159
32,T25,T25,Duffy Waldorf,90,4.6,671,146
33,T34,T34,Jeff Brehaut,110,4.61,872,189
34,T34,T34,Greg Chalmers,98,4.61,761,165
35,T34,T34,Chris DiMarco,98,4.61,673,146
36,T34,T34,Ian Leggatt,71,4.61,502,109
37,T34,T34,Arron Oberholser,80,4.61,604,131
38,T34,T34,John Riegger,55,4.61,387,84
39,T34,T34,Mike Sposa,72,4.61,526,114
40,T34,T34,Paul Stankowski,67,4.61,595,129
41,T34,T34,David Sutherland,77,4.61,627,136
42,T34,T34,Bob Tway,89,4.61,622,135
43,T44,T44,John Huston,76,4.62,615,133
44,T44,T44,Lee Janzen,83,4.62,582,126
45,T44,T44,Per-Ulrik Johansson,96,4.62,721,156
46,T44,T44,Kent Jones,74,4.62,508,110
47,T44,T44,Neal Lancaster,110,4.62,836,181
48,T44,T44,Kenny Perry,98,4.62,702,152
49,T44,T44,John Rollins,89,4.62,624,135
50,T44,T44,Darron Stiles,93,4.62,665,144
51,T44,T44,Scott Verplank,97,4.62,675,146
52,T53,T53,Tommy Armour III,66,4.63,468,101
53,T53,T53,Dan Forsman,98,4.63,740,160
54,T53,T53,Brandt Jobe,77,4.63,593,128
55,T53,T53,Cliff Kresge,102,4.63,759,164
56,T53,T53,Kevin Sutherland,97,4.63,754,163
57,T53,T53,Hidemichi Tanaka,112,4.63,889,192
58,T59,T59,Stephen Ames,91,4.64,761,164
59,T59,T59,Jonathan Byrd,101,4.64,747,161
60,T59,T59,Tim Clark,79,4.64,580,125
61,T59,T59,Ben Crane,94,4.64,737,159
62,T59,T59,John Daly,56,4.64,478,103
63,T59,T59,Harrison Frazar,88,4.64,659,142
64,T59,T59,David Gossett,92,4.64,751,162
65,T59,T59,J.P. Hayes,79,4.64,627,135
66,T59,T59,Tim Herron,102,4.64,743,160
67,T59,T59,Billy Mayfair,105,4.64,812,175
68,T59,T59,Craig Perks,82,4.64,635,137
69,T59,T59,Brett Quigley,92,4.64,650,140
70,T59,T59,Kenneth Staton,59,4.64,441,95
71,T59,T59,Kirk Triplett,92,4.64,710,153
72,T73,T73,Jason Gore,83,4.65,642,138
73,T73,T73,Jerry Kelly,108,4.65,846,182
74,T73,T73,Brenden Pappas,105,4.65,827,178
75,T73,T73,Carl Paulson,101,4.65,786,169
76,T73,T73,Loren Roberts,87,4.65,595,128
77,T78,T78,Doug Barron,90,4.66,680,146
78,T78,T78,Mark Calcavecchia,84,4.66,620,133
79,T78,T78,Joe Durant,96,4.66,723,155
80,T78,T78,Joel Edwards,60,4.66,433,93
81,T78,T78,Ernie Els,65,4.66,373,80
82,T78,T78,Fred Funk,112,4.66,755,162
83,T78,T78,Tom Gillis,71,4.66,485,104
84,T78,T78,Jay Haas,89,4.66,587,126
85,T78,T78,J.J. Henry,100,4.66,774,166
86,T78,T78,Hank Kuehne,73,4.66,541,116
87,T78,T78,Steve Lowery,86,4.66,624,134
88,T78,T78,Phil Mickelson,87,4.66,582,125
89,T78,T78,Pat Perez,95,4.66,765,164
90,T78,T78,Rory Sabbatini,95,4.66,685,147
91,T78,T78,Chris Smith,92,4.66,760,163
92,T78,T78,Esteban Toledo,109,4.66,835,179
93,T78,T78,Mike Weir,80,4.66,564,121
94,T95,T95,Steve Flesch,110,4.67,826,177
95,T95,T95,Jonathan Kaye,91,4.67,589,126
96,T95,T95,Shigeki Maruyama,87,4.67,658,141
97,T95,T95,Len Mattiace,94,4.67,658,141
98,T95,T95,Deane Pappas,75,4.67,574,123
99,T95,T95,Jeff Sluman,106,4.67,804,172
100,T101,T101,Robert Allenby,87,4.68,543,116
101,T101,T101,Bob Estes,92,4.68,646,138
102,T101,T101,Todd Fischer,97,4.68,754,161
103,T101,T101,David Frost,80,4.68,618,132
104,T101,T101,J.L. Lewis,99,4.68,721,154
