,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Dan Forsman,98,10.56,36,341
1,2,2,Ernie Els,65,10.96,24,219
2,3,3,Len Mattiace,94,11.39,32,281
3,4,4,Jeff Sluman,106,11.51,42,365
4,5,5,Justin Leonard,80,11.66,33,283
5,6,6,Jim Furyk,104,11.73,46,392
6,7,7,Mike Weir,80,11.78,35,297
7,8,8,Jeff Maggert,81,11.89,34,286
8,9,9,David Toms,90,11.96,36,301
9,10,10,Brandt Jobe,77,12.04,33,274
10,11,11,Adam Scott,52,12.08,18,149
11,12,12,Scott Verplank,97,12.11,46,380
12,13,13,Bob Estes,92,12.21,42,344
13,14,14,Alex Cejka,98,12.46,40,321
14,15,15,Bernhard Langer,65,12.56,25,199
15,16,16,Brian Henninger,56,12.57,23,183
16,17,17,Briny Baird,113,12.59,52,413
17,18,18,Bob Tway,89,12.79,38,297
18,19,19,Kenny Perry,98,12.86,45,350
19,20,20,Vijay Singh,106,13.04,57,437
20,21,21,Davis Love III,85,13.07,43,329
21,22,22,Paul Stankowski,67,13.11,35,267
22,23,23,Brett Quigley,92,13.13,42,320
23,24,24,Steve Lowery,86,13.15,38,289
24,25,25,Stephen Ames,91,13.2,47,356
25,T26,T26,Mark Calcavecchia,84,13.31,45,338
26,T26,T26,Joe Durant,96,13.31,47,353
27,28,28,Jerry Kelly,108,13.35,53,397
28,T29,T29,Ben Crane,94,13.51,47,348
29,T29,T29,David Peoples,96,13.51,45,333
30,31,31,Notah Begay III,92,13.54,39,288
31,32,32,Dicky Pride,73,13.55,34,251
32,33,33,Jonathan Kaye,91,13.59,42,309
33,34,34,Garrett Willis,97,13.66,47,344
34,35,35,Arron Oberholser,80,13.7,37,270
35,36,36,Pat Bates,111,13.76,49,356
36,T37,T37,Steven Alker,87,13.82,34,246
37,T37,T37,John Maginnes,87,13.82,38,275
38,T39,T39,Brad Faxon,97,13.94,46,330
39,T39,T39,Dudley Hart,66,13.94,29,208
40,41,41,Jay Haas,89,13.95,42,301
41,42,42,Brian Bateman,70,14.04,32,228
42,43,43,Chris DiMarco,98,14.06,54,384
43,44,44,Chad Campbell,105,14.14,56,396
44,45,45,Neal Lancaster,110,14.17,53,374
45,46,46,Cliff Kresge,102,14.24,48,337
46,47,47,Fred Funk,112,14.25,53,372
47,48,48,David Frost,80,14.34,40,279
48,49,49,Lee Janzen,83,14.49,40,276
49,50,50,Tom Gillis,71,14.61,32,219
50,51,51,Retief Goosen,69,14.62,38,260
51,T52,T52,Glen Day,103,14.7,56,381
52,T52,T52,Harrison Frazar,88,14.7,46,313
53,54,54,K.J. Choi,112,14.71,54,367
54,55,55,Tiger Woods,74,14.74,42,285
55,56,56,Glen Hnatiuk,92,14.76,40,271
56,57,57,Nick Price,65,14.8,33,223
57,58,58,Kent Jones,74,14.83,39,263
58,59,59,Rod Pampling,87,14.84,46,310
59,60,60,Heath Slocum,101,14.91,51,342
60,61,61,Duffy Waldorf,90,14.95,48,321
61,62,62,John Riegger,55,15.0,27,180
62,63,63,Chris Riley,96,15.15,50,330
63,T64,T64,Steve Flesch,110,15.24,64,420
64,T64,T64,Kirk Triplett,92,15.24,50,328
65,66,66,Andrew Magee,91,15.26,47,308
66,67,67,Stewart Cink,104,15.28,59,386
67,T68,T68,Jim Carter,95,15.3,43,281
68,T68,T68,Rocco Mediate,80,15.3,43,281
69,T70,T70,Woody Austin,107,15.38,62,403
70,T70,T70,Carl Paulson,101,15.38,56,364
71,72,72,Matt Gogel,77,15.42,39,253
72,73,73,Aaron Baddeley,71,15.44,40,259
73,T74,T74,Craig Barlow,95,15.45,55,356
74,T74,T74,Todd Fischer,97,15.45,51,330
75,76,76,Darren Clarke,61,15.46,32,207
76,77,77,Carlos Franco,99,15.49,55,355
77,78,78,Carl Pettersson,80,15.52,45,290
78,79,79,Phil Mickelson,87,15.56,49,315
79,80,80,Tim Herron,102,15.57,59,379
80,T81,T81,Aaron Barber,94,15.6,51,327
81,T81,T81,Brian Gay,100,15.6,51,327
82,83,83,John Rollins,89,15.61,49,314
83,84,84,Tom Byrum,97,15.64,48,307
84,85,85,John Senden,111,15.65,59,377
85,86,86,Kaname Yokoo,56,15.66,26,166
86,87,87,Robert Damron,96,15.67,47,300
87,88,88,Jay Williamson,93,15.71,44,280
88,89,89,Dean Wilson,82,15.73,45,286
89,90,90,Mark Brooks,90,15.75,43,273
90,91,91,Mike Sposa,72,15.83,38,240
91,92,92,Brenden Pappas,105,15.87,63,397
92,93,93,Billy Andrade,100,15.88,57,359
93,94,94,Skip Kendall,110,15.93,65,408
94,95,95,Robert Allenby,87,15.99,51,319
95,96,96,Rory Sabbatini,95,16.02,54,337
96,97,97,Hal Sutton,81,16.03,46,287
97,98,98,Scott Laycock,71,16.05,39,243
98,99,99,Shaun Micheel,97,16.16,53,328
99,100,100,Luke Donald,88,16.18,50,309
100,101,101,Mark Wilson,82,16.25,39,240
101,102,102,Donnie Hammond,92,16.28,49,301
102,103,103,John Huston,76,16.29,51,313
103,104,104,Tim Petrovic,108,16.32,63,386
104,T105,T105,Tom Lehman,87,16.35,51,312
105,T105,T105,Geoff Ogilvy,86,16.35,51,312
106,107,107,Jonathan Byrd,101,16.4,61,372
107,108,108,Jeff Brehaut,110,16.41,63,384
108,109,109,Robert Gamez,114,16.45,76,462
109,110,110,Kevin Sutherland,97,16.46,54,328
110,111,111,Billy Mayfair,105,16.48,59,358
