,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Mike Heinen,68.67,1030,15
1,2,2,Jim Furyk,68.75,1650,24
2,3,3,Brenden Pappas,68.83,1239,18
3,T4,T4,Robert Allenby,69.11,1244,18
4,T4,T4,Davis Love III,69.11,1244,18
5,6,6,Stephen Ames,69.16,1314,19
6,T7,T7,Michael Clark II,69.2,346,5
7,T7,T7,Scott Laycock,69.2,692,10
8,9,9,Vijay Singh,69.24,1731,25
9,10,10,Mike Sposa,69.3,693,10
10,11,11,Joe Durant,69.42,1319,19
11,12,12,Mike Weir,69.5,1251,18
12,T13,T13,Tom Lehman,69.53,1182,17
13,T13,T13,Tiger Woods,69.53,1182,17
14,15,15,Marco Dawson,69.55,765,11
15,16,16,Glen Day,69.58,1322,19
16,17,17,Tommy Armour III,69.6,696,10
17,18,18,Patrick Sheehan,69.61,1253,18
18,19,19,Kent Jones,69.75,837,12
19,20,20,Stuart Appleby,69.82,1187,17
20,21,21,Dan Forsman,69.9,1468,21
21,22,22,Justin Leonard,69.94,1119,16
22,T23,T23,Jason Gore,70.0,770,11
23,T23,T23,Jay Haas,70.0,1260,18
24,25,25,Retief Goosen,70.13,1052,15
25,26,26,Vance Veazey,70.14,491,7
26,27,27,Jerry Kelly,70.18,1544,22
27,28,28,Paul Gow,70.22,632,9
28,29,29,Chris DiMarco,70.24,1475,21
29,30,30,Skip Kendall,70.25,1686,24
30,31,31,Matt Gogel,70.27,773,11
31,32,32,David Peoples,70.28,1265,18
32,T33,T33,Bob Estes,70.29,1476,21
33,T33,T33,Jeff Sluman,70.29,1476,21
34,35,35,Tom Gillis,70.3,703,10
35,36,36,Dean Wilson,70.31,914,13
36,37,37,Bob Tway,70.38,1126,16
37,38,38,Pat Bates,70.39,1267,18
38,T39,T39,Ernie Els,70.4,1056,15
39,T39,T39,Loren Roberts,70.4,1408,20
40,41,41,Luke Donald,70.41,1197,17
41,42,42,Briny Baird,70.43,1620,23
42,43,43,Brian Bateman,70.44,634,9
43,44,44,Brad Faxon,70.48,1480,21
44,45,45,Brian Gay,70.5,987,14
45,T46,T46,David Frost,70.53,1058,15
46,T46,T46,Arron Oberholser,70.53,1058,15
47,T46,T46,Rod Pampling,70.53,1058,15
48,49,49,John Huston,70.56,1129,16
49,50,50,Scott McCarron,70.57,988,14
50,T51,T51,Tim Petrovic,70.6,1412,20
51,T51,T51,John Riegger,70.6,706,10
52,53,53,Ben Curtis,70.62,918,13
53,T54,T54,Joey Sindelar,70.65,1201,17
54,T54,T54,David Toms,70.65,1201,17
55,56,56,Ben Crane,70.68,1343,19
56,57,57,Thomas Levet,70.69,1131,16
57,58,58,Mark Wilson,70.7,707,10
58,T59,T59,Steve Allan,70.71,495,7
59,T59,T59,Craig Barlow,70.71,1202,17
60,T59,T59,Carl Pettersson,70.71,990,14
61,T59,T59,Chris Riley,70.71,1202,17
62,63,63,J.L. Lewis,70.72,1273,18
63,64,64,Fred Funk,70.74,1627,23
64,T65,T65,Stewart Cink,70.77,1557,22
65,T65,T65,Scott Verplank,70.77,1557,22
66,67,67,John Senden,70.8,1416,20
67,T68,T68,Richard Johnson,70.81,1133,16
68,T68,T68,Garrett Willis,70.81,1133,16
69,70,70,Bernhard Langer,70.83,850,12
70,T71,T71,Aaron Barber,70.85,921,13
71,T71,T71,Shaun Micheel,70.85,1417,20
72,T71,T71,Kevin Sutherland,70.85,1417,20
73,T74,T74,Per-Ulrik Johansson,70.87,1063,15
74,T74,T74,Kenny Perry,70.87,1630,23
75,T76,T76,Chad Campbell,70.88,1701,24
76,T76,T76,Shigeki Maruyama,70.88,1134,16
77,78,78,Brent Geiberger,70.89,638,9
78,T79,T79,Adam Scott,70.9,709,10
79,T79,T79,Kirk Triplett,70.9,1418,20
80,81,81,John Morgan,70.91,780,11
