,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Robert Gamez,114,466
1,2,2,Vijay Singh,106,450
2,3,3,Steve Flesch,110,433
3,4,4,Charles Howell III,120,428
4,5,5,Skip Kendall,110,427
5,6,6,Briny Baird,113,418
6,7,7,Woody Austin,107,416
7,8,8,Brenden Pappas,105,415
8,9,9,Hidemichi Tanaka,112,409
9,10,10,Jeff Brehaut,110,406
10,T11,T11,Jim Furyk,104,404
11,T11,T11,John Senden,111,404
12,13,13,Jerry Kelly,108,402
13,14,14,Stewart Cink,104,401
14,15,15,Chad Campbell,105,399
15,16,16,Olin Browne,113,397
16,17,17,Tim Petrovic,108,396
17,18,18,Scott Verplank,97,394
18,19,19,Fred Funk,112,393
19,T20,T20,Jonathan Byrd,101,391
20,T20,T20,Glen Day,103,391
21,T20,T20,Tim Herron,102,391
22,T23,T23,Chris DiMarco,98,390
23,T23,T23,Tom Pernice Jr.,105,390
24,25,25,Jeff Sluman,106,384
25,26,26,Billy Andrade,100,382
26,27,27,Neal Lancaster,110,380
27,28,28,K.J. Choi,112,378
28,29,29,Pat Bates,111,376
29,30,30,Carl Paulson,101,375
30,31,31,Patrick Sheehan,101,374
31,32,32,Billy Mayfair,105,370
32,33,33,Stephen Ames,91,369
33,34,34,Joe Durant,96,368
34,T35,T35,Craig Barlow,95,364
35,T35,T35,Kenny Perry,98,364
36,37,37,Esteban Toledo,109,362
37,38,38,Dan Forsman,98,360
38,39,39,Ben Crane,94,358
39,40,40,Per-Ulrik Johansson,96,357
40,T41,T41,Mark Calcavecchia,84,355
41,T41,T41,Heath Slocum,101,355
42,T43,T43,Bob Estes,92,351
43,T43,T43,Garrett Willis,97,351
44,T45,T45,Greg Chalmers,98,350
45,T45,T45,Cliff Kresge,102,350
46,47,47,Carlos Franco,99,349
47,T48,T48,Mike Heinen,89,348
48,T48,T48,J.L. Lewis,99,348
49,T48,T48,Jesper Parnevik,102,348
50,51,51,Rory Sabbatini,95,347
51,T52,T52,Todd Fischer,97,346
52,T52,T52,David Peoples,96,346
53,54,54,Spike McRoy,103,345
54,55,55,David Gossett,92,344
55,T56,T56,Brad Faxon,97,341
56,T56,T56,Shaun Micheel,97,341
57,T56,T56,Chris Riley,96,341
58,T56,T56,Kevin Sutherland,97,341
59,T56,T56,Kirk Triplett,92,341
60,61,61,Alex Cejka,98,334
61,T62,T62,Stuart Appleby,90,333
62,T62,T62,Aaron Barber,94,333
63,T62,T62,Brett Quigley,92,333
64,T65,T65,Brian Gay,100,330
65,T65,T65,Frank Lickliter II,94,330
66,67,67,John Rollins,89,329
67,T68,T68,Robert Allenby,87,328
68,T68,T68,Paul Goydos,86,328
69,T68,T68,Geoff Ogilvy,86,328
70,T68,T68,Rod Pampling,87,328
71,72,72,Duffy Waldorf,90,327
72,73,73,Chris Smith,92,326
73,T74,T74,Davis Love III,85,323
74,T74,T74,Phil Mickelson,87,323
75,T76,T76,Cameron Beckman,86,322
76,T76,T76,Jonathan Kaye,91,322
77,T76,T76,Darron Stiles,93,322
78,T79,T79,Harrison Frazar,88,321
79,T79,T79,John Huston,76,321
80,T81,T81,Luke Donald,88,320
81,T81,T81,J.J. Henry,100,320
82,T83,T83,Tom Byrum,97,319
83,T83,T83,Peter Lonard,96,319
84,85,85,Tom Lehman,87,317
85,86,86,Andrew Magee,91,316
86,T87,T87,Chris Anderson,96,315
87,T87,T87,Scott McCarron,86,315
88,89,89,Pat Perez,95,314
89,90,90,Bob Tway,89,313
90,91,91,Donnie Hammond,92,312
91,T92,T92,Robert Damron,96,310
92,T92,T92,Jay Haas,89,310
93,94,94,David Toms,90,307
94,95,95,Kenichi Kuboya,91,304
95,T96,T96,Doug Barron,90,303
96,T96,T96,Marco Dawson,86,303
97,T96,T96,Richard Johnson,89,303
98,T96,T96,Joey Sindelar,93,303
99,100,100,Mike Weir,80,302
100,101,101,Carl Pettersson,80,301
101,T102,T102,J.P. Hayes,79,299
102,T102,T102,Steve Lowery,86,299
103,104,104,Notah Begay III,92,298
104,105,105,Jeff Maggert,81,297
105,T106,T106,Jason Gore,83,296
106,T106,T106,Shigeki Maruyama,87,296
107,T108,T108,Justin Leonard,80,294
108,T108,T108,Loren Roberts,87,294
109,T108,T108,Hal Sutton,81,294
110,T108,T108,Dean Wilson,82,294
111,112,112,Jim Carter,95,293
112,T113,T113,Hank Kuehne,73,291
113,T113,T113,Len Mattiace,94,291
114,115,115,Tiger Woods,74,290
115,T116,T116,Mathew Goggin,90,289
116,T116,T116,Jay Williamson,93,289
117,118,118,Mark Brooks,90,288
118,119,119,David Frost,80,287
119,T120,T120,Rocco Mediate,80,286
120,T120,T120,Deane Pappas,75,286
121,122,122,Akio Sadakata,83,282
122,T123,T123,John Maginnes,87,281
123,T123,T123,Arron Oberholser,80,281
124,T125,T125,Glen Hnatiuk,92,280
125,T125,T125,David Sutherland,77,280
126,T127,T127,Lee Janzen,83,278
127,T127,T127,Brandt Jobe,77,278
128,T127,T127,Thomas Levet,85,278
129,130,130,Peter Jacobsen,75,275
130,T131,T131,Tim Clark,79,274
131,T131,T131,Mike Grob,83,274
132,133,133,Kent Jones,74,273
133,T134,T134,Anthony Painter,87,271
134,T134,T134,Corey Pavin,88,271
135,T134,T134,Craig Perks,82,271
136,T134,T134,Gene Sauers,87,271
137,138,138,Dicky Pride,73,269
138,T139,T139,Fred Couples,71,268
139,T139,T139,John Morgan,81,268
140,T139,T139,Paul Stankowski,67,268
141,142,142,Retief Goosen,69,267
142,143,143,Andy Miller,75,266
143,T144,T144,Bob Burns,88,265
144,T144,T144,"Dave Stockton, Jr.",79,265
145,146,146,Rich Beem,80,262
146,147,147,Todd Barranger,78,261
147,148,148,Mark Wilson,82,260
148,149,149,Matt Gogel,77,258
149,150,150,Aaron Baddeley,71,257
150,151,151,Steven Alker,87,255
151,152,152,Jay Don Blake,77,254
152,153,153,Scott Laycock,71,252
153,154,154,Mike Sposa,72,240
154,155,155,Tom Gillis,71,236
155,T156,T156,Tommy Armour III,66,233
156,T156,T156,Brian Bateman,70,233
157,T156,T156,Ian Leggatt,71,233
158,159,159,Paul Azinger,73,231
159,160,160,Jason Caron,74,227
160,161,161,Nick Price,65,225
161,162,162,Brent Schwarzrock,60,224
162,163,163,Vance Veazey,66,223
163,164,164,Ernie Els,65,222
164,165,165,Mark O'Meara,69,216
165,166,166,Ben Curtis,69,215
166,167,167,Paul Gow,62,214
167,168,168,Dudley Hart,66,213
168,169,169,Bernhard Langer,65,208
169,170,170,José Coceres,62,207
170,171,171,Darren Clarke,61,204
171,172,172,Matt Kuchar,63,202
172,173,173,Sergio Garcia,62,199
173,174,174,John Daly,56,198
174,175,175,Brian Henninger,56,195
175,176,176,Michael Clark II,54,193
176,177,177,Jason Buha,61,189
177,178,178,Joel Edwards,60,188
178,T179,T179,Brent Geiberger,51,185
179,T179,T179,John Riegger,55,185
180,T179,T179,Steve Stricker,59,185
181,182,182,Cameron Yancey,58,179
182,183,183,Kenneth Staton,59,173
183,T184,T184,Gavin Coles,69,167
184,T184,T184,Kaname Yokoo,56,167
185,186,186,Ty Tryon,52,163
186,187,187,Jeff Klein,60,162
187,188,188,Adam Scott,52,155
188,189,189,Brad Elder,51,151
189,190,190,Steve Allan,53,148
