,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Dudley Hart,66,24.39,20,82
1,2,2,Tiger Woods,74,24.05,19,79
2,3,3,Chris DiMarco,98,23.81,30,126
3,4,4,Michael Clark II,54,22.47,20,89
4,T5,T5,Tim Clark,79,20.83,15,72
5,T5,T5,Ernie Els,65,20.83,15,72
6,7,7,Deane Pappas,75,20.44,28,137
7,8,8,Alex Cejka,98,20.43,19,93
8,9,9,Kirk Triplett,92,20.21,19,94
9,T10,T10,Cameron Beckman,86,20.0,19,95
10,T10,T10,Mike Weir,80,20.0,17,85
11,12,12,Rod Pampling,87,19.8,20,101
12,13,13,José Coceres,62,19.77,17,86
13,14,14,Retief Goosen,69,19.75,16,81
14,15,15,Charles Howell III,120,19.57,36,184
15,16,16,Stuart Appleby,90,19.54,17,87
16,17,17,Arron Oberholser,80,19.28,16,83
17,18,18,Ty Tryon,52,18.99,15,79
18,19,19,Carlos Franco,99,18.88,27,143
19,20,20,Vijay Singh,106,18.75,30,160
20,21,21,Hank Kuehne,73,18.66,25,134
21,22,22,Sergio Garcia,62,18.64,11,59
22,23,23,Brenden Pappas,105,18.5,32,173
23,24,24,Duffy Waldorf,90,18.18,18,99
24,25,25,Tim Petrovic,108,18.1,21,116
25,26,26,Skip Kendall,110,18.03,22,122
26,27,27,Geoff Ogilvy,86,17.97,23,128
27,28,28,Mike Heinen,89,17.76,19,107
28,29,29,Mark Calcavecchia,84,17.53,17,97
29,30,30,Marco Dawson,86,17.39,20,115
30,31,31,Chad Campbell,105,17.35,17,98
31,T32,T32,Peter Jacobsen,75,17.33,13,75
32,T32,T32,Patrick Sheehan,101,17.33,26,150
33,34,34,Briny Baird,113,17.32,22,127
34,35,35,Mike Sposa,72,17.31,18,104
35,36,36,David Sutherland,77,17.27,19,110
36,37,37,Hal Sutton,81,17.24,10,58
37,38,38,John Morgan,81,17.07,21,123
38,39,39,Rory Sabbatini,95,17.05,22,129
39,40,40,Richard Johnson,89,17.02,16,94
40,41,41,Cliff Kresge,102,16.84,16,95
41,42,42,Esteban Toledo,109,16.81,20,119
42,43,43,Jason Gore,83,16.78,24,143
43,T44,T44,Jason Buha,61,16.67,16,96
44,T44,T44,John Daly,56,16.67,20,120
45,46,46,Dicky Pride,73,16.49,16,97
46,47,47,Kent Jones,74,16.47,14,85
47,48,48,Jeff Maggert,81,16.46,13,79
48,49,49,Paul Stankowski,67,16.18,11,68
49,50,50,Paul Gow,62,16.13,20,124
50,51,51,John Maginnes,87,16.05,13,81
51,52,52,Glen Day,103,16.04,17,106
52,53,53,John Huston,76,15.96,15,94
53,54,54,Stephen Ames,91,15.89,17,107
54,55,55,Robert Gamez,114,15.82,25,158
55,56,56,Woody Austin,107,15.75,23,146
56,57,57,Justin Leonard,80,15.71,11,70
57,58,58,Phil Mickelson,87,15.7,19,121
58,59,59,Scott McCarron,86,15.63,15,96
59,60,60,Ben Crane,94,15.6,22,141
60,61,61,Brian Henninger,56,15.58,12,77
61,62,62,Jeff Brehaut,110,15.56,21,135
62,63,63,Pat Perez,95,15.54,23,148
63,64,64,Brent Schwarzrock,60,15.48,13,84
64,65,65,Andy Miller,75,15.46,15,97
65,66,66,David Gossett,92,15.45,17,110
66,T67,T67,Joel Edwards,60,15.38,12,78
67,T67,T67,Paul Goydos,86,15.38,14,91
68,T67,T67,Tom Lehman,87,15.38,14,91
69,T67,T67,John Senden,111,15.38,22,143
70,71,71,Steven Alker,87,15.31,15,98
71,72,72,Billy Andrade,100,15.24,25,164
72,73,73,Scott Laycock,71,15.04,17,113
73,T74,T74,Chris Riley,96,15.0,15,100
74,T74,T74,Chris Smith,92,15.0,15,100
75,T74,T74,Darron Stiles,93,15.0,15,100
76,T74,T74,David Toms,90,15.0,15,100
77,78,78,Pat Bates,111,14.96,19,127
78,T79,T79,Jerry Kelly,108,14.89,14,94
79,T79,T79,Davis Love III,85,14.89,14,94
80,T81,T81,Harrison Frazar,88,14.88,18,121
81,T81,T81,Jesper Parnevik,102,14.88,18,121
82,83,83,Tom Gillis,71,14.81,12,81
83,84,84,Anthony Painter,87,14.71,20,136
84,85,85,Glen Hnatiuk,92,14.58,14,96
85,86,86,Darren Clarke,61,14.55,8,55
86,87,87,Dan Forsman,98,14.52,18,124
87,88,88,Craig Perks,82,14.41,17,118
88,89,89,Todd Barranger,78,14.38,21,146
89,90,90,Neal Lancaster,110,14.37,25,174
90,T91,T91,Jonathan Byrd,101,14.29,19,133
91,T91,T91,Greg Chalmers,98,14.29,23,161
92,T91,T91,Bernhard Langer,65,14.29,9,63
93,94,94,Fred Couples,71,14.12,12,85
94,95,95,Shaun Micheel,97,14.06,18,128
95,96,96,John Riegger,55,14.04,8,57
96,97,97,Aaron Barber,94,13.93,17,122
97,98,98,Kaname Yokoo,56,13.92,11,79
98,99,99,Steve Lowery,86,13.89,15,108
99,100,100,Jim Carter,95,13.86,14,101
100,101,101,Kevin Sutherland,97,13.76,15,109
101,T102,T102,Tom Pernice Jr.,105,13.7,20,146
102,T102,T102,Brett Quigley,92,13.7,20,146
103,T102,T102,Cameron Yancey,58,13.7,10,73
104,105,105,Steve Stricker,59,13.68,16,117
105,106,106,Andrew Magee,91,13.55,21,155
106,107,107,Brian Bateman,70,13.51,10,74
107,108,108,Steve Flesch,110,13.38,19,142
108,109,109,Brandt Jobe,77,13.33,16,120
109,110,110,David Peoples,96,13.27,13,98
110,T111,T111,Chris Anderson,96,13.22,16,121
111,T111,T111,Scott Verplank,97,13.22,16,121
112,T113,T113,Tommy Armour III,66,13.16,10,76
113,T113,T113,Fred Funk,112,13.16,10,76
114,115,115,Stewart Cink,104,13.14,18,137
115,116,116,Thomas Levet,85,13.08,14,107
116,T117,T117,Mathew Goggin,90,13.04,15,115
117,T117,T117,Kenneth Staton,59,13.04,12,92
118,119,119,Todd Fischer,97,12.9,16,124
119,T120,T120,Robert Allenby,87,12.84,14,109
120,T120,T120,Garrett Willis,97,12.84,14,109
121,122,122,Billy Mayfair,105,12.73,14,110
122,123,123,Doug Barron,90,12.62,13,103
123,T124,T124,John Rollins,89,12.5,9,72
124,T124,T124,Bob Tway,89,12.5,16,128
125,126,126,Aaron Baddeley,71,12.4,15,121
126,127,127,Frank Lickliter II,94,12.39,14,113
127,128,128,Tom Byrum,97,12.36,11,89
128,129,129,K.J. Choi,112,12.26,19,155
129,130,130,Jay Williamson,93,12.15,13,107
130,131,131,Kenny Perry,98,12.09,11,91
131,132,132,Notah Begay III,92,12.07,14,116
132,133,133,"Dave Stockton, Jr.",79,12.04,13,108
133,134,134,Brian Gay,100,12.03,16,133
134,135,135,Brent Geiberger,51,11.96,11,92
135,T136,T136,Joe Durant,96,11.93,13,109
136,T136,T136,Carl Pettersson,80,11.93,13,109
137,138,138,J.J. Henry,100,11.85,16,135
138,T139,T139,Peter Lonard,96,11.71,13,111
139,T139,T139,Akio Sadakata,83,11.71,13,111
140,T139,T139,Mark Wilson,82,11.71,13,111
141,142,142,Donnie Hammond,92,11.67,14,120
142,143,143,Joey Sindelar,93,11.65,12,103
143,T144,T144,Bob Burns,88,11.49,10,87
144,T144,T144,Vance Veazey,66,11.49,10,87
145,146,146,Luke Donald,88,11.48,7,61
146,147,147,Corey Pavin,88,11.4,13,114
147,148,148,Rich Beem,80,11.25,9,80
148,149,149,Loren Roberts,87,11.24,10,89
149,T150,T150,Craig Barlow,95,11.2,14,125
150,T150,T150,Bob Estes,92,11.2,14,125
151,T152,T152,Mark Brooks,90,11.11,12,108
152,T152,T152,J.P. Hayes,79,11.11,9,81
153,T152,T152,Lee Janzen,83,11.11,10,90
154,T155,T155,Tim Herron,102,10.92,13,119
155,T155,T155,J.L. Lewis,99,10.92,13,119
156,157,157,Kenichi Kuboya,91,10.85,14,129
157,158,158,Brad Faxon,97,10.77,14,130
158,159,159,Gene Sauers,87,10.71,9,84
159,160,160,Carl Paulson,101,10.34,12,116
160,T161,T161,Ben Curtis,69,10.1,10,99
161,T161,T161,David Frost,80,10.1,10,99
162,163,163,Shigeki Maruyama,87,9.88,8,81
163,164,164,Heath Slocum,101,9.78,9,92
164,165,165,Jay Haas,89,9.65,11,114
165,166,166,Jay Don Blake,77,9.41,8,85
166,167,167,Jason Caron,74,9.32,11,118
167,168,168,Jeff Sluman,106,9.17,10,109
168,169,169,Hidemichi Tanaka,112,9.01,10,111
169,T170,T170,Nick Price,65,8.97,7,78
170,T170,T170,Dean Wilson,82,8.97,7,78
171,172,172,Paul Azinger,73,8.82,9,102
172,173,173,Jim Furyk,104,8.54,7,82
173,174,174,Jeff Klein,60,8.33,6,72
174,175,175,Ian Leggatt,71,8.16,8,98
175,176,176,Robert Damron,96,7.61,7,92
176,177,177,Spike McRoy,103,7.55,8,106
177,178,178,Gavin Coles,69,7.32,6,82
178,179,179,Matt Kuchar,63,7.25,5,69
179,180,180,Mike Grob,83,7.22,7,97
180,181,181,Rocco Mediate,80,6.85,5,73
181,182,182,Jonathan Kaye,91,6.06,6,99
182,183,183,Olin Browne,113,6.02,5,83
183,184,184,Adam Scott,52,5.97,4,67
184,185,185,Matt Gogel,77,5.75,5,87
185,186,186,Steve Allan,53,5.1,5,98
186,187,187,Brad Elder,51,4.92,3,61
187,188,188,Len Mattiace,94,4.21,4,95
188,189,189,Mark O'Meara,69,4.0,2,50
189,190,190,Per-Ulrik Johansson,96,3.65,5,137
