,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,John Huston,76,29.53
1,2,2,Robert Gamez,114,27.3
2,3,3,Darren Clarke,61,25.73
3,4,4,Kent Jones,74,25.38
4,5,5,John Senden,111,25.35
5,T6,T6,Ernie Els,65,25.0
6,T6,T6,Tiger Woods,74,25.0
7,8,8,Dan Forsman,98,24.66
8,9,9,Skip Kendall,110,24.44
9,10,10,Brenden Pappas,105,24.33
10,11,11,Jeff Maggert,81,24.26
11,12,12,Paul Stankowski,67,24.12
12,13,13,Peter Jacobsen,75,24.09
13,14,14,Charles Howell III,120,24.07
14,15,15,Brent Geiberger,51,23.7
15,T16,T16,Stewart Cink,104,23.63
16,T16,T16,Davis Love III,85,23.63
17,18,18,Jonathan Kaye,91,23.58
18,19,19,Dicky Pride,73,23.5
19,20,20,Jeff Brehaut,110,23.47
20,21,21,Stephen Ames,91,23.42
21,22,22,Fred Couples,71,23.27
22,T23,T23,Tom Gillis,71,23.23
23,T23,T23,Mike Heinen,89,23.23
24,25,25,Steve Lowery,86,22.89
25,T26,T26,Woody Austin,107,22.87
26,T26,T26,David Sutherland,77,22.87
27,28,28,Jonathan Byrd,101,22.85
28,29,29,Mark Calcavecchia,84,22.78
29,30,30,Stuart Appleby,90,22.77
30,31,31,Todd Fischer,97,22.76
31,32,32,Deane Pappas,75,22.54
32,33,33,Peter Lonard,96,22.5
33,34,34,Craig Barlow,95,22.43
34,35,35,John Riegger,55,22.39
35,36,36,John Rollins,89,22.35
36,37,37,Brandt Jobe,77,22.34
37,38,38,Tom Lehman,87,22.32
38,T39,T39,Andy Miller,75,22.27
39,T39,T39,Geoff Ogilvy,86,22.27
40,41,41,Neal Lancaster,110,22.26
41,42,42,Chad Campbell,105,22.22
42,43,43,Jay Haas,89,22.12
43,T44,T44,Pat Perez,95,22.03
44,T44,T44,Duffy Waldorf,90,22.03
45,46,46,John Daly,56,21.99
46,47,47,Kevin Sutherland,97,21.94
47,48,48,David Peoples,96,21.74
48,49,49,Rocco Mediate,80,21.56
49,50,50,Robert Allenby,87,21.53
50,51,51,Carlos Franco,99,21.46
51,T52,T52,Jim Furyk,104,21.43
52,T52,T52,Patrick Sheehan,101,21.43
53,T54,T54,Billy Andrade,100,21.35
54,T54,T54,Scott Laycock,71,21.35
55,56,56,Jeff Sluman,106,21.22
56,57,57,Hidemichi Tanaka,112,21.17
57,58,58,Justin Leonard,80,21.16
58,59,59,Paul Gow,62,21.14
59,T60,T60,Matt Kuchar,63,21.05
60,T60,T60,Carl Paulson,101,21.05
61,62,62,Vance Veazey,66,21.03
62,63,63,Heath Slocum,101,21.02
63,64,64,Kaname Yokoo,56,20.98
64,65,65,Tom Pernice Jr.,105,20.88
65,66,66,Luke Donald,88,20.85
66,67,67,Glen Day,103,20.8
67,68,68,Doug Barron,90,20.75
68,69,69,Harrison Frazar,88,20.7
69,T70,T70,Andrew Magee,91,20.61
70,T70,T70,Loren Roberts,87,20.61
71,72,72,Corey Pavin,88,20.59
72,73,73,Matt Gogel,77,20.57
73,T74,T74,Donnie Hammond,92,20.56
74,T74,T74,Brent Schwarzrock,60,20.56
75,76,76,Hank Kuehne,73,20.55
76,T77,T77,Cameron Beckman,86,20.52
77,T77,T77,Vijay Singh,106,20.52
78,79,79,Aaron Baddeley,71,20.51
79,80,80,Jim Carter,95,20.36
80,T81,T81,Todd Barranger,78,20.34
81,T81,T81,Chris Smith,92,20.34
82,83,83,Per-Ulrik Johansson,96,20.3
83,84,84,Jesper Parnevik,102,20.21
84,85,85,Rod Pampling,87,20.19
85,86,86,David Gossett,92,20.16
86,87,87,John Maginnes,87,20.15
87,T88,T88,Jay Don Blake,77,20.09
88,T88,T88,Phil Mickelson,87,20.09
89,90,90,Dean Wilson,82,20.08
90,91,91,Spike McRoy,103,20.07
91,T92,T92,Pat Bates,111,20.0
92,T92,T92,Sergio Garcia,62,20.0
93,T92,T92,David Toms,90,20.0
94,T95,T95,Steve Flesch,110,19.93
95,T95,T95,Esteban Toledo,109,19.93
96,97,97,Carl Pettersson,80,19.92
97,T98,T98,Jason Gore,83,19.86
98,T98,T98,Anthony Painter,87,19.86
99,100,100,Thomas Levet,85,19.84
100,101,101,Tim Clark,79,19.82
101,102,102,Hal Sutton,81,19.81
