,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Vijay Singh,106,69.11,7049,102
1,2,2,Jim Furyk,104,69.28,6997,101
2,3,3,Tiger Woods,74,69.38,4718,68
3,4,4,Retief Goosen,69,69.73,4463,64
4,5,5,Davis Love III,85,69.78,5513,79
5,6,6,Mike Weir,80,69.89,5242,75
6,7,7,Ernie Els,65,69.9,4194,60
7,T8,T8,Briny Baird,113,69.91,7620,109
8,T8,T8,Chad Campbell,105,69.91,7131,102
9,10,10,Scott Verplank,97,69.93,6713,96
10,T11,T11,Stephen Ames,91,70.02,6232,89
11,T11,T11,Chris DiMarco,98,70.02,6512,93
12,T11,T11,Kenny Perry,98,70.02,6792,97
13,T14,T14,Stewart Cink,104,70.03,7003,100
14,T14,T14,Dan Forsman,98,70.03,6863,98
15,16,16,John Huston,76,70.08,5256,75
16,17,17,Robert Allenby,87,70.11,5609,80
17,18,18,Robert Gamez,114,70.16,7998,114
18,19,19,Rod Pampling,87,70.19,5826,83
19,T20,T20,Bob Estes,92,70.21,6389,91
20,T20,T20,Tim Petrovic,108,70.21,7302,104
21,22,22,David Toms,90,70.22,5688,81
22,23,23,Jeff Sluman,106,70.26,7307,104
23,24,24,Justin Leonard,80,70.29,5272,75
24,T25,T25,Fred Funk,112,70.3,7663,109
25,T25,T25,Jay Haas,89,70.3,5835,83
26,T25,T25,Charles Howell III,120,70.3,8084,115
27,T28,T28,Tim Herron,102,70.31,7031,100
28,T28,T28,Chris Riley,96,70.31,6328,90
29,T28,T28,Bob Tway,89,70.31,5976,85
30,31,31,David Peoples,96,70.32,6751,96
31,32,32,Arron Oberholser,80,70.36,5629,80
32,33,33,Glen Day,103,70.39,7109,101
33,34,34,Mark Calcavecchia,84,70.4,5914,84
34,35,35,Joe Durant,96,70.41,6759,96
35,T36,T36,Steve Flesch,110,70.44,7607,108
36,T36,T36,Kirk Triplett,92,70.44,6340,90
37,38,38,Loren Roberts,87,70.45,6059,86
38,T39,T39,Jerry Kelly,108,70.46,7328,104
39,T39,T39,Tom Lehman,87,70.46,5778,82
40,T39,T39,John Senden,111,70.46,7539,107
41,42,42,Paul Goydos,86,70.47,5849,83
42,T43,T43,Brandt Jobe,77,70.48,5427,77
43,T43,T43,Skip Kendall,110,70.48,7753,110
44,T43,T43,Patrick Sheehan,101,70.48,6978,99
45,46,46,Nick Price,65,70.5,4371,62
46,T47,T47,Hidemichi Tanaka,112,70.51,7897,112
47,T47,T47,Duffy Waldorf,90,70.51,6064,86
48,49,49,Stuart Appleby,90,70.53,5995,85
49,50,50,Paul Stankowski,67,70.54,4726,67
50,T51,T51,Shaun Micheel,97,70.56,6633,94
51,T51,T51,Hal Sutton,81,70.56,5715,81
52,53,53,Cameron Beckman,86,70.57,5857,83
53,T54,T54,Carlos Franco,99,70.58,6846,97
54,T54,T54,Dicky Pride,73,70.58,5152,73
55,T54,T54,Brett Quigley,92,70.58,6211,88
56,57,57,Tom Pernice Jr.,105,70.59,7200,102
57,T58,T58,Harrison Frazar,88,70.6,6001,85
58,T58,T58,Brenden Pappas,105,70.6,7272,103
59,60,60,Woody Austin,107,70.62,7344,104
60,61,61,John Riegger,55,70.63,3673,52
61,T62,T62,Kent Jones,74,70.64,4945,70
62,T62,T62,Andrew Magee,91,70.64,6287,89
63,T62,T62,Phil Mickelson,87,70.64,5651,80
64,65,65,Rocco Mediate,80,70.65,5511,78
65,66,66,Kevin Sutherland,97,70.66,6642,94
66,67,67,Jeff Brehaut,110,70.67,7562,107
67,68,68,Fred Couples,71,70.7,4737,67
68,T69,T69,Aaron Baddeley,71,70.73,4739,67
69,T69,T69,Brent Geiberger,51,70.73,3607,51
70,T69,T69,J.J. Henry,100,70.73,6790,96
71,T72,T72,Craig Barlow,95,70.74,6579,93
72,T72,T72,Olin Browne,113,70.74,7781,110
73,T72,T72,David Frost,80,70.74,5659,80
74,T75,T75,Ben Crane,94,70.76,6510,92
75,T75,T75,Brad Faxon,97,70.76,6722,95
76,T77,T77,Billy Andrade,100,70.77,7077,100
77,T77,T77,Pat Bates,111,70.77,7643,108
78,T77,T77,Jonathan Kaye,91,70.77,6228,88
79,T80,T80,Alex Cejka,98,70.8,6443,91
80,T80,T80,Mike Heinen,89,70.8,6230,88
81,T80,T80,Neal Lancaster,110,70.8,7576,107
82,83,83,K.J. Choi,112,70.81,7506,106
83,84,84,Marco Dawson,86,70.82,5949,84
84,85,85,Carl Paulson,101,70.84,7155,101
85,T86,T86,Darren Clarke,61,70.85,3826,54
86,T86,T86,Scott McCarron,86,70.85,5739,81
87,T86,T86,Geoff Ogilvy,86,70.85,5810,82
88,T89,T89,David Gossett,92,70.87,6520,92
89,T89,T89,J.P. Hayes,79,70.87,5599,79
90,91,91,Per-Ulrik Johansson,96,70.89,6805,96
91,T92,T92,Billy Mayfair,105,70.91,7446,105
92,T92,T92,Joey Sindelar,93,70.91,6453,91
93,94,94,Hank Kuehne,73,70.92,5035,71
94,95,95,Jonathan Byrd,101,70.94,7165,101
95,96,96,Peter Jacobsen,75,70.95,5321,75
96,97,97,Shigeki Maruyama,87,70.96,6032,85
97,98,98,Deane Pappas,75,70.97,5181,73
98,T99,T99,Lee Janzen,83,70.99,5679,80
