,Lowest_Round_RANK THIS WEEK,Lowest_Round_RANK LAST WEEK,Lowest_Round_PLAYER NAME,Lowest_Round_ROUNDS,Lowest_Round_VALUE,Lowest_Round_TOURN/COURSE,Lowest_Round_ROUND
0,T1,T1,Chad Campbell,105,61,THE TOUR Champ/,3
1,T1,T1,Jay Haas,89,61,Bob Hope Chrysl,2
2,T1,T1,Tim Herron,102,61,Bob Hope Chrysl,3
3,T1,T1,Justin Leonard,80,61,Colonial/Coloni,4
4,T1,T1,Pat Perez,95,61,Bob Hope Chrysl,2
5,T1,T1,Kenny Perry,98,61,Colonial/Coloni,3
6,T1,T1,Heath Slocum,101,61,Texas Open/LaCa,1
7,T1,T1,Bob Tway,89,61,Texas Open/LaCa,1
8,T9,T9,Stuart Appleby,90,62,Las Vegas Inv'l,1
9,T9,T9,Tommy Armour III,66,62,Texas Open/LaCa,2
10,T9,T9,Aaron Baddeley,71,62,Texas Open/LaCa,4
11,T9,T9,Briny Baird,113,62,FUNAI-Disney/Pa,2
12,T9,T9,Craig Barlow,95,62,Las Vegas Inv'l,1
13,T9,T9,K.J. Choi,112,62,Texas Open/LaCa,2
14,T9,T9,Chris DiMarco,98,62,Phoenix Open/TP,3
15,T9,T9,David Duval,47,62,Capital Open/TP,2
16,T9,T9,Steve Flesch,110,62,Las Vegas Inv'l,1
17,T9,T9,Dan Forsman,98,62,Las Vegas Inv'l,1
18,T9,T9,Harrison Frazar,88,62,Bob Hope Chrysl,2
19,T9,T9,Fred Funk,112,62,WGC-NEC Invit'l,2
20,T9,T9,David Gossett,92,62,Bob Hope Chrysl,3
21,T9,T9,Mike Heinen,89,62,Milwaukee Open/,4
22,T9,T9,Jerry Kelly,108,62,Honda Classic/C,2
23,T9,T9,J.L. Lewis,99,62,Pennsylvania/Ne,4
24,T9,T9,Steve Lowery,86,62,Bob Hope Chrysl,3
25,T9,T9,Scott McCarron,86,62,Las Vegas Inv'l,2
26,T9,T9,Brenden Pappas,105,62,So. Farm Bureau,4
27,T9,T9,Nick Price,65,62,FedEx St. Jude/,4
28,T9,T9,Loren Roberts,87,62,Texas Open/LaCa,4
29,T9,T9,Adam Scott,52,62,Deutsche Bank/T,2
30,T9,T9,Steve Stricker,59,62,Phoenix Open/TP,2
31,T9,T9,Scott Verplank,97,62,Las Vegas Inv'l,2
32,T9,T9,Duffy Waldorf,90,62,Texas Open/LaCa,3
33,T34,T34,Stephen Ames,91,63,Bob Hope Chrysl,1
34,T34,T34,Woody Austin,107,63,FUNAI-Disney/Ma,2
35,T34,T34,Aaron Barber,94,63,Las Vegas Inv'l,1
36,T34,T34,Pat Bates,111,63,B.C. Open/En-Jo,2
37,T34,T34,Cameron Beckman,86,63,Texas Open/LaCa,1
38,T34,T34,Rich Beem,80,63,Las Vegas Inv'l,1
