,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Tiger Woods,74,66.75,267,4
1,T2,T2,Ernie Els,65,68.0,272,4
2,T2,T2,Sergio Garcia,62,68.0,272,4
3,T2,T2,Nick Price,65,68.0,340,5
4,5,5,Charles Howell III,120,68.17,818,12
5,6,6,John Huston,76,68.56,617,9
6,7,7,Dan Forsman,98,68.57,960,14
7,8,8,Justin Leonard,80,68.78,619,9
8,9,9,Jay Haas,89,68.8,688,10
9,10,10,Lee Janzen,83,68.92,827,12
10,11,11,Chris DiMarco,98,68.94,1103,16
11,T12,T12,Robert Allenby,87,69.0,759,11
12,T12,T12,Bob Estes,92,69.0,621,9
13,T12,T12,Jim Furyk,104,69.0,897,13
14,T12,T12,Rod Pampling,87,69.0,1104,16
15,T16,T16,Briny Baird,113,69.14,1521,22
16,T16,T16,Brent Geiberger,51,69.14,484,7
17,18,18,Davis Love III,85,69.33,624,9
18,T19,T19,Stephen Ames,91,69.38,1110,16
19,T19,T19,Peter Jacobsen,75,69.38,902,13
20,21,21,Brett Quigley,92,69.42,833,12
21,22,22,Jerry Kelly,108,69.43,972,14
22,23,23,Paul Gow,62,69.46,903,13
23,24,24,Jonathan Kaye,91,69.6,696,10
24,25,25,David Peoples,96,69.62,1462,21
25,26,26,Shaun Micheel,97,69.65,1184,17
26,27,27,Peter Lonard,96,69.8,698,10
27,T28,T28,Aaron Baddeley,71,69.82,768,11
28,T28,T28,Tim Petrovic,108,69.82,1536,22
29,30,30,Scott Verplank,97,69.83,838,12
30,T31,T31,J.P. Hayes,79,69.93,1049,15
31,T31,T31,Shigeki Maruyama,87,69.93,979,14
32,33,33,Bob Tway,89,69.94,1119,16
33,T34,T34,Duffy Waldorf,90,70.0,770,11
34,T34,T34,Mike Weir,80,70.0,560,8
35,36,36,Retief Goosen,69,70.11,631,9
36,37,37,Pat Bates,111,70.12,1823,26
37,38,38,Brian Bateman,70,70.13,1122,16
38,39,39,Fred Couples,71,70.14,491,7
39,40,40,Skip Kendall,110,70.15,1403,20
40,T41,T41,Kenny Perry,98,70.17,421,6
41,T41,T41,John Riegger,55,70.17,842,12
42,43,43,Phil Mickelson,87,70.2,702,10
43,T44,T44,Tim Herron,102,70.22,1264,18
44,T44,T44,Adam Scott,52,70.22,632,9
45,46,46,Neal Lancaster,110,70.24,1475,21
46,T47,T47,Brian Gay,100,70.25,1124,16
47,T47,T47,Vijay Singh,106,70.25,562,8
48,49,49,Kent Jones,74,70.27,1054,15
49,50,50,Hank Kuehne,73,70.29,984,14
50,T51,T51,Ben Crane,94,70.33,1266,18
51,T51,T51,David Toms,90,70.33,633,9
52,53,53,Olin Browne,113,70.36,1548,22
53,54,54,Woody Austin,107,70.37,1337,19
54,T55,T55,Glen Day,103,70.44,1127,16
55,T55,T55,Rocco Mediate,80,70.44,634,9
56,57,57,Kirk Triplett,92,70.45,775,11
57,58,58,Chris Smith,92,70.47,1198,17
58,59,59,Darren Clarke,61,70.5,564,8
59,60,60,Frank Lickliter II,94,70.53,1199,17
60,61,61,Patrick Sheehan,101,70.55,1411,20
61,62,62,Mark Calcavecchia,84,70.56,1129,16
62,63,63,Chad Campbell,105,70.58,847,12
63,64,64,Chris Riley,96,70.59,1200,17
64,65,65,Len Mattiace,94,70.6,1059,15
65,66,66,Mike Heinen,89,70.61,1624,23
66,67,67,Jay Williamson,93,70.62,1483,21
67,68,68,Joe Durant,96,70.63,1130,16
68,T69,T69,Dicky Pride,73,70.64,989,14
69,T69,T69,Loren Roberts,87,70.64,989,14
70,T71,T71,Stewart Cink,104,70.69,919,13
71,T71,T71,David Frost,80,70.69,919,13
72,T71,T71,Brian Henninger,56,70.69,919,13
73,74,74,Rich Beem,80,70.73,778,11
74,75,75,Fred Funk,112,70.75,849,12
75,76,76,José Coceres,62,70.83,425,6
76,T77,T77,Brad Faxon,97,70.85,921,13
77,T77,T77,Robert Gamez,114,70.85,1417,20
78,79,79,John Senden,111,70.86,1559,22
79,T80,T80,Jeff Brehaut,110,70.87,1630,23
80,T80,T80,Craig Perks,82,70.87,1063,15
81,82,82,Tom Lehman,87,70.9,709,10
82,83,83,Paul Stankowski,67,70.91,780,11
83,84,84,Scott Laycock,71,70.92,851,12
84,85,85,John Maginnes,87,70.94,1206,17
85,T86,T86,Paul Goydos,86,70.95,1348,19
86,T86,T86,Donnie Hammond,92,70.95,1490,21
87,T86,T86,Heath Slocum,101,70.95,1490,21
88,T89,T89,Stuart Appleby,90,71.0,781,11
89,T89,T89,Michael Clark II,54,71.0,781,11
90,T89,T89,Brandt Jobe,77,71.0,994,14
91,T89,T89,Kenichi Kuboya,91,71.0,1420,20
92,T89,T89,Jeff Maggert,81,71.0,1136,16
93,T89,T89,Spike McRoy,103,71.0,1207,17
94,T89,T89,Brenden Pappas,105,71.0,1704,24
95,T89,T89,Carl Paulson,101,71.0,1278,18
96,T89,T89,Brent Schwarzrock,60,71.0,497,7
97,T89,T89,Jeff Sluman,106,71.0,923,13
98,T99,T99,Carlos Franco,99,71.05,1350,19
99,T99,T99,Arron Oberholser,80,71.05,1350,19
100,101,101,Bob Burns,88,71.06,1208,17
101,102,102,J.L. Lewis,99,71.09,782,11
102,103,103,Dudley Hart,66,71.1,1493,21
103,104,104,Tom Pernice Jr.,105,71.11,1280,18
104,105,105,Tom Byrum,97,71.12,1209,17
105,T106,T106,Bernhard Langer,65,71.14,498,7
106,T106,T106,Hidemichi Tanaka,112,71.14,996,14
107,108,108,John Rollins,89,71.15,925,13
108,109,109,Jason Gore,83,71.17,1708,24
109,110,110,Mike Sposa,72,71.19,1139,16
110,T111,T111,Corey Pavin,88,71.2,1424,20
111,T111,T111,Kevin Sutherland,97,71.2,1068,15
112,T113,T113,Craig Barlow,95,71.24,1496,21
113,T113,T113,Mike Grob,83,71.24,1496,21
114,T115,T115,Joel Edwards,60,71.25,570,8
115,T115,T115,Cliff Kresge,102,71.25,1425,20
116,117,117,Jay Don Blake,77,71.28,1283,18
117,118,118,Richard Johnson,89,71.32,1355,19
118,119,119,Andrew Magee,91,71.35,1641,23
119,T120,T120,John Daly,56,71.36,785,11
120,T120,T120,Jesper Parnevik,102,71.36,785,11
121,122,122,Thomas Levet,85,71.38,928,13
122,123,123,Mark Brooks,90,71.4,1428,20
123,124,124,J.J. Henry,100,71.44,1786,25
124,125,125,Jonathan Byrd,101,71.46,1715,24
125,T126,T126,Doug Barron,90,71.47,1215,17
126,T126,T126,Deane Pappas,75,71.47,1072,15
127,T126,T126,David Sutherland,77,71.47,1072,15
128,129,129,David Gossett,92,71.48,1787,25
129,130,130,Marco Dawson,86,71.5,1287,18
130,131,131,Mathew Goggin,90,71.52,1788,25
131,T132,T132,Alex Cejka,98,71.53,1073,15
132,T132,T132,Billy Mayfair,105,71.53,1359,19
133,134,134,Joey Sindelar,93,71.55,1431,20
134,135,135,Tim Clark,79,71.57,1002,14
135,T136,T136,Chris Anderson,96,71.58,1360,19
136,T136,T136,Glen Hnatiuk,92,71.58,1360,19
137,T136,T136,Carl Pettersson,80,71.58,859,12
138,139,139,Jim Carter,95,71.61,1289,18
139,T140,T140,Billy Andrade,100,71.62,1504,21
140,T140,T140,K.J. Choi,112,71.62,931,13
141,142,142,Garrett Willis,97,71.65,1218,17
142,143,143,Hal Sutton,81,71.67,860,12
143,144,144,Esteban Toledo,109,71.69,1147,16
144,145,145,Brad Elder,51,71.71,1004,14
145,146,146,Robert Damron,96,71.73,1578,22
146,147,147,Luke Donald,88,71.76,1507,21
147,148,148,Ian Leggatt,71,71.8,718,10
148,149,149,Vance Veazey,66,71.83,862,12
149,T150,T150,Cameron Beckman,86,71.86,1509,21
150,T150,T150,Matt Gogel,77,71.86,503,7
151,T152,T152,Steve Flesch,110,71.88,1150,16
152,T152,T152,Harrison Frazar,88,71.88,1222,17
153,154,154,Kaname Yokoo,56,71.9,719,10
154,155,155,Ben Curtis,69,71.92,863,12
155,156,156,Cameron Yancey,58,71.93,1079,15
156,T157,T157,Greg Chalmers,98,72.0,1080,15
157,T157,T157,Tom Gillis,71,72.0,504,7
158,T157,T157,Darron Stiles,93,72.0,1368,19
159,160,160,Steve Lowery,86,72.06,1153,16
160,161,161,Scott McCarron,86,72.08,865,12
161,162,162,Per-Ulrik Johansson,96,72.1,1442,20
162,163,163,Aaron Barber,94,72.12,1226,17
163,164,164,Dean Wilson,82,72.13,1082,15
164,165,165,Steve Allan,53,72.14,505,7
165,166,166,Todd Fischer,97,72.2,1805,25
166,T167,T167,Andy Miller,75,72.25,867,12
167,T167,T167,Steve Stricker,59,72.25,1156,16
168,169,169,Steven Alker,87,72.32,1374,19
169,170,170,Geoff Ogilvy,86,72.39,1303,18
170,T171,T171,Rory Sabbatini,95,72.44,1304,18
171,T171,T171,Akio Sadakata,83,72.44,1159,16
172,173,173,Jason Buha,61,72.45,797,11
173,174,174,Matt Kuchar,63,72.47,1087,15
174,175,175,Pat Perez,95,72.52,1523,21
175,176,176,Mark O'Meara,69,72.54,943,13
176,177,177,Tommy Armour III,66,72.58,871,12
177,178,178,Jeff Klein,60,72.59,1234,17
178,179,179,Paul Azinger,73,72.62,944,13
179,180,180,Gene Sauers,87,72.63,1380,19
180,181,181,Ty Tryon,52,72.71,1018,14
181,182,182,Anthony Painter,87,72.74,1673,23
182,183,183,"Dave Stockton, Jr.",79,72.77,1601,22
183,184,184,Jason Caron,74,72.79,1019,14
184,185,185,Kenneth Staton,59,72.88,1166,16
185,186,186,John Morgan,81,72.93,1094,15
186,187,187,Gavin Coles,69,73.0,1022,14
187,188,188,Todd Barranger,78,73.15,1463,20
188,189,189,Mark Wilson,82,73.25,1172,16
189,190,190,Notah Begay III,92,74.4,1116,15
