,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Retief Goosen,69,68.58,1303,19
1,2,2,Jim Furyk,104,68.66,2815,41
2,3,3,Vijay Singh,106,69.06,2141,31
3,4,4,Ernie Els,65,69.22,1246,18
4,5,5,Mike Weir,80,69.34,2011,29
5,6,6,Chad Campbell,105,69.38,2914,42
6,7,7,Tiger Woods,74,69.42,1319,19
7,8,8,Fred Funk,112,69.43,3541,51
8,9,9,Scott Verplank,97,69.57,3061,44
9,10,10,Briny Baird,113,69.61,3063,44
10,11,11,Stewart Cink,104,69.7,3067,44
11,12,12,Nick Price,65,69.71,1673,24
12,13,13,Jeff Sluman,106,69.73,3556,51
13,14,14,Robert Gamez,114,69.74,3766,54
14,15,15,David Toms,90,69.8,2443,35
15,16,16,Dicky Pride,73,69.82,2653,38
16,17,17,Mark Calcavecchia,84,69.83,2863,41
17,18,18,Davis Love III,85,69.84,2165,31
18,19,19,Jay Haas,89,69.85,2864,41
19,20,20,Patrick Sheehan,101,69.89,3704,53
20,21,21,Stephen Ames,91,69.9,3355,48
21,T22,T22,John Huston,76,69.94,2518,36
22,T22,T22,Justin Leonard,80,69.94,2448,35
23,T24,T24,Charles Howell III,120,70.0,3710,53
24,T24,T24,Brandt Jobe,77,70.0,2730,39
25,T24,T24,Tim Petrovic,108,70.0,3290,47
26,T27,T27,Cameron Beckman,86,70.02,2941,42
27,T27,T27,Glen Day,103,70.02,3431,49
28,29,29,Phil Mickelson,87,70.03,2661,38
29,30,30,Kevin Sutherland,97,70.07,3083,44
30,T31,T31,Chris DiMarco,98,70.09,3084,44
31,T31,T31,Tom Lehman,87,70.09,3224,46
32,T31,T31,David Peoples,96,70.09,3294,47
33,T34,T34,Stuart Appleby,90,70.1,2944,42
34,T34,T34,Arron Oberholser,80,70.1,2874,41
35,T34,T34,Kenny Perry,98,70.1,2804,40
36,37,37,Tim Herron,102,70.14,3577,51
37,38,38,Darren Clarke,61,70.16,1754,25
38,39,39,Steve Flesch,110,70.17,3649,52
39,40,40,Bob Estes,92,70.18,2737,39
40,T41,T41,Marco Dawson,86,70.21,3300,47
41,T41,T41,Paul Stankowski,67,70.21,2036,29
42,43,43,Rod Pampling,87,70.22,2528,36
43,44,44,Rocco Mediate,80,70.26,2670,38
44,T45,T45,Paul Goydos,86,70.27,2600,37
45,T45,T45,Hal Sutton,81,70.27,2881,41
46,47,47,Carlos Franco,99,70.29,3444,49
47,T48,T48,Andrew Magee,91,70.31,3164,45
48,T48,T48,Duffy Waldorf,90,70.31,3164,45
49,50,50,Jeff Brehaut,110,70.33,3587,51
50,T51,T51,J.J. Henry,100,70.36,3307,47
51,T51,T51,Loren Roberts,87,70.36,2744,39
52,53,53,Skip Kendall,110,70.38,4293,61
53,54,54,Brent Geiberger,51,70.39,1971,28
54,T55,T55,Alex Cejka,98,70.41,3591,51
55,T55,T55,Dan Forsman,98,70.41,3802,54
56,57,57,Kirk Triplett,92,70.42,3380,48
57,58,58,Tom Pernice Jr.,105,70.43,3451,49
58,59,59,Brad Faxon,97,70.44,3029,43
59,T60,T60,Billy Andrade,100,70.48,3665,52
60,T60,T60,Peter Lonard,96,70.48,3101,44
61,62,62,Woody Austin,107,70.5,3525,50
62,63,63,Brenden Pappas,105,70.52,3526,50
63,T64,T64,Robert Allenby,87,70.53,2257,32
64,T64,T64,John Senden,111,70.53,3879,55
65,66,66,Mike Sposa,72,70.55,2681,38
66,67,67,Tom Gillis,71,70.56,2540,36
67,68,68,Harrison Frazar,88,70.57,2964,42
68,T69,T69,Mike Heinen,89,70.58,3388,48
69,T69,T69,Bob Tway,89,70.58,2329,33
70,71,71,Hidemichi Tanaka,112,70.59,4094,58
71,T72,T72,K.J. Choi,112,70.6,3530,50
72,T72,T72,Adam Scott,52,70.6,1059,15
73,74,74,Luke Donald,88,70.62,2966,42
74,75,75,Notah Begay III,92,70.64,3108,44
75,76,76,Steve Lowery,86,70.65,2614,37
76,77,77,Pat Perez,95,70.67,3180,45
77,78,78,Deane Pappas,75,70.68,2827,40
78,79,79,Jerry Kelly,108,70.69,3181,45
79,T80,T80,Geoff Ogilvy,86,70.71,2475,35
80,T80,T80,John Riegger,55,70.71,1980,28
81,82,82,Kent Jones,74,70.76,2406,34
82,T83,T83,Dudley Hart,66,70.77,2194,31
83,T83,T83,Per-Ulrik Johansson,96,70.77,3326,47
84,T83,T83,Billy Mayfair,105,70.77,4034,57
85,T86,T86,David Frost,80,70.78,3256,46
86,T86,T86,Rory Sabbatini,95,70.78,3539,50
87,T88,T88,Fred Couples,71,70.8,1770,25
88,T88,T88,Shaun Micheel,97,70.8,3540,50
89,T90,T90,Ben Crane,94,70.82,3470,49
90,T90,T90,Richard Johnson,89,70.82,3612,51
91,T90,T90,Jeff Maggert,81,70.82,2762,39
92,93,93,Chris Riley,96,70.83,2479,35
93,94,94,Tom Byrum,97,70.84,3613,51
94,95,95,Corey Pavin,88,70.85,2834,40
95,96,96,J.P. Hayes,79,70.86,3118,44
96,97,97,Joe Durant,96,70.88,3615,51
97,T98,T98,David Gossett,92,70.89,3261,46
98,T98,T98,Brent Schwarzrock,60,70.89,2481,35
99,T98,T98,David Sutherland,77,70.89,2552,36
100,101,101,Lee Janzen,83,70.9,2836,40
101,T102,T102,Craig Barlow,95,70.91,3333,47
102,T102,T102,Scott McCarron,86,70.91,2482,35
103,T102,T102,Carl Pettersson,80,70.91,3120,44
104,105,105,Joey Sindelar,93,70.92,3475,49
105,T106,T106,Jonathan Byrd,101,70.93,3192,45
106,T106,T106,Darron Stiles,93,70.93,2979,42
107,108,108,Olin Browne,113,70.94,3831,54
108,109,109,Frank Lickliter II,94,70.95,3122,44
109,110,110,Aaron Barber,94,70.96,3761,53
110,T111,T111,Scott Laycock,71,71.0,2627,37
111,T111,T111,Brett Quigley,92,71.0,3337,47
112,T113,T113,Pat Bates,111,71.02,3906,55
113,T113,T113,John Rollins,89,71.02,3054,43
114,115,115,Greg Chalmers,98,71.04,3623,51
115,116,116,Paul Gow,62,71.07,2061,29
116,117,117,Brian Gay,100,71.08,3625,51
117,T118,T118,Todd Fischer,97,71.1,3413,48
118,T118,T118,Neal Lancaster,110,71.1,4124,58
119,120,120,Spike McRoy,103,71.12,4196,59
120,121,121,Brian Henninger,56,71.13,2205,31
121,122,122,Aaron Baddeley,71,71.14,2490,35
122,123,123,Peter Jacobsen,75,71.17,2562,36
123,124,124,Tommy Armour III,66,71.19,2207,31
124,125,125,Cliff Kresge,102,71.2,3845,54
125,T126,T126,Chris Anderson,96,71.21,3703,52
126,T126,T126,Jesper Parnevik,102,71.21,4059,57
127,T126,T126,Esteban Toledo,109,71.21,4415,62
128,129,129,Robert Damron,96,71.22,3632,51
129,130,130,Jay Williamson,93,71.24,3277,46
130,131,131,Carl Paulson,101,71.27,3991,56
131,132,132,Thomas Levet,85,71.28,3350,47
132,133,133,Mike Grob,83,71.29,2923,41
133,134,134,Donnie Hammond,92,71.3,3565,50
134,T135,T135,Tim Clark,79,71.32,2639,37
135,T135,T135,Shigeki Maruyama,87,71.32,2710,38
136,137,137,Dean Wilson,82,71.36,2997,42
137,138,138,Garrett Willis,97,71.38,3712,52
138,T139,T139,Glen Hnatiuk,92,71.4,3356,47
139,T139,T139,Matt Kuchar,63,71.4,2142,30
140,T141,T141,Doug Barron,90,71.43,3500,49
141,T141,T141,Ben Curtis,69,71.43,2643,37
142,T141,T141,Ian Leggatt,71,71.43,2643,37
143,144,144,Jay Don Blake,77,71.46,2930,41
144,T145,T145,Mathew Goggin,90,71.47,3216,45
145,T145,T145,Jonathan Kaye,91,71.47,3073,43
146,T145,T145,Len Mattiace,94,71.47,3216,45
147,148,148,Steve Stricker,59,71.48,2216,31
148,149,149,Paul Azinger,73,71.51,2789,39
149,150,150,Andy Miller,75,71.53,3219,45
150,151,151,Sergio Garcia,62,71.54,1717,24
151,152,152,Michael Clark II,54,71.58,2219,31
152,T153,T153,Brian Bateman,70,71.66,2508,35
153,T153,T153,Kenneth Staton,59,71.66,2078,29
154,155,155,Hank Kuehne,73,71.68,2652,37
155,156,156,Matt Gogel,77,71.7,2868,40
156,157,157,Mark Brooks,90,71.74,3372,47
157,158,158,Jason Gore,83,71.75,3157,44
158,159,159,John Maginnes,87,71.76,3301,46
159,160,160,J.L. Lewis,99,71.79,4020,56
160,161,161,John Morgan,81,71.8,2944,41
161,162,162,Jim Carter,95,71.84,3951,55
162,163,163,Rich Beem,80,71.86,2587,36
163,164,164,Steven Alker,87,71.88,2875,40
164,T165,T165,Kenichi Kuboya,91,71.91,3236,45
165,T165,T165,Bernhard Langer,65,71.91,2373,33
166,T165,T165,Chris Smith,92,71.91,3883,54
167,T168,T168,Craig Perks,82,71.93,2877,40
168,T168,T168,Heath Slocum,101,71.93,3309,46
169,170,170,Steve Allan,53,71.96,1727,24
170,171,171,Akio Sadakata,83,72.0,3168,44
171,172,172,Mark Wilson,82,72.07,3099,43
172,173,173,Bob Burns,88,72.08,3676,51
173,174,174,Jason Caron,74,72.1,2956,41
174,175,175,Joel Edwards,60,72.13,2308,32
175,176,176,Gene Sauers,87,72.21,3394,47
176,177,177,Jason Buha,61,72.25,2312,32
177,178,178,Todd Barranger,78,72.27,2963,41
178,179,179,"Dave Stockton, Jr.",79,72.31,3037,42
179,180,180,Brad Elder,51,72.42,1883,26
180,181,181,Gavin Coles,69,72.5,2610,36
181,182,182,Vance Veazey,66,72.52,2393,33
182,183,183,Mark O'Meara,69,72.58,2613,36
183,184,184,Cameron Yancey,58,72.7,1963,27
184,185,185,Kaname Yokoo,56,72.82,2476,34
185,186,186,José Coceres,62,72.93,2188,30
186,187,187,John Daly,56,72.97,2262,31
187,188,188,Anthony Painter,87,73.0,2993,41
188,189,189,Ty Tryon,52,73.11,1974,27
189,190,190,Jeff Klein,60,73.82,2067,28
