,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Vijay Singh,69.11,3663,53
1,2,2,Tiger Woods,69.18,2352,34
2,3,3,Jim Furyk,69.39,3747,54
3,4,4,Retief Goosen,69.44,2361,34
4,5,5,Charles Howell III,69.64,4248,61
5,6,6,Ernie Els,69.67,2090,30
6,7,7,Scott Verplank,69.75,3697,53
7,8,8,Chad Campbell,69.78,3838,55
8,T9,T9,Stewart Cink,69.79,3978,57
9,T9,T9,Robert Gamez,69.79,4606,66
10,11,11,Tim Herron,69.8,4188,60
11,12,12,Dan Forsman,69.91,3985,57
12,13,13,Briny Baird,69.92,4475,64
13,14,14,John Huston,69.93,3077,44
14,15,15,Kenny Perry,69.96,3708,53
15,16,16,Nick Price,70.0,2240,32
16,T17,T17,Stephen Ames,70.04,3642,52
17,T17,T17,Paul Goydos,70.04,3502,50
18,19,19,Fred Couples,70.05,2592,37
19,20,20,Chris DiMarco,70.08,3644,52
20,21,21,Davis Love III,70.11,3155,45
21,T22,T22,Tim Petrovic,70.15,4630,66
22,T22,T22,Mike Weir,70.15,2876,41
23,T24,T24,Mark Calcavecchia,70.16,3438,49
24,T24,T24,Bob Estes,70.16,3438,49
25,26,26,Aaron Baddeley,70.21,2738,39
26,27,27,Hidemichi Tanaka,70.24,4355,62
27,28,28,Rod Pampling,70.25,3864,55
28,29,29,Bob Tway,70.26,3724,53
29,30,30,Duffy Waldorf,70.27,3584,51
30,31,31,Harrison Frazar,70.3,3796,54
31,T32,T32,Brandt Jobe,70.31,3164,45
32,T32,T32,David Toms,70.31,3375,48
33,34,34,Loren Roberts,70.34,3306,47
34,T35,T35,Woody Austin,70.36,4292,61
35,T35,T35,Arron Oberholser,70.36,3518,50
36,T37,T37,Carlos Franco,70.37,4152,59
37,T37,T37,Kirk Triplett,70.37,3589,51
38,T39,T39,Fred Funk,70.38,4504,64
39,T39,T39,Shaun Micheel,70.38,3871,55
40,41,41,Cameron Beckman,70.4,3520,50
41,42,42,David Peoples,70.41,4295,61
42,T43,T43,Jerry Kelly,70.43,4296,61
43,T43,T43,Phil Mickelson,70.43,3240,46
44,T43,T43,Brett Quigley,70.43,3733,53
45,T46,T46,Jay Haas,70.44,3381,48
46,T46,T46,Tom Pernice Jr.,70.44,4508,64
47,T46,T46,Paul Stankowski,70.44,3170,45
48,49,49,Kevin Sutherland,70.45,3945,56
49,50,50,John Senden,70.46,4791,68
50,51,51,Andrew Magee,70.48,3806,54
51,52,52,Peter Jacobsen,70.5,3384,48
52,53,53,Glen Day,70.51,4442,63
53,54,54,Patrick Sheehan,70.52,4513,64
54,T55,T55,Joe Durant,70.54,4162,59
55,T55,T55,Jeff Sluman,70.54,4444,63
56,57,57,Steve Flesch,70.56,4798,68
57,58,58,Jeff Brehaut,70.59,4659,66
58,T59,T59,Olin Browne,70.6,4942,70
59,T59,T59,Dicky Pride,70.6,3389,48
60,T61,T61,Robert Allenby,70.61,3107,44
61,T61,T61,Brent Geiberger,70.61,2330,33
62,T63,T63,Tom Lehman,70.62,3531,50
63,T63,T63,Carl Paulson,70.62,4590,65
64,65,65,Skip Kendall,70.63,4520,64
65,66,66,Lee Janzen,70.65,3603,51
66,T67,T67,Darren Clarke,70.66,2049,29
67,T67,T67,J.J. Henry,70.66,4381,62
68,69,69,Jonathan Kaye,70.67,3887,55
69,T70,T70,David Gossett,70.68,4170,59
70,T70,T70,Justin Leonard,70.68,3110,44
71,72,72,Hal Sutton,70.69,3605,51
72,73,73,Billy Andrade,70.71,4384,62
73,74,74,Craig Barlow,70.73,4173,59
74,75,75,Alex Cejka,70.75,3962,56
75,76,76,Neal Lancaster,70.78,4884,69
76,T77,T77,Donnie Hammond,70.79,4106,58
77,T77,T77,Geoff Ogilvy,70.79,3752,53
78,79,79,Brian Henninger,70.8,2478,35
79,80,80,K.J. Choi,70.82,4320,61
80,81,81,J.P. Hayes,70.83,3754,53
81,T82,T82,Chris Riley,70.86,4039,57
82,T82,T82,Joey Sindelar,70.86,4110,58
83,84,84,Frank Lickliter II,70.87,4323,61
84,85,85,Rocco Mediate,70.89,3190,45
85,86,86,Tim Clark,70.9,3474,49
86,T87,T87,Billy Mayfair,70.91,4609,65
87,T87,T87,John Riegger,70.91,2269,32
88,T89,T89,David Frost,70.92,3546,50
89,T89,T89,Len Mattiace,70.92,3759,53
90,91,91,Rory Sabbatini,70.94,3831,54
91,92,92,Corey Pavin,70.96,3619,51
92,T93,T93,Richard Johnson,70.98,4117,58
93,T93,T93,Hank Kuehne,70.98,3194,45
94,T93,T93,Peter Lonard,70.98,3549,50
95,T93,T93,Jesper Parnevik,70.98,4472,63
96,97,97,Pat Bates,70.99,5111,72
97,T98,T98,Cliff Kresge,71.0,4615,65
98,T98,T98,Shigeki Maruyama,71.0,3763,53
99,T98,T98,Deane Pappas,71.0,3337,47
100,101,101,Kent Jones,71.02,3267,46
101,T102,T102,Per-Ulrik Johansson,71.03,4688,66
102,T102,T102,J.L. Lewis,71.03,4475,63
103,T104,T104,Ben Crane,71.05,3908,55
104,T104,T104,Brent Schwarzrock,71.05,2700,38
105,106,106,Dudley Hart,71.07,2985,42
106,107,107,Marco Dawson,71.08,4478,63
107,T108,T108,Brad Faxon,71.09,3839,54
108,T108,T108,Steve Lowery,71.09,3910,55
109,T108,T108,Brenden Pappas,71.09,4834,68
110,111,111,Jeff Maggert,71.1,3555,50
111,T112,T112,Ian Leggatt,71.13,3414,48
112,T112,T112,John Rollins,71.13,3841,54
113,114,114,Paul Gow,71.14,3130,44
114,115,115,Tom Byrum,71.16,4483,63
115,T116,T116,Luke Donald,71.17,3843,54
116,T116,T116,David Sutherland,71.17,3701,52
