,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Vijay Singh,106,25.22,463,1836
1,2,2,Tiger Woods,74,25.0,306,1224
2,3,3,John Huston,76,24.59,332,1350
3,4,4,Chris DiMarco,98,23.89,400,1674
4,5,5,Retief Goosen,69,23.78,274,1152
5,6,6,Robert Gamez,114,23.73,487,2052
6,7,7,Hank Kuehne,73,23.63,302,1278
7,8,8,Mark Calcavecchia,84,23.61,357,1512
8,9,9,Stephen Ames,91,23.6,378,1602
9,10,10,Davis Love III,85,23.56,335,1422
10,11,11,Robert Allenby,87,23.4,337,1440
11,12,12,Paul Stankowski,67,23.38,282,1206
12,13,13,Scott Verplank,97,23.21,401,1728
13,14,14,Brenden Pappas,105,23.19,430,1854
14,15,15,Phil Mickelson,87,23.06,332,1440
15,16,16,Mike Weir,80,23.04,311,1350
16,17,17,Jim Furyk,104,22.99,418,1818
17,18,18,Woody Austin,107,22.97,430,1872
18,19,19,Geoff Ogilvy,86,22.9,338,1476
19,20,20,Steve Flesch,110,22.74,442,1944
20,21,21,Stewart Cink,104,22.72,409,1800
21,T22,T22,Chad Campbell,105,22.66,416,1836
22,T22,T22,Mike Heinen,89,22.66,359,1584
23,24,24,Fred Couples,71,22.55,272,1206
24,25,25,Paul Goydos,86,22.49,336,1494
25,26,26,Craig Barlow,95,22.4,375,1674
26,27,27,Rod Pampling,87,22.36,334,1494
27,28,28,Stuart Appleby,90,22.35,342,1530
28,29,29,Tim Herron,102,22.28,401,1800
29,30,30,Jerry Kelly,108,22.17,415,1872
30,31,31,Justin Leonard,80,22.15,299,1350
31,T32,T32,Cameron Beckman,86,22.09,330,1494
32,T32,T32,Tom Lehman,87,22.09,326,1476
33,T32,T32,Scott McCarron,86,22.09,322,1458
34,35,35,Deane Pappas,75,22.07,290,1314
35,36,36,Aaron Baddeley,71,22.06,266,1206
36,37,37,Darren Clarke,61,22.02,214,972
37,38,38,Kent Jones,74,21.98,277,1260
38,39,39,Briny Baird,113,21.97,431,1962
39,40,40,Glen Day,103,21.95,399,1818
40,T41,T41,Ben Crane,94,21.92,363,1656
41,T41,T41,David Sutherland,77,21.92,288,1314
42,43,43,Tom Pernice Jr.,105,21.9,402,1836
43,44,44,Jonathan Byrd,101,21.89,398,1818
44,45,45,Tim Petrovic,108,21.85,409,1872
45,46,46,Skip Kendall,110,21.82,432,1980
46,T47,T47,Patrick Sheehan,101,21.77,388,1782
47,T47,T47,Duffy Waldorf,90,21.77,337,1548
48,49,49,John Rollins,89,21.76,333,1530
49,50,50,Brent Schwarzrock,60,21.74,227,1044
50,T51,T51,Ernie Els,65,21.67,234,1080
51,T51,T51,Bob Estes,92,21.67,355,1638
52,53,53,Harrison Frazar,88,21.63,331,1530
53,54,54,David Toms,90,21.6,315,1458
54,55,55,David Gossett,92,21.56,357,1656
55,56,56,Carl Pettersson,80,21.52,306,1422
56,T57,T57,Chris Riley,96,21.48,348,1620
57,T57,T57,Kirk Triplett,92,21.48,348,1620
58,59,59,Joe Durant,96,21.47,371,1728
59,60,60,Steve Lowery,86,21.46,309,1440
60,T61,T61,Billy Andrade,100,21.44,386,1800
61,T61,T61,Jeff Brehaut,110,21.44,413,1926
62,T61,T61,John Senden,111,21.44,413,1926
63,64,64,Kenny Perry,98,21.36,373,1746
64,65,65,Charles Howell III,120,21.3,441,2070
65,66,66,Carlos Franco,99,21.25,371,1746
66,67,67,Carl Paulson,101,21.23,386,1818
67,68,68,Brett Quigley,92,21.21,336,1584
68,69,69,J.P. Hayes,79,21.17,301,1422
69,T70,T70,Jay Haas,89,21.15,316,1494
70,T70,T70,Rory Sabbatini,95,21.15,354,1674
71,72,72,Brent Geiberger,51,21.13,194,918
72,73,73,Greg Chalmers,98,21.11,361,1710
73,T74,T74,Per-Ulrik Johansson,96,20.95,362,1728
74,T74,T74,Garrett Willis,97,20.95,362,1728
75,T76,T76,Jeff Maggert,81,20.92,305,1458
76,T76,T76,Bob Tway,89,20.92,320,1530
77,78,78,Rocco Mediate,80,20.87,293,1404
78,79,79,Darron Stiles,93,20.86,338,1620
79,T80,T80,Tommy Armour III,66,20.83,240,1152
80,T80,T80,Jonathan Kaye,91,20.83,330,1584
81,T82,T82,Jason Gore,83,20.82,311,1494
82,T82,T82,Frank Lickliter II,94,20.82,341,1638
83,84,84,Jeff Sluman,106,20.78,389,1872
84,85,85,Alex Cejka,98,20.76,340,1638
85,86,86,Peter Jacobsen,75,20.74,280,1350
86,87,87,David Peoples,96,20.72,358,1728
87,88,88,Dan Forsman,98,20.69,365,1764
88,89,89,Hal Sutton,81,20.64,301,1458
89,T90,T90,Brandt Jobe,77,20.63,286,1386
