,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,1,1,Jim Furyk,27,59
1,2,2,Vijay Singh,27,56
2,3,3,Briny Baird,33,50
3,4,4,Fred Funk,33,49
4,5,5,Stewart Cink,28,48
5,T6,T6,Dan Forsman,27,47
6,T6,T6,Robert Gamez,31,47
7,T8,T8,Charles Howell III,31,46
8,T8,T8,Jerry Kelly,30,46
9,T10,T10,Steve Flesch,33,45
10,T10,T10,Skip Kendall,30,45
11,T10,T10,Jeff Sluman,31,45
12,T10,T10,Scott Verplank,26,45
13,T14,T14,Chad Campbell,27,44
14,T14,T14,Chris DiMarco,27,44
15,T14,T14,Tim Petrovic,32,44
16,T17,T17,David Peoples,30,43
17,T17,T17,Kenny Perry,26,43
18,T19,T19,Joe Durant,28,42
19,T19,T19,Tim Herron,29,42
20,T19,T19,Hidemichi Tanaka,30,42
21,T22,T22,Jeff Brehaut,32,41
22,T22,T22,Glen Day,31,41
23,T24,T24,Woody Austin,31,40
24,T24,T24,Bob Estes,25,40
25,T24,T24,John Senden,33,40
26,T27,T27,Neal Lancaster,35,39
27,T27,T27,Davis Love III,23,39
28,T27,T27,Brenden Pappas,33,39
29,T27,T27,Kirk Triplett,25,39
30,T31,T31,Cameron Beckman,26,38
31,T31,T31,Ben Crane,27,38
32,T31,T31,Chris Riley,29,38
33,T31,T31,Patrick Sheehan,32,38
34,T35,T35,Robert Allenby,24,37
35,T35,T35,K.J. Choi,32,37
36,T35,T35,Carlos Franco,30,37
37,T35,T35,Jay Haas,25,37
38,T35,T35,Shaun Micheel,28,37
39,T35,T35,Bob Tway,26,37
40,T35,T35,Garrett Willis,32,37
41,T42,T42,Stephen Ames,27,36
42,T42,T42,Pat Bates,35,36
43,T42,T42,Carl Paulson,32,36
44,T42,T42,Tom Pernice Jr.,31,36
45,T42,T42,Esteban Toledo,35,36
46,T47,T47,Billy Andrade,29,35
47,T47,T47,Olin Browne,34,35
48,T47,T47,Harrison Frazar,27,35
49,T47,T47,Brian Gay,34,35
50,T47,T47,John Huston,23,35
51,T47,T47,Corey Pavin,26,35
52,T47,T47,Mike Weir,21,35
53,T54,T54,Mark Calcavecchia,24,34
54,T54,T54,Brad Faxon,27,34
55,T54,T54,Billy Mayfair,31,34
56,T54,T54,Rod Pampling,27,34
57,T54,T54,Hal Sutton,24,34
58,T54,T54,Tiger Woods,18,34
59,T60,T60,J.J. Henry,31,33
60,T60,T60,Tom Lehman,25,33
61,T60,T60,Justin Leonard,23,33
62,T60,T60,Andrew Magee,26,33
63,T60,T60,Spike McRoy,35,33
64,T60,T60,Brett Quigley,27,33
65,T60,T60,David Toms,26,33
66,T67,T67,Notah Begay III,30,32
67,T67,T67,Retief Goosen,19,32
68,T67,T67,Paul Goydos,25,32
69,T67,T67,Richard Johnson,28,32
70,T67,T67,J.L. Lewis,31,32
71,T67,T67,Shigeki Maruyama,28,32
72,T67,T67,Phil Mickelson,23,32
73,T67,T67,Duffy Waldorf,25,32
74,T75,T75,Stuart Appleby,27,31
75,T75,T75,Craig Barlow,29,31
76,T75,T75,Mike Heinen,29,31
77,T75,T75,Peter Jacobsen,22,31
78,T75,T75,Brandt Jobe,22,31
79,T75,T75,Per-Ulrik Johansson,31,31
80,T75,T75,Peter Lonard,26,31
81,T75,T75,Len Mattiace,27,31
82,T75,T75,Geoff Ogilvy,26,31
83,T75,T75,Jesper Parnevik,31,31
84,T75,T75,Rory Sabbatini,27,31
85,T86,T86,Jonathan Byrd,29,30
86,T86,T86,Alex Cejka,30,30
87,T86,T86,Kent Jones,23,30
