,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Jim Furyk,104,12.27,223,1818
1,2,2,Dan Forsman,98,13.1,231,1764
2,3,3,Vijay Singh,106,13.34,245,1836
3,4,4,Arron Oberholser,80,13.4,193,1440
4,5,5,Jeff Sluman,106,13.94,261,1872
5,6,6,Briny Baird,113,13.97,274,1962
6,7,7,David Peoples,96,14.29,247,1728
7,8,8,Davis Love III,85,14.42,205,1422
8,9,9,Hidemichi Tanaka,112,14.43,291,2016
9,10,10,Stewart Cink,104,14.44,260,1800
10,11,11,Scott Verplank,97,14.47,250,1728
11,12,12,Skip Kendall,110,14.49,287,1980
12,13,13,Stephen Ames,91,14.61,234,1602
13,14,14,Glen Day,103,14.69,267,1818
14,T15,T15,Bob Tway,89,14.71,225,1530
15,T15,T15,Tiger Woods,74,14.71,180,1224
16,17,17,Kirk Triplett,92,14.75,239,1620
17,18,18,Pat Bates,111,14.76,287,1944
18,19,19,Ernie Els,65,14.81,160,1080
19,20,20,Kenny Perry,98,14.83,259,1746
20,21,21,Mike Weir,80,14.89,201,1350
21,22,22,Rod Pampling,87,14.93,223,1494
22,23,23,Brandt Jobe,77,14.94,207,1386
23,24,24,Jerry Kelly,108,14.96,280,1872
24,25,25,Andrew Magee,91,14.98,240,1602
25,26,26,Dicky Pride,73,14.99,197,1314
26,27,27,Retief Goosen,69,15.02,173,1152
27,28,28,Tim Herron,102,15.06,271,1800
28,29,29,Tim Petrovic,108,15.12,283,1872
29,30,30,John Riegger,55,15.17,142,936
30,31,31,Jay Haas,89,15.19,227,1494
31,T32,T32,Bob Estes,92,15.2,249,1638
32,T32,T32,Joey Sindelar,93,15.2,249,1638
33,34,34,Charles Howell III,120,15.22,315,2070
34,35,35,Fred Funk,112,15.24,299,1962
35,36,36,John Huston,76,15.33,207,1350
36,37,37,Brett Quigley,92,15.34,243,1584
37,38,38,David Frost,80,15.35,221,1440
38,39,39,Chad Campbell,105,15.36,282,1836
39,40,40,Kevin Sutherland,97,15.37,260,1692
40,41,41,Justin Leonard,80,15.41,208,1350
41,T42,T42,Jeff Brehaut,110,15.42,297,1926
42,T42,T42,Neal Lancaster,110,15.42,297,1926
43,T42,T42,John Senden,111,15.42,297,1926
44,45,45,David Toms,90,15.43,225,1458
45,46,46,Hal Sutton,81,15.5,226,1458
46,47,47,Paul Stankowski,67,15.51,187,1206
47,48,48,Chris DiMarco,98,15.53,260,1674
48,49,49,Joe Durant,96,15.63,270,1728
49,50,50,Dudley Hart,66,15.66,186,1188
50,51,51,J.J. Henry,100,15.68,271,1728
51,52,52,Brent Geiberger,51,15.69,144,918
52,T53,T53,Robert Allenby,87,15.76,227,1440
53,T53,T53,Loren Roberts,87,15.76,244,1548
54,55,55,Chris Riley,96,15.8,256,1620
55,56,56,Patrick Sheehan,101,15.82,282,1782
56,57,57,Steve Flesch,110,15.84,308,1944
57,58,58,Paul Goydos,86,15.86,237,1494
58,59,59,Harrison Frazar,88,15.88,243,1530
59,60,60,Duffy Waldorf,90,15.89,246,1548
60,61,61,Stuart Appleby,90,16.01,245,1530
61,62,62,Jay Williamson,93,16.12,267,1656
62,T63,T63,Robert Gamez,114,16.18,332,2052
