,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Hank Kuehne,73,32.39,23,71
1,2,2,Darren Clarke,61,30.65,19,62
2,3,3,Phil Mickelson,87,28.57,18,63
3,4,4,Davis Love III,85,27.84,27,97
4,5,5,John Daly,56,26.19,11,42
5,6,6,Retief Goosen,69,23.75,19,80
6,7,7,Vijay Singh,106,22.68,22,97
7,8,8,Brenden Pappas,105,22.5,27,120
8,9,9,Adam Scott,52,22.22,10,45
9,10,10,Geoff Ogilvy,86,22.09,19,86
10,11,11,Paul Stankowski,67,21.21,21,99
11,12,12,Chad Campbell,105,21.14,26,123
12,13,13,Charles Howell III,120,20.57,29,141
13,14,14,Robert Allenby,87,20.39,21,103
14,15,15,Kenneth Staton,59,20.37,11,54
15,16,16,Tommy Armour III,66,20.31,13,64
16,17,17,Fred Couples,71,19.74,15,76
17,18,18,Rich Beem,80,19.51,16,82
18,19,19,Kent Jones,74,18.75,21,112
19,20,20,Deane Pappas,75,18.67,14,75
20,21,21,Carlos Franco,99,18.57,26,140
21,22,22,Per-Ulrik Johansson,96,18.4,23,125
22,23,23,Brent Geiberger,51,18.18,10,55
23,24,24,Patrick Sheehan,101,18.1,21,116
24,25,25,Hidemichi Tanaka,112,18.02,31,172
25,26,26,Aaron Baddeley,71,18.0,18,100
26,27,27,Stephen Ames,91,17.89,22,123
27,28,28,Duffy Waldorf,90,17.74,22,124
28,29,29,Mike Heinen,89,17.7,20,113
29,T30,T30,John Riegger,55,17.39,12,69
30,T30,T30,David Sutherland,77,17.39,16,92
31,32,32,Ernie Els,65,17.33,13,75
32,33,33,Craig Barlow,95,17.32,22,127
33,T34,T34,Jeff Brehaut,110,17.29,23,133
34,T34,T34,Jim Furyk,104,17.29,23,133
35,T36,T36,Todd Barranger,78,17.28,14,81
36,T36,T36,Kenny Perry,98,17.28,14,81
37,38,38,Jonathan Kaye,91,17.19,22,128
38,39,39,Rocco Mediate,80,17.12,19,111
39,40,40,Fred Funk,112,17.1,33,193
40,41,41,Jeff Maggert,81,17.05,22,129
41,42,42,Jason Gore,83,16.96,19,112
42,43,43,Bob Tway,89,16.94,21,124
43,44,44,Chris Smith,92,16.84,16,95
44,T45,T45,Mark Calcavecchia,84,16.67,16,96
45,T45,T45,Sergio Garcia,62,16.67,8,48
46,47,47,Chris Anderson,96,16.53,20,121
47,48,48,Stuart Appleby,90,16.46,13,79
48,49,49,Mike Sposa,72,16.44,12,73
49,50,50,"Dave Stockton, Jr.",79,16.38,19,116
50,51,51,Robert Gamez,114,16.31,23,141
51,52,52,Chris DiMarco,98,16.2,23,142
52,53,53,Greg Chalmers,98,16.18,22,136
53,54,54,Notah Begay III,92,15.97,23,144
54,55,55,Harrison Frazar,88,15.85,13,82
55,56,56,Woody Austin,107,15.79,18,114
56,57,57,David Toms,90,15.57,19,122
57,T58,T58,Stewart Cink,104,15.38,24,156
58,T58,T58,Jeff Sluman,106,15.38,18,117
59,60,60,Tom Pernice Jr.,105,15.32,19,124
60,61,61,Andrew Magee,91,15.24,16,105
61,62,62,Corey Pavin,88,15.23,23,151
62,63,63,Dan Forsman,98,15.19,24,158
63,64,64,Carl Pettersson,80,15.18,17,112
64,65,65,John Rollins,89,15.12,13,86
65,66,66,Todd Fischer,97,15.08,19,126
66,67,67,Garrett Willis,97,15.04,20,133
67,68,68,J.J. Henry,100,14.97,25,167
68,69,69,Kirk Triplett,92,14.96,19,127
69,T70,T70,Brad Elder,51,14.93,10,67
70,T70,T70,Paul Goydos,86,14.93,20,134
71,72,72,Tim Herron,102,14.84,19,128
72,T73,T73,Briny Baird,113,14.71,20,136
73,T73,T73,Darron Stiles,93,14.71,15,102
74,75,75,Brad Faxon,97,14.65,23,157
75,T76,T76,Brian Bateman,70,14.63,12,82
76,T76,T76,David Gossett,92,14.63,18,123
77,78,78,Ben Crane,94,14.6,20,137
78,79,79,Mathew Goggin,90,14.58,14,96
79,80,80,Scott McCarron,86,14.29,13,91
80,81,81,Mark Wilson,82,14.17,17,120
81,T82,T82,Scott Laycock,71,14.14,14,99
82,T82,T82,Hal Sutton,81,14.14,14,99
83,84,84,Billy Mayfair,105,13.97,19,136
84,85,85,Vance Veazey,66,13.75,11,80
85,T86,T86,Heath Slocum,101,13.71,24,175
86,T86,T86,Jay Williamson,93,13.71,17,124
87,88,88,John Senden,111,13.66,22,161
88,T89,T89,Joe Durant,96,13.64,15,110
89,T89,T89,Mark O'Meara,69,13.64,12,88
90,T91,T91,Doug Barron,90,13.55,21,155
91,T91,T91,Joey Sindelar,93,13.55,21,155
92,93,93,Paul Azinger,73,13.51,15,111
93,94,94,Jonathan Byrd,101,13.46,14,104
94,95,95,Pat Perez,95,13.39,15,112
95,96,96,Loren Roberts,87,13.33,20,150
96,T97,T97,Carl Paulson,101,13.27,15,113
97,T97,T97,Brett Quigley,92,13.27,13,98
98,99,99,Alex Cejka,98,13.24,18,136
99,100,100,Jerry Kelly,108,13.21,21,159
100,T101,T101,John Huston,76,13.19,12,91
101,T101,T101,Tom Lehman,87,13.19,12,91
102,103,103,Shaun Micheel,97,13.18,17,129
103,T104,T104,K.J. Choi,112,13.16,15,114
104,T104,T104,Rod Pampling,87,13.16,10,76
105,106,106,Glen Hnatiuk,92,13.13,21,160
106,107,107,J.P. Hayes,79,13.01,16,123
107,T108,T108,Tom Gillis,71,12.87,13,101
108,T108,T108,Anthony Painter,87,12.87,13,101
109,110,110,Marco Dawson,86,12.82,10,78
110,111,111,Bob Estes,92,12.78,17,133
111,112,112,Steve Lowery,86,12.77,12,94
112,T113,T113,Peter Lonard,96,12.73,14,110
113,T113,T113,Ty Tryon,52,12.73,7,55
114,T115,T115,Frank Lickliter II,94,12.5,18,144
115,T115,T115,Andy Miller,75,12.5,10,80
116,117,117,Shigeki Maruyama,87,12.41,17,137
117,118,118,Justin Leonard,80,12.39,14,113
118,119,119,Rory Sabbatini,95,12.3,15,122
119,120,120,Dicky Pride,73,12.26,13,106
120,121,121,Skip Kendall,110,12.24,18,147
121,T122,T122,Brent Schwarzrock,60,12.16,9,74
122,T122,T122,Kaname Yokoo,56,12.16,9,74
123,124,124,Jason Buha,61,12.09,11,91
124,T125,T125,José Coceres,62,12.0,12,100
125,T125,T125,Mike Weir,80,12.0,12,100
126,127,127,Mark Brooks,90,11.97,17,142
127,128,128,Cameron Beckman,86,11.81,15,127
128,T129,T129,Neal Lancaster,110,11.76,16,136
129,T129,T129,Steve Stricker,59,11.76,10,85
130,131,131,Kenichi Kuboya,91,11.72,17,145
131,132,132,Bernhard Langer,65,11.65,12,103
132,T133,T133,Olin Browne,113,11.54,24,208
133,T133,T133,Luke Donald,88,11.54,18,156
134,T133,T133,Akio Sadakata,83,11.54,12,104
135,T133,T133,Scott Verplank,97,11.54,18,156
136,137,137,Craig Perks,82,11.49,10,87
137,138,138,David Frost,80,11.35,16,141
138,139,139,Thomas Levet,85,11.32,12,106
139,140,140,Brian Gay,100,11.29,14,124
140,T141,T141,Pat Bates,111,11.24,20,178
141,T141,T141,Peter Jacobsen,75,11.24,10,89
142,143,143,Gene Sauers,87,11.2,14,125
143,144,144,Tom Byrum,97,11.18,18,161
144,145,145,Steven Alker,87,11.03,15,136
145,T146,T146,Jay Haas,89,10.95,15,137
146,T146,T146,Chris Riley,96,10.95,15,137
147,T148,T148,J.L. Lewis,99,10.87,15,138
148,T148,T148,John Morgan,81,10.87,10,92
149,150,150,Brandt Jobe,77,10.84,9,83
150,151,151,Esteban Toledo,109,10.7,20,187
151,152,152,Tiger Woods,74,10.58,11,104
152,153,153,Arron Oberholser,80,10.57,13,123
153,154,154,Billy Andrade,100,10.56,15,142
154,155,155,Mike Grob,83,10.42,10,96
155,156,156,David Peoples,96,10.37,14,135
156,157,157,Nick Price,65,10.31,10,97
157,158,158,Donnie Hammond,92,10.27,15,146
158,159,159,Tim Petrovic,108,10.19,16,157
159,160,160,Tim Clark,79,10.16,13,128
160,T161,T161,Bob Burns,88,10.0,12,120
161,T161,T161,Paul Gow,62,10.0,8,80
162,163,163,Matt Gogel,77,9.92,12,121
163,164,164,Steve Flesch,110,9.88,16,162
164,165,165,Brian Henninger,56,9.86,7,71
165,166,166,Jesper Parnevik,102,9.85,13,132
166,167,167,Jeff Klein,60,9.78,9,92
167,168,168,Cameron Yancey,58,9.72,7,72
168,169,169,Richard Johnson,89,9.55,15,157
169,170,170,Kevin Sutherland,97,9.43,10,106
170,171,171,Jason Caron,74,9.3,8,86
171,172,172,Dudley Hart,66,9.09,7,77
172,173,173,Aaron Barber,94,8.94,11,123
173,174,174,Len Mattiace,94,8.76,12,137
174,175,175,Glen Day,103,8.67,13,150
175,176,176,Lee Janzen,83,8.24,7,85
176,177,177,Jim Carter,95,8.0,12,150
177,178,178,Spike McRoy,103,7.98,13,163
178,179,179,John Maginnes,87,7.94,10,126
179,180,180,Robert Damron,96,7.79,12,154
180,181,181,Cliff Kresge,102,7.63,10,131
181,182,182,Dean Wilson,82,7.62,8,105
182,183,183,Michael Clark II,54,7.5,6,80
183,184,184,Ian Leggatt,71,6.98,6,86
184,185,185,Steve Allan,53,6.9,4,58
185,186,186,Joel Edwards,60,5.81,5,86
186,187,187,Gavin Coles,69,5.31,6,113
187,188,188,Matt Kuchar,63,5.26,5,95
188,189,189,Jay Don Blake,77,4.81,5,104
189,190,190,Ben Curtis,69,3.57,4,112
