,Late_Par_4_Scoring_Average_RANK THIS WEEK,Late_Par_4_Scoring_Average_RANK LAST WEEK,Late_Par_4_Scoring_Average_PLAYER NAME,Late_Par_4_Scoring_Average_ROUNDS,Late_Par_4_Scoring_Average_AVG,Late_Par_4_Scoring_Average_TOTAL STROKES,Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,106,3.93,2875,731
1,2,2,Peter Jacobsen,75,3.95,1602,406
2,3,3,Dan Forsman,98,3.96,1880,475
3,4,4,Stephen Ames,91,3.97,1678,423
4,T5,T5,Robert Allenby,87,3.98,1920,483
5,T5,T5,Joe Durant,96,3.98,1903,478
6,T5,T5,Jim Furyk,104,3.98,2446,614
7,T5,T5,John Huston,76,3.98,1518,381
8,T5,T5,Jerry Kelly,108,3.98,2333,586
9,T5,T5,Hank Kuehne,73,3.98,1402,352
10,T5,T5,Kirk Triplett,92,3.98,1667,419
11,T12,T12,Kenny Perry,98,3.99,2260,566
12,T12,T12,Brett Quigley,92,3.99,1706,428
13,T12,T12,Chris Riley,96,3.99,2216,555
14,T15,T15,Woody Austin,107,4.0,2249,562
15,T15,T15,Craig Barlow,95,4.0,1925,481
16,T15,T15,Chris DiMarco,98,4.0,2065,516
17,T15,T15,Ernie Els,65,4.0,1681,420
18,T15,T15,Harrison Frazar,88,4.0,1834,458
19,T15,T15,Cliff Kresge,102,4.0,1920,480
20,T15,T15,Davis Love III,85,4.0,1866,467
21,T15,T15,Shigeki Maruyama,87,4.0,1926,481
22,T15,T15,Tim Petrovic,108,4.0,2437,609
23,T24,T24,Brian Bateman,70,4.01,1339,334
24,T24,T24,Pat Bates,111,4.01,2236,558
25,T24,T24,Jeff Brehaut,110,4.01,2339,583
26,T24,T24,Glen Day,103,4.01,2179,543
27,T24,T24,Bob Estes,92,4.01,2086,520
28,T24,T24,Paul Gow,62,4.01,1403,350
29,T24,T24,Skip Kendall,110,4.01,2025,505
30,T24,T24,Rocco Mediate,80,4.01,1539,384
31,T24,T24,Shaun Micheel,97,4.01,1894,472
32,T24,T24,Bob Tway,89,4.01,2239,558
33,T34,T34,Stuart Appleby,90,4.02,1770,440
34,T34,T34,Aaron Baddeley,71,4.02,1374,342
35,T34,T34,Briny Baird,113,4.02,2813,699
36,T34,T34,Fred Couples,71,4.02,1626,404
37,T34,T34,Retief Goosen,69,4.02,1795,446
38,T34,T34,Paul Goydos,86,4.02,1975,491
39,T34,T34,Brandt Jobe,77,4.02,1605,399
40,T34,T34,Kent Jones,74,4.02,1537,382
41,T34,T34,Arron Oberholser,80,4.02,1653,411
42,T34,T34,Rod Pampling,87,4.02,2003,498
43,T34,T34,Heath Slocum,101,4.02,2183,543
44,T34,T34,Jeff Sluman,106,4.02,2097,522
45,T34,T34,Tiger Woods,74,4.02,1952,485
46,T47,T47,Olin Browne,113,4.03,2361,586
47,T47,T47,Chad Campbell,105,4.03,2504,622
48,T47,T47,Alex Cejka,98,4.03,1725,428
49,T47,T47,Stewart Cink,104,4.03,2413,599
50,T47,T47,Matt Gogel,77,4.03,1411,350
51,T47,T47,David Gossett,92,4.03,1910,474
52,T47,T47,J.J. Henry,100,4.03,2072,514
53,T47,T47,Tim Herron,102,4.03,2097,520
54,T47,T47,Glen Hnatiuk,92,4.03,1787,443
55,T47,T47,Charles Howell III,120,4.03,2522,626
56,T47,T47,Bernhard Langer,65,4.03,1229,305
57,T47,T47,Justin Leonard,80,4.03,1647,409
58,T47,T47,J.L. Lewis,99,4.03,1756,436
59,T47,T47,Andrew Magee,91,4.03,1889,469
60,T47,T47,Scott McCarron,86,4.03,1791,444
61,T47,T47,Brenden Pappas,105,4.03,2229,553
62,T47,T47,Carl Paulson,101,4.03,1897,471
63,T47,T47,Loren Roberts,87,4.03,1912,474
64,T47,T47,Hal Sutton,81,4.03,1734,430
65,T47,T47,Hidemichi Tanaka,112,4.03,2303,572
66,T47,T47,Scott Verplank,97,4.03,2092,519
67,T47,T47,Duffy Waldorf,90,4.03,1731,429
68,T69,T69,Doug Barron,90,4.04,1633,404
69,T69,T69,Tim Clark,79,4.04,1603,397
70,T69,T69,Ben Crane,94,4.04,1804,447
71,T69,T69,Steve Flesch,110,4.04,2401,594
72,T69,T69,Sergio Garcia,62,4.04,1338,331
73,T69,T69,Per-Ulrik Johansson,96,4.04,2102,520
74,T69,T69,Richard Johnson,89,4.04,1620,401
75,T69,T69,Jonathan Kaye,91,4.04,2017,499
76,T69,T69,Neal Lancaster,110,4.04,2046,507
77,T69,T69,Billy Mayfair,105,4.04,1871,463
78,T69,T69,Tom Pernice Jr.,105,4.04,2249,557
79,T69,T69,John Riegger,55,4.04,1018,252
80,T69,T69,John Senden,111,4.04,2208,547
81,T69,T69,Mike Weir,80,4.04,1810,448
82,T69,T69,Jay Williamson,93,4.04,1990,492
83,T84,T84,Cameron Beckman,86,4.05,1773,438
84,T84,T84,Jonathan Byrd,101,4.05,2251,556
85,T84,T84,Tom Byrum,97,4.05,1917,473
86,T84,T84,David Frost,80,4.05,1458,360
87,T84,T84,Fred Funk,112,4.05,2477,611
88,T84,T84,Robert Gamez,114,4.05,2561,633
89,T84,T84,Jay Haas,89,4.05,1741,430
90,T84,T84,J.P. Hayes,79,4.05,1475,364
91,T84,T84,Scott Laycock,71,4.05,1354,334
92,T84,T84,Steve Lowery,86,4.05,1743,430
93,T84,T84,Jesper Parnevik,102,4.05,1849,456
94,T84,T84,John Rollins,89,4.05,1654,408
95,T84,T84,Joey Sindelar,93,4.05,1785,441
96,T84,T84,Esteban Toledo,109,4.05,1869,461
97,T84,T84,David Toms,90,4.05,1827,451
98,T84,T84,Dean Wilson,82,4.05,1715,423
99,T100,T100,Chris Anderson,96,4.06,1854,457
100,T100,T100,Tommy Armour III,66,4.06,1446,356
101,T100,T100,Bob Burns,88,4.06,1396,344
102,T100,T100,Darren Clarke,61,4.06,1132,279
103,T100,T100,Joel Edwards,60,4.06,1205,297
104,T100,T100,Brad Faxon,97,4.06,2107,519
105,T100,T100,Carlos Franco,99,4.06,2047,504
106,T100,T100,Tom Gillis,71,4.06,1378,339
107,T100,T100,Tom Lehman,87,4.06,1479,364
108,T100,T100,Spike McRoy,103,4.06,1768,436
109,T100,T100,Geoff Ogilvy,86,4.06,1975,487
110,T100,T100,Deane Pappas,75,4.06,1397,344
111,T100,T100,David Peoples,96,4.06,2064,509
112,T100,T100,Akio Sadakata,83,4.06,1586,391
113,T100,T100,Brent Schwarzrock,60,4.06,978,241
114,T115,T115,Billy Andrade,100,4.07,2043,502
115,T115,T115,Todd Fischer,97,4.07,1996,491
116,T115,T115,Brian Gay,100,4.07,1984,488
117,T115,T115,Brent Geiberger,51,4.07,986,242
118,T115,T115,Mike Heinen,89,4.07,1691,415
119,T115,T115,Matt Kuchar,63,4.07,1313,323
120,T115,T115,Mark O'Meara,69,4.07,1172,288
121,T115,T115,Corey Pavin,88,4.07,1993,490
122,T115,T115,Carl Pettersson,80,4.07,1491,366
123,T115,T115,Patrick Sheehan,101,4.07,1987,488
124,T115,T115,Mike Sposa,72,4.07,1380,339
125,T115,T115,Paul Stankowski,67,4.07,1594,392
126,T115,T115,Steve Stricker,59,4.07,1062,261
127,T115,T115,Garrett Willis,97,4.07,1890,464
128,T115,T115,Mark Wilson,82,4.07,1552,381
129,T130,T130,Steve Allan,53,4.08,1072,263
130,T130,T130,Aaron Barber,94,4.08,1741,427
131,T130,T130,Marco Dawson,86,4.08,1591,390
132,T130,T130,Donnie Hammond,92,4.08,1786,438
133,T130,T130,Brian Henninger,56,4.08,1097,269
134,T130,T130,Frank Lickliter II,94,4.08,2042,501
135,T130,T130,Peter Lonard,96,4.08,1974,484
136,T130,T130,Phil Mickelson,87,4.08,1665,408
137,T130,T130,Nick Price,65,4.08,1550,380
138,T130,T130,Chris Smith,92,4.08,1632,400
139,T130,T130,Kevin Sutherland,97,4.08,2018,495
140,T130,T130,Vance Veazey,66,4.08,1416,347
141,T142,T142,Notah Begay III,92,4.09,1983,485
142,T142,T142,Mark Brooks,90,4.09,1705,417
143,T142,T142,Greg Chalmers,98,4.09,1898,464
144,T142,T142,K.J. Choi,112,4.09,2294,561
145,T142,T142,Robert Damron,96,4.09,1932,472
146,T142,T142,Lee Janzen,83,4.09,1663,407
147,T142,T142,Jeff Maggert,81,4.09,1612,394
148,T142,T142,Len Mattiace,94,4.09,1954,478
149,T142,T142,John Morgan,81,4.09,1613,394
150,T142,T142,Rory Sabbatini,95,4.09,1871,457
151,T142,T142,David Sutherland,77,4.09,1539,376
152,T153,T153,Paul Azinger,73,4.1,1467,358
153,T153,T153,Rich Beem,80,4.1,1653,403
154,T153,T153,Jay Don Blake,77,4.1,1459,356
155,T153,T153,Brad Elder,51,4.1,1004,245
156,T153,T153,Mike Grob,83,4.1,1718,419
157,T153,T153,Dudley Hart,66,4.1,1501,366
158,T153,T153,Ian Leggatt,71,4.1,1361,332
159,T153,T153,John Maginnes,87,4.1,1752,427
160,T153,T153,Anthony Painter,87,4.1,1893,462
161,T153,T153,Dicky Pride,73,4.1,1503,367
162,T153,T153,Adam Scott,52,4.1,1214,296
163,T153,T153,Darron Stiles,93,4.1,2083,508
164,T165,T165,Steven Alker,87,4.11,1932,470
165,T165,T165,Mark Calcavecchia,84,4.11,1889,460
166,T165,T165,Jim Carter,95,4.11,1637,398
167,T165,T165,José Coceres,62,4.11,1369,333
168,T165,T165,Luke Donald,88,4.11,2014,490
169,T165,T165,Thomas Levet,85,4.11,1446,352
170,T165,T165,Gene Sauers,87,4.11,1635,398
171,T165,T165,"Dave Stockton, Jr.",79,4.11,1495,364
172,T173,T173,Michael Clark II,54,4.12,994,241
173,T173,T173,Gavin Coles,69,4.12,1311,318
174,T173,T173,Mathew Goggin,90,4.12,1756,426
175,T173,T173,Jason Gore,83,4.12,1655,402
176,T173,T173,Jeff Klein,60,4.12,1281,311
177,T173,T173,Kenichi Kuboya,91,4.12,1889,459
178,T173,T173,Andy Miller,75,4.12,1274,309
179,T180,T180,Ben Curtis,69,4.13,1421,344
180,T180,T180,Pat Perez,95,4.13,1891,458
181,T180,T180,Craig Perks,82,4.13,1613,391
182,T183,T183,Jason Buha,61,4.14,1158,280
