,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
119,T120,T120,Jay Haas,89,249.0,1494,6
120,T120,T120,Thomas Levet,85,249.0,1494,6
121,T120,T120,Rod Pampling,87,249.0,1494,6
122,T123,T123,Jonathan Byrd,101,259.7,1818,7
123,T123,T123,Spike McRoy,103,259.7,1818,7
124,T125,T125,Jeff Klein,60,261.0,1044,4
125,T125,T125,John Maginnes,87,261.0,1566,6
126,127,127,Luke Donald,88,264.0,1584,6
127,T128,T128,Peter Jacobsen,75,270.0,1350,5
128,T128,T128,Justin Leonard,80,270.0,1350,5
129,T130,T130,Alex Cejka,98,273.0,1638,6
130,T130,T130,Joey Sindelar,93,273.0,1638,6
131,132,132,Jeff Brehaut,110,275.1,1926,7
132,133,133,Jay Williamson,93,276.0,1656,6
133,134,134,Carl Pettersson,80,284.4,1422,5
134,135,135,Todd Fischer,97,285.0,1710,6
135,136,136,Arron Oberholser,80,288.0,1440,5
136,137,137,Fred Couples,71,301.5,1206,4
137,138,138,Gene Sauers,87,306.0,1530,5
138,139,139,Ben Curtis,69,310.5,1242,4
139,140,140,Kent Jones,74,315.0,1260,4
140,141,141,Jason Caron,74,319.5,1278,4
141,T142,T142,Glen Hnatiuk,92,320.4,1602,5
142,T142,T142,Kenichi Kuboya,91,320.4,1602,5
143,T144,T144,Pat Bates,111,324.0,1944,6
144,T144,T144,Michael Clark II,54,324.0,972,3
145,146,146,Fred Funk,112,327.0,1962,6
146,T147,T147,Paul Azinger,73,328.5,1314,4
147,T147,T147,Deane Pappas,75,328.5,1314,4
148,149,149,Ben Crane,94,331.2,1656,5
149,150,150,Jim Carter,95,334.8,1674,5
150,151,151,Hidemichi Tanaka,112,336.0,2016,6
151,152,152,Per-Ulrik Johansson,96,345.6,1728,5
152,153,153,Brent Schwarzrock,60,348.0,1044,3
153,154,154,Dan Forsman,98,352.8,1764,5
154,155,155,Joel Edwards,60,360.0,1080,3
155,156,156,Akio Sadakata,83,364.5,1458,4
156,157,157,Jeff Sluman,106,374.4,1872,5
157,T158,T158,Steven Alker,87,382.5,1530,4
158,T158,T158,John Rollins,89,382.5,1530,4
159,160,160,Corey Pavin,88,387.0,1548,4
160,T161,T161,Doug Barron,90,396.0,1584,4
161,T161,T161,Skip Kendall,110,396.0,1980,5
162,163,163,Richard Johnson,89,400.5,1602,4
163,164,164,Peter Lonard,96,405.0,1620,4
164,165,165,Bob Estes,92,409.5,1638,4
165,166,166,Aaron Barber,94,423.0,1692,4
166,167,167,Steve Allan,53,441.0,882,2
167,T168,T168,Billy Andrade,100,450.0,1800,4
168,T168,T168,Jay Don Blake,77,450.0,1350,3
169,170,170,Dean Wilson,82,492.0,1476,3
170,171,171,Olin Browne,113,495.0,1980,4
171,172,172,Steve Stricker,59,504.0,1008,2
172,173,173,Brett Quigley,92,528.0,1584,3
173,174,174,Matt Kuchar,63,549.0,1098,2
174,T175,T175,Joe Durant,96,576.0,1728,3
175,T175,T175,Bernhard Langer,65,576.0,1152,2
176,177,177,Heath Slocum,101,588.0,1764,3
177,178,178,Gavin Coles,69,594.0,1188,2
178,179,179,Scott Laycock,71,621.0,1242,2
179,180,180,Dicky Pride,73,657.0,1314,2
180,181,181,J.P. Hayes,79,711.0,1422,2
181,182,182,Mark Calcavecchia,84,756.0,1512,2
182,183,183,Loren Roberts,87,774.0,1548,2
183,184,184,Donnie Hammond,92,828.0,1656,2
184,185,185,Robert Damron,96,864.0,1728,2
185,186,186,Brad Elder,51,882.0,882,1
186,187,187,Jason Buha,61,1044.0,1044,1
187,188,188,Mark Wilson,82,1440.0,1440,1
188,189,189,Mark Brooks,90,1566.0,1566,1
