,Front_9_Par_3_Scoring_Average_RANK THIS WEEK,Front_9_Par_3_Scoring_Average_RANK LAST WEEK,Front_9_Par_3_Scoring_Average_PLAYER NAME,Front_9_Par_3_Scoring_Average_ROUNDS,Front_9_Par_3_Scoring_Average_AVG,Front_9_Par_3_Scoring_Average_TOTAL STROKES,Front_9_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Mike Weir,80,2.93,440,150
1,2,2,Chris DiMarco,98,2.94,547,186
2,3,3,Tiger Woods,74,2.95,401,136
3,T4,T4,Mark Calcavecchia,84,2.96,521,176
4,T4,T4,David Peoples,96,2.96,592,200
5,T4,T4,Dicky Pride,73,2.96,450,152
6,T4,T4,Chris Riley,96,2.96,532,180
7,T8,T8,Stewart Cink,104,2.97,593,200
8,T8,T8,Brian Gay,100,2.97,582,196
9,T8,T8,John Huston,76,2.97,452,152
10,T8,T8,Davis Love III,85,2.97,469,158
11,T8,T8,Corey Pavin,88,2.97,523,176
12,T8,T8,Steve Stricker,59,2.97,344,116
13,T14,T14,Joe Durant,96,2.98,584,196
14,T14,T14,Jay Haas,89,2.98,507,170
15,T14,T14,Jonathan Kaye,91,2.98,531,178
16,T14,T14,Kenichi Kuboya,91,2.98,548,184
17,T14,T14,Vijay Singh,106,2.98,619,208
18,T14,T14,Hidemichi Tanaka,112,2.98,691,232
19,T14,T14,Bob Tway,89,2.98,506,170
20,T21,T21,Aaron Baddeley,71,2.99,404,135
21,T21,T21,Michael Clark II,54,2.99,329,110
22,T21,T21,Dudley Hart,66,2.99,395,132
23,T21,T21,Nick Price,65,2.99,371,124
24,T21,T21,Loren Roberts,87,2.99,526,176
25,T26,T26,Stephen Ames,91,3.0,552,184
26,T26,T26,Ernie Els,65,3.0,372,124
27,T26,T26,Jim Furyk,104,3.0,605,202
28,T26,T26,Tim Herron,102,3.0,613,204
29,T26,T26,Scott Laycock,71,3.0,414,138
30,T26,T26,Hal Sutton,81,3.0,504,168
31,T32,T32,Briny Baird,113,3.01,668,222
32,T32,T32,Ben Curtis,69,3.01,427,142
33,T32,T32,Todd Fischer,97,3.01,589,196
34,T32,T32,Steve Flesch,110,3.01,663,220
35,T32,T32,Fred Funk,112,3.01,669,222
36,T32,T32,Paul Goydos,86,3.01,523,174
37,T32,T32,Donnie Hammond,92,3.01,571,190
38,T32,T32,Scott McCarron,86,3.01,500,166
