,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Vijay Singh,106,1.89,463,245
1,2,2,Jim Furyk,104,1.87,418,223
2,3,3,Tiger Woods,74,1.7,306,180
3,4,4,Davis Love III,85,1.63,335,205
4,5,5,Stephen Ames,91,1.62,378,234
5,T6,T6,John Huston,76,1.6,332,207
6,T6,T6,Scott Verplank,97,1.6,401,250
7,T8,T8,Dan Forsman,98,1.58,365,231
8,T8,T8,Retief Goosen,69,1.58,274,173
9,T10,T10,Briny Baird,113,1.57,431,274
10,T10,T10,Stewart Cink,104,1.57,409,260
11,12,12,Mike Weir,80,1.55,311,201
12,13,13,Chris DiMarco,98,1.54,400,260
13,T14,T14,Skip Kendall,110,1.51,432,287
14,T14,T14,Paul Stankowski,67,1.51,282,187
15,16,16,Rod Pampling,87,1.5,334,223
16,T17,T17,Glen Day,103,1.49,399,267
17,T17,T17,Jeff Sluman,106,1.49,389,261
18,T19,T19,Robert Allenby,87,1.48,337,227
19,T19,T19,Chad Campbell,105,1.48,416,282
20,T19,T19,Tim Herron,102,1.48,401,271
21,T19,T19,Jerry Kelly,108,1.48,415,280
22,T19,T19,Arron Oberholser,80,1.48,286,193
23,24,24,Robert Gamez,114,1.47,487,332
24,T25,T25,Ernie Els,65,1.46,234,160
25,T25,T25,Kirk Triplett,92,1.46,348,239
26,T27,T27,David Peoples,96,1.45,358,247
27,T27,T27,Tim Petrovic,108,1.45,409,283
28,T29,T29,Steve Flesch,110,1.44,442,308
29,T29,T29,Justin Leonard,80,1.44,299,208
30,T29,T29,Kenny Perry,98,1.44,373,259
31,T32,T32,Bob Estes,92,1.43,355,249
