,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Vijay Singh,106,68.8,4059,59
1,2,2,Chris Riley,96,69.29,2356,34
2,3,3,Tiger Woods,74,69.32,2842,41
3,4,4,Joe Durant,96,69.45,2014,29
4,5,5,Davis Love III,85,69.54,2434,35
5,6,6,Kenny Perry,98,69.57,3270,47
6,7,7,Robert Allenby,87,69.58,2296,33
7,8,8,Jim Furyk,104,69.79,3001,43
8,9,9,Harrison Frazar,88,69.81,1815,26
9,10,10,Carl Paulson,101,69.85,1886,27
10,11,11,Tommy Armour III,66,69.86,1467,21
11,12,12,J.L. Lewis,99,69.9,2097,30
12,13,13,Chad Campbell,105,69.91,3216,46
13,14,14,Hank Kuehne,73,69.95,1399,20
14,15,15,Scott McCarron,86,69.97,2099,30
15,T16,T16,Craig Barlow,95,70.0,1750,25
16,T16,T16,Retief Goosen,69,70.0,2240,32
17,18,18,Jerry Kelly,108,70.02,2871,41
18,T19,T19,Dan Forsman,98,70.03,2101,30
19,T19,T19,Loren Roberts,87,70.03,2031,29
20,T19,T19,John Senden,111,70.03,2101,30
21,T19,T19,Kirk Triplett,92,70.03,2031,29
22,23,23,Geoff Ogilvy,86,70.07,2032,29
23,24,24,Chris DiMarco,98,70.09,2243,32
24,25,25,David Gossett,92,70.1,1472,21
25,26,26,Brad Elder,51,70.11,631,9
26,27,27,Todd Fischer,97,70.14,1543,22
27,28,28,Stewart Cink,104,70.16,3017,43
28,29,29,Scott Verplank,97,70.17,2526,36
29,T30,T30,John Huston,76,70.18,1965,28
30,T30,T30,Hidemichi Tanaka,112,70.18,2807,40
31,32,32,Steve Flesch,110,70.2,2808,40
32,33,33,Bob Tway,89,70.22,2528,36
33,34,34,Bob Estes,92,70.23,2739,39
34,T35,T35,Per-Ulrik Johansson,96,70.24,2037,29
35,T35,T35,Dean Wilson,82,70.24,1756,25
36,T35,T35,Mark Wilson,82,70.24,1475,21
37,38,38,Arron Oberholser,80,70.25,1405,20
38,T39,T39,Tim Clark,79,70.26,1616,23
39,T39,T39,Ernie Els,65,70.26,2389,34
40,T39,T39,Jonathan Kaye,91,70.26,2459,35
41,T42,T42,Billy Mayfair,105,70.28,1757,25
42,T42,T42,Jeff Sluman,106,70.28,2530,36
43,44,44,Mike Weir,80,70.29,2390,34
44,45,45,Joey Sindelar,93,70.32,1547,22
45,T46,T46,Cameron Beckman,86,70.35,1407,20
46,T46,T46,Heath Slocum,101,70.35,2181,31
47,48,48,Jonathan Byrd,101,70.36,1970,28
48,T49,T49,Robert Gamez,114,70.38,2815,40
49,T49,T49,Matt Gogel,77,70.38,1830,26
50,T49,T49,Brett Quigley,92,70.38,2041,29
51,52,52,Fred Couples,71,70.39,2182,31
52,T53,T53,Paul Goydos,86,70.41,1901,27
53,T53,T53,Brenden Pappas,105,70.41,2042,29
54,55,55,David Toms,90,70.42,2324,33
55,56,56,Hal Sutton,81,70.5,1974,28
56,57,57,Aaron Baddeley,71,70.52,1481,21
57,58,58,Tom Pernice Jr.,105,70.54,2469,35
58,59,59,John Rollins,89,70.56,1764,25
59,T60,T60,Stuart Appleby,90,70.57,2117,30
60,T60,T60,Andrew Magee,91,70.57,1482,21
61,62,62,Tom Lehman,87,70.58,1694,24
62,63,63,Briny Baird,113,70.6,3036,43
63,64,64,Neal Lancaster,110,70.61,1977,28
64,65,65,K.J. Choi,112,70.64,2755,39
65,T66,T66,Olin Browne,113,70.65,2402,34
66,T66,T66,Tim Herron,102,70.65,2190,31
67,T66,T66,Cliff Kresge,102,70.65,1837,26
68,T69,T69,Billy Andrade,100,70.67,1908,27
69,T69,T69,David Frost,80,70.67,1484,21
70,71,71,Stephen Ames,91,70.68,1767,25
71,72,72,Justin Leonard,80,70.69,2050,29
72,73,73,Shaun Micheel,97,70.7,1909,27
73,T74,T74,J.J. Henry,100,70.71,1697,24
74,T74,T74,Kent Jones,74,70.71,1485,21
75,T74,T74,Esteban Toledo,109,70.71,1980,28
76,77,77,Sergio Garcia,62,70.72,1768,25
77,T78,T78,Shigeki Maruyama,87,70.74,2193,31
78,T78,T78,Tim Petrovic,108,70.74,2476,35
79,T78,T78,Paul Stankowski,67,70.74,1910,27
80,T81,T81,Carlos Franco,99,70.76,2052,29
81,T81,T81,Akio Sadakata,83,70.76,1486,21
82,83,83,Rod Pampling,87,70.77,2194,31
83,84,84,Steve Stricker,59,70.78,637,9
