,Tenth_Tee_Late_Par_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_3_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_3_Scoring_Average_AVG,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Chris DiMarco,98,2.86,183,64
1,2,2,Dan Forsman,98,2.88,164,57
2,T3,T3,Bob Estes,92,2.89,104,36
3,T3,T3,Matt Gogel,77,2.89,81,28
4,5,5,Brett Quigley,92,2.9,142,49
5,T6,T6,Charles Howell III,120,2.92,146,50
6,T6,T6,Justin Leonard,80,2.92,108,37
7,T6,T6,Scott Verplank,97,2.92,140,48
8,T9,T9,Fred Couples,71,2.93,82,28
9,T9,T9,David Peoples,96,2.93,261,89
10,T11,T11,Briny Baird,113,2.94,262,89
11,T11,T11,Mike Heinen,89,2.94,285,97
12,T11,T11,Tiger Woods,74,2.94,47,16
13,T14,T14,Aaron Baddeley,71,2.95,130,44
14,T14,T14,Rod Pampling,87,2.95,192,65
15,T16,T16,Chad Campbell,105,2.96,142,48
16,T16,T16,Stewart Cink,104,2.96,160,54
17,T16,T16,Ben Curtis,69,2.96,142,48
18,T19,T19,J.P. Hayes,79,2.97,181,61
19,T19,T19,Bernhard Langer,65,2.97,89,30
20,T19,T19,John Maginnes,87,2.97,211,71
21,T19,T19,Chris Smith,92,2.97,202,68
22,T23,T23,Joe Durant,96,2.98,197,66
23,T23,T23,Brad Elder,51,2.98,167,56
24,T23,T23,Jim Furyk,104,2.98,155,52
25,T23,T23,Brandt Jobe,77,2.98,173,58
26,T23,T23,Jonathan Kaye,91,2.98,122,41
27,T23,T23,Dicky Pride,73,2.98,173,58
28,T23,T23,John Senden,111,2.98,274,92
29,T30,T30,Stephen Ames,91,2.99,200,67
30,T30,T30,Pat Bates,111,2.99,317,106
31,T30,T30,Jay Don Blake,77,2.99,218,73
32,T33,T33,Woody Austin,107,3.0,231,77
33,T33,T33,Mark Calcavecchia,84,3.0,204,68
34,T33,T33,Gavin Coles,69,3.0,171,57
35,T33,T33,John Daly,56,3.0,132,44
36,T33,T33,Robert Damron,96,3.0,273,91
37,T33,T33,Ernie Els,65,3.0,51,17
38,T33,T33,Sergio Garcia,62,3.0,48,16
39,T33,T33,Retief Goosen,69,3.0,111,37
40,T33,T33,John Huston,76,3.0,108,36
41,T33,T33,Scott Laycock,71,3.0,144,48
42,T33,T33,Davis Love III,85,3.0,108,36
43,T33,T33,Nick Price,65,3.0,60,20
44,T33,T33,John Riegger,55,3.0,147,49
45,T33,T33,Chris Riley,96,3.0,216,72
46,T33,T33,Akio Sadakata,83,3.0,192,64
47,T33,T33,Patrick Sheehan,101,3.0,243,81
48,T33,T33,Paul Stankowski,67,3.0,132,44
49,50,50,Ben Crane,94,3.01,217,72
50,T51,T51,Jonathan Byrd,101,3.02,293,97
51,T51,T51,Michael Clark II,54,3.02,136,45
52,T51,T51,Fred Funk,112,3.02,151,50
53,T51,T51,Jason Gore,83,3.02,305,101
54,T51,T51,Dudley Hart,66,3.02,260,86
55,T51,T51,Skip Kendall,110,3.02,251,83
56,T51,T51,Neal Lancaster,110,3.02,254,84
57,T51,T51,Deane Pappas,75,3.02,184,61
58,T51,T51,Craig Perks,82,3.02,184,61
59,T51,T51,Tim Petrovic,108,3.02,272,90
60,T51,T51,David Sutherland,77,3.02,187,62
61,T62,T62,Paul Goydos,86,3.03,233,77
62,T62,T62,Peter Lonard,96,3.03,121,40
63,T62,T62,Rocco Mediate,80,3.03,115,38
