,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Jim Furyk,104,68.73,2268,33
1,2,2,Retief Goosen,69,68.83,1239,18
2,3,3,Mike Weir,80,69.1,1382,20
3,4,4,Vijay Singh,106,69.28,1247,18
4,5,5,Stuart Appleby,90,69.29,1940,28
5,6,6,Ernie Els,65,69.33,832,12
6,7,7,Davis Love III,85,69.5,1112,16
7,8,8,Briny Baird,113,69.52,2155,31
8,9,9,Nick Price,65,69.55,1391,20
9,T10,T10,Stewart Cink,104,69.56,1878,27
10,T10,T10,David Toms,90,69.56,1739,25
11,12,12,Cameron Beckman,86,69.62,1810,26
12,13,13,Brandt Jobe,77,69.63,1880,27
13,14,14,Jeff Sluman,106,69.67,2299,33
14,15,15,Tim Petrovic,108,69.68,2369,34
15,16,16,Mark Calcavecchia,84,69.7,2091,30
16,T17,T17,Dicky Pride,73,69.76,1465,21
17,T17,T17,Patrick Sheehan,101,69.76,2581,37
18,T19,T19,Jay Haas,89,69.79,2024,29
19,T19,T19,J.J. Henry,100,69.79,2024,29
20,21,21,Fred Funk,112,69.81,2164,31
21,22,22,Jeff Brehaut,110,69.83,2025,29
22,23,23,David Peoples,96,69.9,2097,30
23,24,24,Tiger Woods,74,69.91,769,11
24,T25,T25,Charles Howell III,120,69.94,2448,35
25,T25,T25,Scott Verplank,97,69.94,2168,31
26,27,27,Bob Estes,92,69.95,1539,22
27,28,28,Arron Oberholser,80,69.96,1959,28
28,29,29,Kevin Sutherland,97,70.03,2101,30
29,T30,T30,Harrison Frazar,88,70.04,1961,28
30,T30,T30,Dean Wilson,82,70.04,1751,25
31,T32,T32,John Huston,76,70.05,1541,22
32,T32,T32,David Sutherland,77,70.05,1401,20
33,34,34,Glen Day,103,70.06,2242,32
34,35,35,Chad Campbell,105,70.08,1822,26
35,36,36,Rod Pampling,87,70.1,1402,20
36,37,37,Hal Sutton,81,70.11,1893,27
37,T38,T38,Robert Gamez,114,70.12,2314,33
38,T38,T38,Phil Mickelson,87,70.12,1753,25
39,40,40,Paul Goydos,86,70.13,1613,23
40,41,41,Marco Dawson,86,70.14,2034,29
41,42,42,Darren Clarke,61,70.15,1403,20
42,43,43,Deane Pappas,75,70.16,1333,19
43,44,44,Tim Herron,102,70.18,2386,34
44,45,45,Justin Leonard,80,70.23,1826,26
45,46,46,Dan Forsman,98,70.25,2529,36
46,47,47,Mike Heinen,89,70.28,2249,32
47,T48,T48,Carlos Franco,99,70.29,2390,34
48,T48,T48,Brent Geiberger,51,70.29,984,14
49,T48,T48,Tom Gillis,71,70.29,1195,17
50,51,51,Shaun Micheel,97,70.3,2320,33
51,52,52,Steve Flesch,110,70.31,2250,32
52,T53,T53,Stephen Ames,91,70.32,1758,25
53,T53,T53,Scott Laycock,71,70.32,1547,22
54,55,55,Kirk Triplett,92,70.33,2110,30
55,56,56,Robert Allenby,87,70.35,1407,20
56,T57,T57,Rocco Mediate,80,70.39,1619,23
57,T57,T57,Geoff Ogilvy,86,70.39,1619,23
58,59,59,Tom Pernice Jr.,105,70.41,1901,27
