,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Joey Sindelar,75,35.48,33,93,-31,31 Under
1,2,2,Davis Love III,66,32.11,35,109,-34,34 Under
2,3,3,Robert Allenby,90,31.52,52,165,-54,54 Under
3,4,4,Darron Stiles,65,30.38,24,79,-29,29 Under
4,5,5,Chris Tidland,59,30.3,30,99,-38,38 Under
5,6,6,Craig Barlow,52,30.12,25,83,-23,23 Under
6,7,7,Stewart Cink,91,29.92,38,127,-38,38 Under
7,8,8,Scott Gutschewski,67,28.99,40,138,-40,40 Under
8,9,9,John Senden,97,28.82,49,170,-49,49 Under
9,10,10,Brett Quigley,79,28.81,34,118,-36,36 Under
10,11,11,Gavin Coles,87,28.57,20,70,-18,18 Under
11,12,12,Jason Bohn,57,28.16,29,103,-31,31 Under
12,13,13,Bubba Watson,80,27.43,48,175,-49,49 Under
13,14,14,Trevor Immelman,74,27.37,26,95,-26,26 Under
14,15,15,Joe Durant,88,27.21,37,136,-36,36 Under
15,16,16,Tiger Woods,63,27.0,27,100,-30,30 Under
16,17,17,Charles Howell III,89,26.81,37,138,-43,43 Under
17,18,18,Bob Heintz,85,26.67,28,105,-27,27 Under
18,19,19,Harrison Frazar,88,26.54,43,162,-46,46 Under
19,20,20,Lucas Glover,98,26.52,48,181,-45,45 Under
20,21,21,Adam Scott,69,26.43,37,140,-32,32 Under
21,22,22,Will MacKenzie,100,26.37,48,182,-47,47 Under
22,23,23,Stephen Ames,81,26.32,25,95,-23,23 Under
23,24,24,Robert Garrigus,95,26.11,59,226,-63,63 Under
24,25,25,Brett Wetterich,88,26.06,43,165,-46,46 Under
