,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,K.J. Choi,87,72.09,93,129,-95,-8.00
1,2,2,Vaughn Taylor,91,66.14,84,127,-90,+1.00
2,T3,T3,Matt Kuchar,85,65.93,60,91,-61,-20.00
3,T3,T3,Phil Mickelson,73,65.93,89,135,-98,-5.00
4,5,5,Steve Stricker,81,65.43,53,81,-56,-36.00
5,6,6,Carl Pettersson,111,64.4,123,191,-131,-12.00
6,7,7,Aaron Baddeley,83,63.09,94,149,-98,-19.00
7,8,8,Kevin Na,84,62.96,102,162,-109,-2.00
8,9,9,Adam Scott,69,62.86,88,140,-92,E
9,10,10,Bob Estes,88,62.75,64,102,-66,-41.00
10,11,11,Justin Rose,63,62.69,42,67,-44,-4.00
11,12,12,J.J. Henry,86,62.68,89,142,-94,-13.00
12,13,13,Craig Barlow,52,62.65,52,83,-53,-1.00
13,14,14,Freddie Jacobson,70,62.62,67,107,-68,-25.00
14,15,15,Charlie Wi,90,62.59,92,147,-99,-18.00
15,16,16,Vijay Singh,102,61.75,113,183,-122,-8.00
16,17,17,Charles Howell III,89,61.59,85,138,-92,-3.00
17,18,18,Rod Pampling,92,61.11,99,162,-108,-1.00
18,19,19,Tom Pernice Jr.,104,60.99,86,141,-92,-20.00
19,20,20,Brian Gay,107,60.98,50,82,-52,-54.00
20,21,21,Scott Gutschewski,67,60.87,84,138,-89,+14.00
21,22,22,Tom Byrum,50,60.78,31,51,-33,-6.00
22,23,23,Anders Hansen,55,60.71,34,56,-36,+3.00
23,24,24,Brett Wetterich,88,60.61,100,165,-110,+14.00
24,25,25,Hunter Mahan,91,60.43,84,139,-89,-5.00
25,26,26,Ryuji Imada,104,60.28,85,141,-89,-32.00
26,27,27,Jason Bohn,57,60.19,62,103,-69,-11.00
27,28,28,Rory Sabbatini,81,60.16,77,128,-82,-10.00
28,29,29,Jesper Parnevik,88,60.14,83,138,-85,-6.00
29,30,30,John Senden,97,60.0,102,170,-106,-15.00
30,31,31,Daniel Chopra,106,59.79,113,189,-116,-4.00
31,32,32,Tim Petrovic,106,59.78,110,184,-115,-13.00
32,33,33,Darron Stiles,65,59.49,47,79,-54,-8.00
33,34,34,Todd Hamilton,76,59.21,45,76,-50,+4.00
34,35,35,Luke Donald,69,59.15,42,71,-42,-5.00
35,36,36,John Mallinger,96,59.06,75,127,-79,-16.00
36,37,37,John Daly,59,58.96,79,134,-86,+11.00
37,38,38,Bubba Watson,80,58.86,103,175,-110,-2.00
38,39,39,Nathan Green,103,58.58,99,169,-106,-19.00
39,40,40,Arron Oberholser,69,58.54,48,82,-48,-16.00
40,41,41,Paul Stankowski,52,58.51,55,94,-56,+5.00
41,42,42,Ernie Els,59,58.33,63,108,-70,-3.00
42,T43,T43,Mark Calcavecchia,93,58.28,88,151,-94,-20.00
43,T43,T43,Nick Watney,87,58.28,95,163,-101,+1.00
44,45,45,Joey Sindelar,75,58.06,54,93,-56,-17.00
45,46,46,Harrison Frazar,88,58.02,94,162,-102,+1.00
46,47,47,Lucas Glover,98,58.01,105,181,-107,-7.00
47,T48,T48,Padraig Harrington,64,58.0,58,100,-59,+15.00
48,T48,T48,Mark Wilson,87,58.0,58,100,-62,-13.00
49,T48,T48,Tiger Woods,63,58.0,58,100,-65,-12.00
50,51,51,Alex Cejka,80,57.93,84,145,-87,-29.00
51,52,52,Kent Jones,97,57.67,94,163,-102,-26.00
52,53,53,Brandt Snedeker,105,57.63,68,118,-70,-26.00
53,54,54,Kevin Sutherland,85,57.53,84,146,-88,-9.00
54,55,55,Camilo Villegas,82,57.52,88,153,-94,+9.00
55,56,56,Marco Dawson,73,57.5,69,120,-71,+4.00
56,57,57,Shigeki Maruyama,84,57.43,58,101,-63,-15.00
57,58,58,John Rollins,102,57.4,97,169,-104,-4.00
