,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Alex Cejka,80,62.03,98,158,-0.07
1,2,2,Tiger Woods,63,61.21,71,116,-0.17
2,3,3,Robert Allenby,90,58.75,94,160,-0.05
3,4,4,Sean O'Hair,98,56.47,96,170,-0.10
4,5,5,Robert Garrigus,95,56.17,91,162,-0.15
5,6,6,Charles Warren,101,55.49,101,182,+0.05
6,7,7,Ernie Els,59,55.1,54,98,-0.17
7,8,8,Trevor Immelman,74,55.04,71,129,-0.11
8,9,9,John Merrick,92,54.94,89,162,-0.01
9,10,10,Heath Slocum,101,54.92,134,244,-0.13
10,11,11,Henrik Stenson,52,54.32,44,81,-0.25
11,12,12,Billy Mayfair,98,53.85,119,221,-0.13
12,13,13,John Senden,97,53.81,106,197,-0.08
13,14,14,Brett Wetterich,88,53.52,76,142,-0.12
14,15,15,Rocco Mediate,72,53.09,103,194,-0.08
15,16,16,Tim Clark,66,53.06,78,147,-0.22
16,17,17,Will MacKenzie,100,53.03,105,198,-0.09
17,18,18,Vijay Singh,102,52.91,100,189,-0.05
18,19,19,Davis Love III,66,52.78,57,108,-0.05
19,20,20,Craig Bowden,78,52.41,98,187,+0.03
20,21,21,Jay Williamson,50,52.27,46,88,-0.13
21,22,22,Daisuke Maruyama,86,52.12,86,165,-0.07
22,23,23,Mathew Goggin,97,51.72,90,174,-0.09
23,24,24,Daniel Chopra,106,50.79,96,189,-0.18
24,25,25,Peter Lonard,85,50.57,88,174,-0.02
25,26,26,Jeff Gove,103,50.49,104,206,-0.02
26,27,27,José Coceres,50,50.42,60,119,+0.03
27,T28,T28,Jim Furyk,84,50.3,83,165,-0.12
28,T28,T28,Hunter Mahan,91,50.3,84,167,-0.05
29,30,30,Boo Weekley,101,50.29,86,171,-0.02
30,31,31,Ted Purdy,102,50.28,91,181,-0.03
31,T32,T32,Tommy Armour III,81,50.0,84,168,-0.13
32,T32,T32,Tom Byrum,50,50.0,48,96,+0.02
33,T32,T32,Matt Hendrix,63,50.0,54,108,-0.04
34,T32,T32,Greg Owen,81,50.0,66,132,-0.08
35,T32,T32,Nick Watney,87,50.0,73,146,-0.07
36,37,37,Jerry Kelly,101,49.75,98,197,-0.05
37,38,38,Jonathan Byrd,73,49.66,72,145,-0.15
38,39,39,Craig Kanada,109,49.62,129,260,-0.13
39,40,40,Adam Scott,69,49.59,60,121,-0.05
40,41,41,Tom Lehman,62,49.51,51,103,-0.02
41,42,42,Jaco Van Zyl,51,49.5,50,101,-0.04
42,43,43,Jeff Overton,60,49.49,49,99,-0.04
43,T44,T44,Jeff Maggert,79,49.48,95,192,-0.13
44,T44,T44,Michael Putnam,96,49.48,96,194,-0.11
45,T46,T46,Jason Gore,86,49.38,80,162,+0.06
46,T46,T46,Ryan Palmer,91,49.38,80,162,-0.13
47,48,48,Kenny Perry,83,49.33,74,150,-0.03
48,49,49,Paul Gow,70,49.3,70,142,+0.01
49,50,50,Joey Sindelar,75,49.13,85,173,E
50,51,51,Stephen Leaney,82,49.09,108,220,-0.05
51,52,52,Ken Duke,112,48.99,97,198,-0.11
52,53,53,Tim Herron,98,48.91,90,184,-0.02
53,54,54,Joe Durant,88,48.8,81,166,-0.02
54,55,55,Pat Perez,84,48.65,72,148,-0.10
55,56,56,Ryan Moore,92,48.54,83,171,-0.08
56,57,57,George McNeill,95,48.48,80,165,-0.10
57,58,58,Anthony Kim,93,48.45,78,161,-0.10
58,59,59,Charles Howell III,89,48.37,74,153,-0.12
59,60,60,Rich Beem,89,48.34,73,151,E
60,61,61,Tom Johnson,74,48.32,72,149,+0.03
61,T62,T62,Mark Hensby,81,48.3,71,147,-0.18
62,T62,T62,Freddie Jacobson,70,48.3,71,147,-0.08
63,64,64,Robert Gamez,88,48.11,89,185,-0.08
64,T65,T65,Steve Lowery,74,48.06,62,129,-0.08
65,T65,T65,Kyle Reifers,71,48.06,62,129,+0.10
66,67,67,D.J. Brigman,67,47.9,57,119,-0.11
67,68,68,J.J. Henry,86,47.89,68,142,-0.12
68,69,69,Jeff Quinney,95,47.66,102,214,-0.07
69,70,70,Carl Pettersson,111,47.55,97,204,-0.04
70,T71,T71,Brett Quigley,79,47.47,75,158,-0.07
71,T71,T71,Dean Wilson,92,47.47,94,198,-0.18
72,73,73,J.B. Holmes,71,47.45,65,137,+0.03
73,74,74,David Toms,80,47.44,74,156,-0.07
74,75,75,Cliff Kresge,107,47.33,115,243,-0.08
75,76,76,Craig Barlow,52,47.31,44,93,-0.09
76,77,77,Bubba Watson,80,47.3,70,148,+0.01
77,78,78,Shaun Micheel,91,47.27,78,165,-0.05
78,79,79,Anders Hansen,55,47.25,43,91,-0.07
79,80,80,Frank Lickliter II,95,47.15,91,193,-0.12
80,81,81,Gavin Coles,87,47.08,121,257,-0.09
81,82,82,Bob Tway,103,46.92,99,211,-0.03
82,83,83,Troy Matteson,87,46.88,75,160,-0.08
83,84,84,Brandt Snedeker,105,46.79,102,218,-0.12
84,85,85,Woody Austin,95,46.72,107,229,-0.06
85,86,86,Arron Oberholser,69,46.67,63,135,-0.19
86,87,87,Chris Stroud,66,46.61,55,118,-0.02
