,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Bubba Dickerson,51,22.22,18,81
1,2,2,Padraig Harrington,64,21.74,15,69
2,3,3,Aaron Baddeley,83,21.43,33,154
3,4,4,Brett Wetterich,88,21.34,35,164
4,5,5,John Daly,59,21.21,28,132
5,6,6,Ted Purdy,102,20.65,32,155
6,7,7,Bubba Watson,80,20.42,29,142
7,8,8,Anthony Kim,93,20.41,30,147
8,9,9,Geoff Ogilvy,84,19.86,28,141
9,10,10,Ernie Els,59,19.81,21,106
10,11,11,Steve Allan,63,19.13,22,115
11,T12,T12,Davis Love III,66,19.05,16,84
12,T12,T12,Adam Scott,69,19.05,20,105
13,14,14,Andrew Buckle,77,18.88,27,143
14,15,15,Harrison Frazar,88,18.6,32,172
15,16,16,Vaughn Taylor,91,18.42,21,114
16,T17,T17,J.B. Holmes,71,18.35,20,109
17,T17,T17,Jeff Overton,60,18.35,20,109
18,19,19,Robert Garrigus,95,18.22,39,214
19,20,20,Kevin Stadler,95,18.05,24,133
20,21,21,David Toms,80,17.76,19,107
21,22,22,Carl Pettersson,111,17.75,30,169
22,23,23,Jeff Quinney,95,17.69,26,147
23,24,24,Tiger Woods,63,17.65,18,102
24,25,25,Kenny Perry,83,17.59,19,108
25,26,26,Peter Lonard,85,17.54,20,114
26,27,27,Jonathan Byrd,73,17.43,19,109
27,28,28,Phil Mickelson,73,17.35,17,98
28,29,29,Mark Hensby,81,17.27,19,110
29,30,30,Jerry Kelly,101,17.21,21,122
30,T31,T31,Craig Barlow,52,17.2,16,93
31,T31,T31,Charley Hoffman,97,17.2,27,157
32,33,33,Joey Sindelar,75,16.84,16,95
33,T34,T34,D.J. Brigman,67,16.67,16,96
34,T34,T34,Alex Cejka,80,16.67,14,84
35,36,36,David Branshaw,83,16.54,22,133
36,37,37,Mark Calcavecchia,93,16.52,19,115
37,38,38,Joe Ogilvie,102,16.45,25,152
38,39,39,Hunter Mahan,91,16.3,15,92
39,T40,T40,Eric Axley,107,16.28,28,172
40,T40,T40,Steve Lowery,74,16.28,21,129
41,42,42,Troy Matteson,87,16.27,27,166
42,43,43,Rich Beem,89,16.26,20,123
43,44,44,Tom Johnson,74,16.24,19,117
44,T45,T45,Ken Duke,112,16.23,31,191
45,T45,T45,George McNeill,95,16.23,25,154
46,47,47,Bob Tway,103,16.22,18,111
47,48,48,Shigeki Maruyama,84,16.03,21,131
48,T49,T49,Stewart Cink,91,16.0,24,150
49,T49,T49,Bryce Molder,56,16.0,20,125
50,T49,T49,Paul Stankowski,52,16.0,8,50
51,52,52,K.J. Choi,87,15.93,18,113
52,53,53,Jesper Parnevik,88,15.83,19,120
53,54,54,José María Olazábal,52,15.73,14,89
54,T55,T55,Robert Allenby,90,15.69,24,153
55,T55,T55,Bob Estes,88,15.69,24,153
56,57,57,Duffy Waldorf,69,15.63,15,96
57,T58,T58,Brian Bateman,55,15.58,12,77
58,T58,T58,Jason Dufner,100,15.58,24,154
59,T60,T60,Lucas Glover,98,15.57,19,122
60,T60,T60,Billy Mayfair,98,15.57,19,122
61,62,62,John Merrick,92,15.54,30,193
62,63,63,Tim Petrovic,106,15.53,32,206
63,T64,T64,Stuart Appleby,74,15.45,17,110
64,T64,T64,Pat Perez,84,15.45,19,123
65,T66,T66,Tommy Armour III,81,15.38,12,78
