,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Tiger Woods,63,-0.095
1,2,2,Padraig Harrington,64,-0.036000000000000004
2,3,3,Ryan Moore,92,-0.033
3,4,4,Ken Duke,112,-0.026000000000000002
4,5,5,Jesper Parnevik,88,0.026000000000000002
5,6,6,Marco Dawson,73,0.028999999999999998
6,7,7,Sergio Garcia,68,0.03
7,8,8,Tag Ridings,52,0.036000000000000004
8,9,9,Kevin Sutherland,85,0.040999999999999995
9,10,10,Heath Slocum,101,0.042
10,11,11,Scott Verplank,82,0.043
11,12,12,Steve Allan,63,0.045
12,13,13,Robert Garrigus,95,0.048
13,T14,T14,Jason Bohn,57,0.055999999999999994
14,T14,T14,Jason Gore,86,0.055999999999999994
15,T14,T14,Mathias Grönberg,95,0.055999999999999994
16,17,17,Jonathan Byrd,73,0.057999999999999996
17,18,18,Steve Marino,106,0.059000000000000004
18,19,19,J.P. Hayes,89,0.061
19,20,20,Jay Williamson,50,0.063
20,T21,T21,Chris DiMarco,79,0.066
21,T21,T21,Bob Tway,103,0.066
22,23,23,Daniel Chopra,106,0.068
23,T24,T24,Nathan Green,103,0.069
24,T24,T24,Mike Weir,82,0.069
25,26,26,Sean O'Hair,98,0.07
26,27,27,Dean Wilson,92,0.073
27,T28,T28,Rod Pampling,92,0.07400000000000001
28,T28,T28,Tom Pernice Jr.,104,0.07400000000000001
29,30,30,Ian Poulter,63,0.081
30,T31,T31,Craig Bowden,78,0.08199999999999999
31,T31,T31,Camilo Villegas,82,0.08199999999999999
32,T33,T33,Cameron Beckman,96,0.083
33,T33,T33,Bob Estes,88,0.083
34,35,35,Bo Van Pelt,104,0.084
35,36,36,Robert Allenby,90,0.08800000000000001
36,37,37,Lucas Glover,98,0.08900000000000001
37,38,38,Bubba Watson,80,0.09
38,39,39,Ryuji Imada,104,0.092
39,40,40,Peter Lonard,85,0.09300000000000001
40,T41,T41,Carl Pettersson,111,0.095
41,T41,T41,Henrik Stenson,52,0.095
42,43,43,Bart Bryant,87,0.10099999999999999
43,44,44,George McNeill,95,0.102
44,45,45,John Mallinger,96,0.10300000000000001
45,46,46,Freddie Jacobson,70,0.10400000000000001
46,47,47,Vijay Singh,102,0.109
47,T48,T48,Jason Dufner,100,0.111
48,T48,T48,Bill Haas,93,0.111
49,T48,T48,John Rollins,102,0.111
50,T51,T51,J.B. Holmes,71,0.113
51,T51,T51,Arron Oberholser,69,0.113
52,T53,T53,Luke Donald,69,0.114
53,T53,T53,Jeff Overton,60,0.114
54,T53,T53,Chris Tidland,59,0.114
55,56,56,Jason Schultz,63,0.115
56,57,57,Jarrod Lyle,77,0.11599999999999999
57,58,58,Jim Furyk,84,0.11699999999999999
58,59,59,Tim Clark,66,0.11800000000000001
59,60,60,Charles Howell III,89,0.121
60,61,61,Brandt Snedeker,105,0.12300000000000001
61,62,62,Hunter Mahan,91,0.125
62,63,63,K.J. Choi,87,0.126
63,64,64,Joey Sindelar,75,0.127
64,T65,T65,Geoff Ogilvy,84,0.128
65,T65,T65,David Toms,80,0.128
66,T65,T65,Charlie Wi,90,0.128
67,68,68,Brian Davis,101,0.131
68,T69,T69,Stewart Cink,91,0.132
69,T69,T69,Rory Sabbatini,81,0.132
70,71,71,John Senden,97,0.133
71,T72,T72,Michael Boyd,61,0.134
72,T72,T72,Kenny Perry,83,0.134
73,74,74,Mark Wilson,87,0.135
74,75,75,Billy Mayfair,98,0.138
75,76,76,Parker McLachlin,83,0.139
76,T77,T77,Alex Cejka,80,0.141
77,T77,T77,Davis Love III,66,0.141
78,T77,T77,Tim Petrovic,106,0.141
79,T80,T80,Woody Austin,95,0.142
80,T80,T80,Johnson Wagner,97,0.142
81,T82,T82,Steve Flesch,100,0.14300000000000002
82,T82,T82,Brett Quigley,79,0.14300000000000002
83,84,84,Bob Heintz,85,0.14400000000000002
84,85,85,Briny Baird,115,0.146
85,86,86,Michael Putnam,96,0.14800000000000002
86,T87,T87,Billy Andrade,88,0.149
87,T87,T87,Jeff Gove,103,0.149
88,T87,T87,Vaughn Taylor,91,0.149
89,90,90,Ernie Els,59,0.151
90,T91,T91,Mathew Goggin,97,0.157
91,T91,T91,Michael Sim,52,0.157
92,T91,T91,Kevin Stadler,95,0.157
93,94,94,Tommy Armour III,81,0.158
94,95,95,Frank Lickliter II,95,0.16
95,T96,T96,Joe Durant,88,0.161
96,T96,T96,Kevin Na,84,0.161
97,T98,T98,Rich Barcelo,80,0.16399999999999998
98,T98,T98,Phil Mickelson,73,0.16399999999999998
99,100,100,Chris Couch,76,0.166
100,T101,T101,Stuart Appleby,74,0.16699999999999998
101,T101,T101,Paul Goydos,60,0.16699999999999998
102,T101,T101,Lee Janzen,66,0.16699999999999998
103,T104,T104,Brendon de Jonge,76,0.172
104,T104,T104,Daisuke Maruyama,86,0.172
105,T104,T104,Greg Owen,81,0.172
106,T104,T104,Kyle Reifers,71,0.172
107,T104,T104,Steve Stricker,81,0.172
108,109,109,Shigeki Maruyama,84,0.17300000000000001
109,110,110,Anthony Kim,93,0.174
110,T111,T111,Craig Barlow,52,0.17600000000000002
111,T111,T111,Andrew Buckle,77,0.17600000000000002
112,T111,T111,Matt Kuchar,85,0.17600000000000002
113,114,114,Fred Funk,65,0.177
114,115,115,Brian Gay,107,0.17800000000000002
115,T116,T116,Shaun Micheel,91,0.18
116,T116,T116,Boo Weekley,101,0.18
117,118,118,Joe Ogilvie,102,0.184
118,T119,T119,Eric Axley,107,0.185
119,T119,T119,Will MacKenzie,100,0.185
120,T121,T121,Bryce Molder,56,0.188
121,T121,T121,Ted Purdy,102,0.188
122,123,123,Jerry Kelly,101,0.18899999999999997
123,T124,T124,Retief Goosen,50,0.19
124,T124,T124,J.J. Henry,86,0.19
125,126,126,Charley Hoffman,97,0.192
126,127,127,Craig Kanada,109,0.193
127,128,128,Charles Warren,101,0.19399999999999998
128,T129,T129,Cliff Kresge,107,0.195
129,T129,T129,Stephen Leaney,82,0.195
