,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Tiger Woods,16,248.2,893638.0,100
1,2,2,Stewart Cink,25,250.0,1143128.0,127
2,T3,T3,Aaron Baddeley,23,250.4,1342965.0,149
3,T3,T3,Davis Love III,21,250.4,982652.0,109
4,T5,T5,Hunter Mahan,27,250.7,1254454.0,139
5,T5,T5,Joey Sindelar,25,250.7,839497.0,93
6,7,7,Ian Poulter,18,251.3,524709.0,58
7,8,8,Matt Kuchar,26,251.4,823541.0,91
8,9,9,John Senden,27,251.8,1541064.0,170
9,10,10,Mark Wilson,25,251.9,906760.0,100
10,T11,T11,Ernie Els,16,252.1,980096.0,108
11,T11,T11,Ryan Palmer,30,252.1,1406873.0,155
12,13,13,Joe Durant,28,252.4,1235891.0,136
13,T14,T14,Stuart Appleby,24,252.6,973104.0,107
14,T14,T14,Boo Weekley,29,252.6,1409246.0,155
15,16,16,Doug LaBelle II,33,252.7,1073574.0,118
16,T17,T17,Bart Bryant,25,252.9,1074141.0,118
17,T17,T17,Troy Matteson,26,252.9,1520555.0,167
18,T19,T19,Charley Hoffman,30,253.0,1639648.0,180
19,T19,T19,Bubba Watson,26,253.0,1593909.0,175
20,21,21,Bryce Molder,21,253.2,710989.0,78
21,22,22,Robert Garrigus,28,253.3,2060561.0,226
22,23,23,Camilo Villegas,24,253.5,1396297.0,153
23,24,24,Retief Goosen,14,253.8,603024.0,66
24,25,25,Mark Brooks,18,253.9,402246.0,44
25,26,26,Steve Stricker,23,254.0,740779.0,81
26,T27,T27,George McNeill,30,254.1,1509570.0,165
27,T27,T27,Brett Wetterich,28,254.1,1509280.0,165
28,29,29,Daniel Chopra,34,254.3,1730347.0,189
29,T30,T30,Geoff Ogilvy,22,254.4,1153791.0,126
30,T30,T30,Chris Riley,17,254.4,604453.0,66
31,32,32,Steve Marino,31,254.5,1859886.0,203
32,T33,T33,Tom Byrum,20,254.6,467408.0,51
33,T33,T33,Heath Slocum,28,254.6,1145889.0,125
34,35,35,Ken Duke,31,254.7,1632328.0,178
35,36,36,David Branshaw,30,254.8,1201556.0,131
36,T37,T37,Jonathan Byrd,23,254.9,1256941.0,137
37,T37,T37,Jeff Sluman,21,254.9,541482.0,59
38,T39,T39,Robert Allenby,28,255.1,1515405.0,165
39,T39,T39,J.P. Hayes,28,255.1,1304187.0,142
40,T39,T39,Charles Howell III,26,255.1,1267130.0,138
41,T42,T42,Tom Lehman,19,255.2,725787.0,79
42,T42,T42,Tag Ridings,18,255.2,992258.0,108
43,44,44,Stephen Ames,23,255.3,873009.0,95
44,45,45,Pat Perez,27,255.4,1186257.0,129
45,T46,T46,Mathew Goggin,30,255.5,1839941.0,200
46,T46,T46,Tripp Isenhour,32,255.5,1122116.0,122
47,T48,T48,Craig Barlow,16,255.6,763707.0,83
48,T48,T48,Jason Gore,27,255.6,1674589.0,182
49,T48,T48,Paul Goydos,19,255.6,450866.0,49
50,T48,T48,Scott Verplank,23,255.6,864797.0,94
51,T52,T52,Brian Bateman,18,255.7,736559.0,80
52,T52,T52,Vijay Singh,27,255.7,1684730.0,183
53,54,54,Chris Stroud,24,255.8,874665.0,95
54,T55,T55,Chad Campbell,28,255.9,1105354.0,120
55,T55,T55,Sergio Garcia,19,255.9,1124018.0,122
56,T55,T55,Rory Sabbatini,23,255.9,1178996.0,128
57,T58,T58,Luke Donald,20,256.0,654294.0,71
58,T58,T58,Jeff Overton,19,256.0,1225574.0,133
59,T60,T60,Harrison Frazar,32,256.1,1493835.0,162
60,T60,T60,Rod Pampling,25,256.1,1493374.0,162
61,T62,T62,Mark Calcavecchia,28,256.2,1392855.0,151
62,T62,T62,Cliff Kresge,30,256.2,1493982.0,162
63,T62,T62,Ted Purdy,33,256.2,1623233.0,176
64,65,65,Richard Johnson,32,256.4,886087.0,96
65,66,66,Jason Schultz,22,256.6,942168.0,102
66,67,67,Bo Van Pelt,30,256.7,1755811.0,190
67,68,68,Andrew Buckle,26,256.9,1183952.0,128
68,T69,T69,Steve Lowery,22,257.0,1286102.0,139
69,T69,T69,Darron Stiles,24,257.0,730841.0,79
70,71,71,Jerry Kelly,28,257.1,1083024.0,117
71,72,72,José Coceres,17,257.3,565104.0,61
72,73,73,Greg Owen,29,257.4,1399251.0,151
73,T74,T74,Jason Dufner,32,257.5,1566573.0,169
74,T74,T74,Lee Janzen,24,257.5,713849.0,77
75,76,76,Steve Allan,18,257.6,1196253.0,129
76,T77,T77,Jim Rutledge,23,257.7,640120.0,69
77,T77,T77,Nick Watney,26,257.7,1512266.0,163
78,T79,T79,Michael Allen,22,257.8,1048739.0,113
79,T79,T79,Duffy Waldorf,23,257.8,1067234.0,115
80,T81,T81,Robert Gamez,30,257.9,1123227.0,121
81,T81,T81,Bill Haas,30,257.9,1950080.0,210
82,T81,T81,Trevor Immelman,21,257.9,881873.0,95
83,T81,T81,Jarrod Lyle,24,257.9,1095370.0,118
84,85,85,Zach Johnson,23,258.0,863913.0,93
85,T86,T86,Tommy Armour III,24,258.2,892478.0,96
86,T86,T86,Carl Pettersson,31,258.2,1775211.0,191
87,T88,T88,Ben Curtis,25,258.3,920467.0,99
88,T88,T88,J.J. Henry,26,258.3,1320209.0,142
89,T88,T88,Brett Quigley,25,258.3,1097200.0,118
90,T91,T91,Parker McLachlin,28,258.4,1237166.0,133
91,T91,T91,Chris Tidland,21,258.4,920845.0,99
92,T93,T93,John Mallinger,29,258.7,1182561.0,127
93,T93,T93,Kenny Perry,24,258.7,1359814.0,146
94,T95,T95,Padraig Harrington,18,258.8,931506.0,100
95,T95,T95,Will MacKenzie,30,258.8,1695796.0,182
96,T97,T97,Briny Baird,31,258.9,1780298.0,191
97,T97,T97,Matt Hendrix,24,258.9,1211658.0,130
98,T97,T97,Tim Herron,27,258.9,1416878.0,152
99,T100,T100,J.B. Holmes,24,259.1,1818926.0,195
100,T100,T100,Ryan Moore,28,259.1,1464517.0,157
101,T102,T102,Jason Bohn,17,259.2,961157.0,103
102,T102,T102,Daisuke Maruyama,28,259.2,1408753.0,151
103,T102,T102,Kevin Sutherland,25,259.2,1362565.0,146
104,T105,T105,Woody Austin,27,259.3,1260228.0,135
105,T105,T105,Brendon de Jonge,26,259.3,1260158.0,135
106,T107,T107,Fred Funk,22,259.4,466907.0,50
107,T107,T107,Jim Furyk,23,259.4,905825.0,97
108,T107,T107,Freddie Jacobson,20,259.4,999185.0,107
109,T107,T107,Peter Lonard,27,259.4,1288521.0,138
110,T107,T107,D.J. Trahan,30,259.4,1951597.0,209
111,T112,T112,Kent Jones,30,259.5,1522678.0,163
112,T112,T112,Charlie Wi,27,259.5,1373435.0,147
113,T114,T114,Billy Andrade,27,259.6,1345870.0,144
114,T114,T114,Adam Scott,19,259.6,1308434.0,140
115,116,116,John Daly,24,259.7,1252817.0,134
116,117,117,Jeff Gove,30,259.8,1758208.0,188
117,T118,T118,Phil Mickelson,22,259.9,1263298.0,135
118,T118,T118,Sean O'Hair,28,259.9,1815038.0,194
119,T118,T118,Bob Tway,32,259.9,1478043.0,158
120,121,121,Charles Warren,29,260.1,2144278.0,229
121,T122,T122,D.J. Brigman,22,260.2,861866.0,92
122,T122,T122,Lucas Glover,29,260.2,1695238.0,181
123,T122,T122,Jay Williamson,14,260.2,815022.0,87
124,T122,T122,Dean Wilson,28,260.2,1039641.0,111
125,T126,T126,Mathias Grönberg,31,260.3,2033563.0,217
126,T126,T126,Jesper Parnevik,27,260.3,1293147.0,138
127,T126,T126,Mike Weir,23,260.3,1255808.0,134
128,129,129,José María Olazábal,16,260.4,562474.0,60
129,130,130,Bob Heintz,27,260.5,984862.0,105
130,T131,T131,Rich Beem,29,260.6,1454326.0,155
131,T131,T131,Bob Estes,28,260.6,956781.0,102
132,133,133,John Merrick,29,260.7,1501488.0,160
133,T134,T134,Eric Axley,36,260.9,1577831.0,168
134,T134,T134,Justin Leonard,29,260.9,929804.0,99
135,T134,T134,Justin Rose,16,260.9,629280.0,67
136,T134,T134,David Toms,22,260.9,882916.0,94
137,T138,T138,Rich Barcelo,26,261.0,1136744.0,121
138,T138,T138,Arron Oberholser,21,261.0,770539.0,82
139,T138,T138,Corey Pavin,25,261.0,657712.0,70
140,T141,T141,Todd Hamilton,28,261.1,714244.0,76
141,T141,T141,Shigeki Maruyama,31,261.1,949336.0,101
142,T143,T143,Nathan Green,29,261.2,1589096.0,169
143,T143,T143,Dicky Pride,25,261.2,733313.0,78
144,T143,T143,Vaughn Taylor,28,261.2,1194159.0,127
145,146,146,John Rollins,29,261.3,1589916.0,169
146,T147,T147,Tom Johnson,27,261.4,1110488.0,118
147,T147,T147,Frank Lickliter II,30,261.4,1487059.0,158
148,T147,T147,Joe Ogilvie,31,261.4,1609334.0,171
149,150,150,Michael Boyd,21,261.5,602444.0,64
150,151,151,Kevin Stadler,31,261.6,1657281.0,176
151,T152,T152,Paul Gow,26,261.7,895016.0,95
152,T152,T152,Craig Lile,24,261.7,979824.0,104
153,T152,T152,Kirk Triplett,25,261.7,866854.0,92
154,T155,T155,Tim Clark,19,262.1,547251.0,58
155,T155,T155,Chris DiMarco,24,262.1,952987.0,101
156,T157,T157,Ryan Armour,32,262.2,1453393.0,154
157,T157,T157,K.J. Choi,25,262.2,1217716.0,129
158,T159,T159,Anders Hansen,17,262.3,528828.0,56
159,T159,T159,Kevin Na,27,262.3,1529968.0,162
160,T161,T161,Cameron Beckman,29,262.4,1615533.0,171
161,T161,T161,Brian Gay,32,262.4,774673.0,82
162,163,163,Steve Wheatcroft,25,262.5,1275610.0,135
163,164,164,Shaun Micheel,29,262.7,993066.0,105
164,165,165,Kyle Reifers,27,262.8,1106847.0,117
165,T166,T166,Mark Hensby,25,262.9,1268391.0,134
166,T166,T166,Henrik Stenson,15,262.9,738242.0,78
167,T168,T168,Bubba Dickerson,19,263.1,899935.0,95
168,T168,T168,Tom Pernice Jr.,31,263.1,1335443.0,141
169,T168,T168,Jeff Quinney,29,263.1,1326032.0,140
170,171,171,Steve Flesch,31,263.2,1497215.0,158
171,T172,T172,Ryuji Imada,32,263.3,1336378.0,141
172,T172,T172,Billy Mayfair,30,263.3,1431203.0,151
173,T172,T172,Rocco Mediate,22,263.3,805618.0,85
174,175,175,Glen Day,27,263.4,891457.0,94
175,T176,T176,Tim Petrovic,32,263.7,1746503.0,184
176,T176,T176,Brandt Snedeker,29,263.7,1120086.0,118
177,T176,T176,Johnson Wagner,33,263.7,1774986.0,187
178,T179,T179,Steve Elkington,25,263.8,1206106.0,127
179,T179,T179,Jeff Maggert,26,263.8,1168296.0,123
180,T179,T179,Nick O'Hern,22,263.8,835602.0,88
181,T182,T182,Michael Putnam,29,263.9,1643790.0,173
182,T182,T182,Michael Sim,17,263.9,779005.0,82
183,184,184,Scott Gutschewski,22,264.0,1311398.0,138
184,185,185,Chris Couch,30,264.3,1512684.0,159
185,186,186,Paul Stankowski,18,264.4,894648.0,94
186,187,187,Craig Bowden,25,264.5,676168.0,71
187,T188,T188,Gavin Coles,28,264.6,666791.0,70
188,T188,T188,Craig Kanada,34,264.6,1076585.0,113
189,190,190,Anthony Kim,26,265.0,1869797.0,196
190,191,191,Marco Dawson,23,265.6,1147298.0,120
191,192,192,Stephen Leaney,26,265.7,975650.0,102
192,193,193,Jaco Van Zyl,21,266.5,834622.0,87
193,194,194,Alex Cejka,25,266.8,1392894.0,145
194,195,195,Jeff Brehaut,21,267.1,980696.0,102
195,196,196,Brian Davis,28,268.6,1469879.0,152
