,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Padraig Harrington,64,"13' 0""",612.9169999999999,47,-0.02
1,2,2,Phil Mickelson,73,"13' 1""",759.0,58,-0.14
2,3,3,Steve Stricker,81,"13' 3""",1717.25,130,-0.18
3,4,4,Justin Rose,63,"13' 6""",770.25,57,+0.02
4,5,5,Bob Heintz,85,"14' 3""",1242.917,87,-0.16
5,T6,T6,Stuart Appleby,74,"14' 5""",1227.25,85,-0.02
6,T6,T6,Stewart Cink,91,"14' 5""",1443.6670000000001,100,-0.17
7,T6,T6,Rocco Mediate,72,"14' 5""",1439.5829999999999,100,-0.28
8,9,9,Billy Mayfair,98,"14' 6""",1336.4170000000001,92,-0.01
9,10,10,Jim Furyk,84,"14' 7""",1255.167,86,-0.20
10,11,11,Shigeki Maruyama,84,"14' 9""",1946.5,132,-0.14
11,12,12,Corey Pavin,81,"14' 10""",1738.1670000000001,117,-0.21
12,T13,T13,Mark Calcavecchia,93,"14' 11""",1434.1670000000001,96,-0.28
13,T13,T13,Jeff Sluman,60,"14' 11""",849.25,57,-0.19
14,15,15,Glen Day,85,"15' 0""",1815.3329999999999,121,-0.14
15,T16,T16,Alex Cejka,80,"15' 1""",1641.9170000000001,109,-0.27
16,T16,T16,Chris DiMarco,79,"15' 1""",1340.9170000000001,89,-0.08
17,T16,T16,Jeff Gove,103,"15' 1""",1822.5,121,-0.01
18,T16,T16,Justin Leonard,95,"15' 1""",2015.8329999999999,134,-0.01
19,T20,T20,Bob Estes,88,"15' 2""",1991.25,131,-0.17
20,T20,T20,Brian Gay,107,"15' 2""",2954.0,195,-0.23
21,T22,T22,Jerry Kelly,101,"15' 4""",1306.167,85,-0.14
22,T22,T22,José María Olazábal,52,"15' 4""",782.9169999999999,51,-0.04
23,T22,T22,Rory Sabbatini,81,"15' 4""",1040.417,68,-0.13
24,25,25,Darron Stiles,65,"15' 5""",1467.0,95,-0.21
25,T26,T26,Nathan Green,103,"15' 6""",1181.083,76,-0.12
26,T26,T26,Jarrod Lyle,77,"15' 6""",1907.0829999999999,123,-0.18
27,T26,T26,Jeff Maggert,79,"15' 6""",1953.1670000000001,126,-0.22
28,T26,T26,Mike Weir,82,"15' 6""",1021.6669999999999,66,+0.08
29,T30,T30,Daniel Chopra,106,"15' 7""",1960.25,126,-0.17
30,T30,T30,Nick O'Hern,72,"15' 7""",1198.417,77,-0.06
31,T30,T30,Jaco Van Zyl,51,"15' 7""",901.5830000000001,58,-0.12
32,T30,T30,Camilo Villegas,82,"15' 7""",921.4169999999999,59,+0.03
33,T30,T30,Jay Williamson,50,"15' 7""",1228.75,79,-0.20
34,T35,T35,Craig Bowden,78,"15' 8""",1987.9170000000001,127,-0.31
35,T35,T35,Robert Garrigus,95,"15' 8""",1444.4170000000001,92,-0.14
36,T35,T35,Lee Janzen,66,"15' 8""",1314.9170000000001,84,-0.08
37,T35,T35,Matt Kuchar,85,"15' 8""",1629.4170000000001,104,-0.14
38,T35,T35,Kirk Triplett,77,"15' 8""",1939.1670000000001,124,-0.12
39,T40,T40,Bart Bryant,87,"15' 9""",1587.0,101,-0.22
40,T40,T40,Ernie Els,59,"15' 9""",644.5,41,+0.02
41,T40,T40,Steve Flesch,100,"15' 9""",1998.25,127,-0.06
42,T40,T40,Craig Kanada,109,"15' 9""",2036.0829999999999,129,-0.05
43,T40,T40,Tom Lehman,62,"15' 9""",978.9169999999999,62,-0.13
44,T40,T40,Kevin Na,84,"15' 9""",1195.667,76,-0.11
45,T46,T46,Robert Allenby,90,"15' 10""",793.25,50,-0.10
46,T46,T46,Brendon de Jonge,76,"15' 10""",1647.0829999999999,104,-0.14
47,T46,T46,Tim Petrovic,106,"15' 10""",1485.6670000000001,94,-0.19
48,T46,T46,Tiger Woods,63,"15' 10""",522.8330000000001,33,-0.18
49,T50,T50,Bill Haas,93,"15' 11""",1573.6670000000001,99,-0.08
50,T50,T50,Tripp Isenhour,86,"15' 11""",1591.75,100,-0.20
51,T50,T50,Geoff Ogilvy,84,"15' 11""",1702.9170000000001,107,-0.07
52,T53,T53,Bubba Dickerson,51,"16' 0""",1121.417,70,-0.19
53,T53,T53,Ian Poulter,63,"16' 0""",911.8330000000001,57,-0.14
54,T55,T55,Woody Austin,95,"16' 1""",1770.8329999999999,110,-0.18
55,T55,T55,Tim Clark,66,"16' 1""",1834.6670000000001,114,-0.17
56,T55,T55,John Daly,59,"16' 1""",867.1669999999999,54,-0.06
57,T55,T55,Paul Goydos,60,"16' 1""",1139.75,71,-0.08
58,T55,T55,Chris Riley,59,"16' 1""",1270.583,79,-0.11
59,T60,T60,Freddie Jacobson,70,"16' 2""",1516.75,94,-0.13
60,T60,T60,Joey Sindelar,75,"16' 2""",1893.8329999999999,117,-0.05
61,T60,T60,Bubba Watson,80,"16' 2""",1759.9170000000001,109,-0.12
62,T63,T63,Mark Hensby,81,"16' 3""",1824.0829999999999,112,-0.02
63,T63,T63,Sean O'Hair,98,"16' 3""",1821.6670000000001,112,-0.19
64,T63,T63,Scott Verplank,82,"16' 3""",1266.083,78,-0.17
65,66,66,Jason Gore,86,"16' 4""",1718.25,105,-0.04
66,T67,T67,Stephen Ames,81,"16' 5""",1410.1670000000001,86,-0.14
67,T67,T67,J.P. Hayes,89,"16' 5""",2054.25,125,-0.05
68,T67,T67,Bryce Molder,56,"16' 5""",1264.417,77,-0.05
69,T67,T67,Heath Slocum,101,"16' 5""",2283.167,139,-0.17
70,T67,T67,David Toms,80,"16' 5""",1768.75,108,-0.14
71,T67,T67,Charlie Wi,90,"16' 5""",1429.75,87,-0.15
72,T73,T73,Jeff Brehaut,59,"16' 6""",1037.917,63,E
73,T73,T73,Fred Funk,65,"16' 6""",1538.3329999999999,93,-0.20
74,T73,T73,Sergio Garcia,68,"16' 6""",593.6669999999999,36,+0.14
75,T73,T73,Cliff Kresge,107,"16' 6""",2074.25,126,-0.03
76,T73,T73,Adam Scott,69,"16' 6""",1155.917,70,-0.20
77,78,78,Brandt Snedeker,105,"16' 7""",1744.6670000000001,105,-0.06
78,79,79,Brian Davis,101,"16' 8""",2329.667,140,-0.10
79,80,80,José Coceres,50,"16' 9""",836.0,50,-0.10
80,T81,T81,Craig Barlow,52,"16' 10""",1226.0,73,+0.03
81,T81,T81,Cameron Beckman,96,"16' 10""",1632.5,97,-0.15
82,T81,T81,John Mallinger,96,"16' 10""",2037.8329999999999,121,-0.11
83,T81,T81,Tom Pernice Jr.,104,"16' 10""",2019.6670000000001,120,-0.11
84,T81,T81,Vijay Singh,102,"16' 10""",1803.4170000000001,107,-0.19
85,T86,T86,Joe Durant,88,"16' 11""",2115.917,125,-0.02
86,T86,T86,Retief Goosen,50,"16' 11""",794.5830000000001,47,+0.04
87,T86,T86,Greg Owen,81,"16' 11""",1739.75,103,E
88,T86,T86,Rod Pampling,92,"16' 11""",1474.5,87,-0.11
89,T90,T90,Gavin Coles,87,"17' 0""",2069.583,122,-0.21
90,T90,T90,Steve Lowery,74,"17' 0""",1544.1670000000001,91,-0.15
91,T90,T90,Arron Oberholser,69,"17' 0""",1343.25,79,-0.10
92,T90,T90,Brett Quigley,79,"17' 0""",1344.25,79,-0.08
93,T94,T94,Ryuji Imada,104,"17' 1""",2002.6670000000001,117,-0.15
94,T94,T94,Tom Johnson,74,"17' 1""",1181.25,69,-0.01
95,T94,T94,Hunter Mahan,91,"17' 1""",1363.75,80,-0.08
96,T97,T97,Ben Curtis,80,"17' 2""",1289.0,75,-0.12
97,T97,T97,Robert Gamez,88,"17' 2""",1892.5829999999999,110,-0.15
98,T99,T99,Richard Johnson,93,"17' 3""",1815.0,105,-0.13
99,T99,T99,Stephen Leaney,82,"17' 3""",1498.0829999999999,87,-0.07
100,T99,T99,Brett Wetterich,88,"17' 3""",1451.25,84,-0.10
101,T102,T102,Will MacKenzie,100,"17' 4""",1850.6670000000001,107,-0.21
102,T102,T102,John Senden,97,"17' 4""",1781.1670000000001,103,-0.06
103,T104,T104,Jonathan Byrd,73,"17' 5""",1237.417,71,-0.03
104,T104,T104,Peter Lonard,85,"17' 5""",1651.0,95,+0.07
105,T104,T104,Paul Stankowski,52,"17' 5""",924.8330000000001,53,-0.04
106,T104,T104,Johnson Wagner,97,"17' 5""",1568.3329999999999,90,-0.10
107,T104,T104,Steve Wheatcroft,73,"17' 5""",1533.3329999999999,88,-0.16
108,T109,T109,J.J. Henry,86,"17' 6""",1538.25,88,-0.05
109,T109,T109,Frank Lickliter II,95,"17' 6""",2270.917,130,-0.08
110,111,111,Michael Allen,74,"17' 7""",1725.75,98,-0.04
111,T112,T112,Ryan Armour,107,"17' 8""",2565.333,145,-0.19
112,T112,T112,Rich Barcelo,80,"17' 8""",1677.5,95,-0.15
113,T112,T112,Paul Gow,70,"17' 8""",1486.0829999999999,84,+0.05
114,T112,T112,Doug LaBelle II,104,"17' 8""",1735.0,98,-0.08
115,T112,T112,Dicky Pride,71,"17' 8""",1305.25,74,-0.11
116,T112,T112,Michael Putnam,96,"17' 8""",1200.0,68,+0.03
117,T118,T118,Ken Duke,112,"17' 9""",2346.167,132,-0.08
118,T118,T118,Harrison Frazar,88,"17' 9""",1381.25,78,+0.01
119,T118,T118,Daisuke Maruyama,86,"17' 9""",1702.0,96,-0.14
120,T118,T118,Ted Purdy,102,"17' 9""",1989.5,112,-0.17
121,T118,T118,Chris Tidland,59,"17' 9""",1151.25,65,-0.09
122,T123,T123,Rich Beem,89,"17' 10""",1374.5,77,+0.03
123,T123,T123,Kevin Stadler,95,"17' 10""",2266.333,127,-0.02
124,T125,T125,Mathias Grönberg,95,"17' 11""",1699.4170000000001,95,-0.11
125,T125,T125,Shaun Micheel,91,"17' 11""",1974.25,110,-0.04
126,T125,T125,D.J. Trahan,99,"17' 11""",1986.5,111,-0.07
127,T128,T128,Tom Byrum,50,"18' 0""",1116.0,62,-0.11
128,T128,T128,Chris Couch,76,"18' 0""",1761.5,98,-0.05
129,T128,T128,Jeff Quinney,95,"18' 0""",2047.75,114,+0.05
130,T131,T131,Tommy Armour III,81,"18' 1""",1953.4170000000001,108,-0.19
131,T131,T131,Aaron Baddeley,83,"18' 1""",1341.0829999999999,74,-0.04
132,T131,T131,Craig Lile,77,"18' 1""",1664.6670000000001,92,-0.11
133,T131,T131,Jason Schultz,63,"18' 1""",1028.667,57,-0.09
134,T135,T135,Briny Baird,115,"18' 2""",2509.167,138,-0.09
135,T135,T135,D.J. Brigman,67,"18' 2""",1199.417,66,+0.05
136,T135,T135,Bo Van Pelt,104,"18' 2""",2234.833,123,-0.17
137,T135,T135,Charles Warren,101,"18' 2""",1891.4170000000001,104,-0.14
138,T139,T139,Brian Bateman,55,"18' 3""",985.5,54,-0.04
139,T139,T139,Todd Hamilton,76,"18' 3""",1513.5829999999999,83,-0.02
140,T139,T139,Matt Hendrix,63,"18' 3""",1312.3329999999999,72,E
141,T139,T139,Zach Johnson,76,"18' 3""",1459.0829999999999,80,-0.06
142,T139,T139,Boo Weekley,101,"18' 3""",1949.6670000000001,107,-0.11
143,T144,T144,Steve Elkington,87,"18' 4""",1958.8329999999999,107,-0.15
144,T144,T144,Scott Gutschewski,67,"18' 4""",1284.25,70,-0.19
145,T144,T144,Joe Ogilvie,102,"18' 4""",2529.083,138,-0.13
146,T144,T144,Ryan Palmer,91,"18' 4""",1812.6670000000001,99,+0.06
147,T144,T144,Michael Sim,52,"18' 4""",1556.5829999999999,85,-0.21
148,T144,T144,Kevin Sutherland,85,"18' 4""",1336.0829999999999,73,-0.15
149,T144,T144,Vaughn Taylor,91,"18' 4""",1943.3329999999999,106,+0.02
