,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Ernie Els,59,"43' 0""",6019.5830000000005,140,-35
1,2,2,Tiger Woods,63,"43' 2""",6426.9169999999995,149,-35
2,3,3,Heath Slocum,101,"43' 9""",12594.25,288,-51
3,4,4,Robert Allenby,90,"44' 7""",10260.917,230,-39
4,5,5,Sergio Garcia,68,"45' 8""",7905.4169999999995,173,-32
5,6,6,Brett Wetterich,88,"45' 11""",9740.833,212,-45
6,7,7,Henrik Stenson,52,"46' 10""",5295.9169999999995,113,-17
7,8,8,Mark Calcavecchia,93,"46' 11""",11069.25,236,-38
8,9,9,Davis Love III,66,"47' 1""",7341.0,156,-25
9,T10,T10,Robert Garrigus,95,"47' 2""",11033.667,234,-48
10,T10,T10,Joey Sindelar,75,"47' 2""",10369.25,220,-14
11,T12,T12,Brett Quigley,79,"47' 4""",8994.667,190,-33
12,T12,T12,Camilo Villegas,82,"47' 4""",9790.417,207,-36
13,T12,T12,Bubba Watson,80,"47' 4""",10035.417,212,-23
14,15,15,Tim Clark,66,"47' 6""",7652.1669999999995,161,-21
15,T16,T16,Gavin Coles,87,"47' 7""",12221.333,257,1
16,T16,T16,Kirk Triplett,77,"47' 7""",9605.417,202,-21
17,T18,T18,Ryan Palmer,91,"47' 8""",10825.5,227,-39
18,T18,T18,Vaughn Taylor,91,"47' 8""",10386.333,218,-51
19,20,20,Jerry Kelly,101,"47' 9""",11506.5,241,-33
20,21,21,Boo Weekley,101,"47' 11""",11974.667,250,-25
21,T22,T22,Aaron Baddeley,83,"48' 0""",9892.417,206,-49
22,T22,T22,Phil Mickelson,73,"48' 0""",8691.833,181,-47
23,T22,T22,Kevin Stadler,95,"48' 0""",11522.0,240,-11
24,25,25,Pat Perez,84,"48' 1""",9426.333,196,-38
25,T26,T26,John Mallinger,96,"48' 2""",11998.167,249,-28
26,T26,T26,Billy Mayfair,98,"48' 2""",14168.917,294,-56
27,T26,T26,Steve Stricker,81,"48' 2""",9820.833,204,-34
28,29,29,Brandt Snedeker,105,"48' 3""",11534.917,239,-37
29,30,30,Jim Furyk,84,"48' 6""",9950.75,205,-34
30,T31,T31,John Daly,59,"48' 7""",5491.1669999999995,113,-19
31,T31,T31,Freddie Jacobson,70,"48' 7""",8653.0,178,-29
32,T33,T33,Joe Durant,88,"48' 8""",11590.917,238,-27
33,T33,T33,Hunter Mahan,91,"48' 8""",11093.5,228,-47
34,T33,T33,Darron Stiles,65,"48' 8""",7841.4169999999995,161,-21
35,T36,T36,Zach Johnson,76,"48' 9""",10236.583,210,-37
36,T36,T36,Ryan Moore,92,"48' 9""",11511.333,236,-31
37,38,38,Stephen Leaney,82,"48' 11""",11888.833,243,-20
38,39,39,Geoff Ogilvy,84,"49' 0""",8924.917,182,-33
39,T40,T40,Billy Andrade,88,"49' 1""",11151.333,227,-23
