,Birdie_or_Better_Percentage_-_150-175_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_150-175_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_150-175_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_150-175_ya_ROUNDS,Birdie_or_Better_Percentage_-_150-175_ya_%,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_150-175_ya_TOTAL HOLES
0,1,1,Tiger Woods,63,22.73,40,176
1,2,2,Shaun Micheel,91,21.21,56,264
2,3,3,Brian Gay,107,20.43,67,328
3,4,4,Ryuji Imada,104,19.47,59,303
4,T5,T5,Harrison Frazar,88,19.43,48,247
5,T5,T5,Bubba Watson,80,19.43,41,211
6,7,7,Freddie Jacobson,70,18.67,45,241
7,8,8,Justin Rose,63,18.52,25,135
8,9,9,Justin Leonard,95,18.27,55,301
9,10,10,Shigeki Maruyama,84,18.18,52,286
10,11,11,Paul Goydos,60,18.13,31,171
11,12,12,Mark Calcavecchia,93,18.07,43,238
12,13,13,Stewart Cink,91,18.02,51,283
13,14,14,Rocco Mediate,72,17.97,46,256
14,15,15,Camilo Villegas,82,17.9,41,229
15,16,16,Brendon de Jonge,76,17.83,41,230
16,17,17,Sergio Garcia,68,17.73,36,203
17,18,18,Jesper Parnevik,88,17.65,51,289
18,19,19,Aaron Baddeley,83,17.5,42,240
19,20,20,Tim Clark,66,17.34,30,173
20,21,21,Tommy Armour III,81,17.14,42,245
21,22,22,Joe Ogilvie,102,17.08,48,281
22,T23,T23,K.J. Choi,87,17.07,42,246
23,T23,T23,Tom Lehman,62,17.07,35,205
24,25,25,Daniel Chopra,106,16.96,57,336
25,26,26,David Toms,80,16.88,39,231
26,27,27,Andrew Buckle,77,16.67,41,246
27,28,28,Rich Barcelo,80,16.48,43,261
28,29,29,Charley Hoffman,97,16.44,48,292
29,30,30,Scott Verplank,82,16.36,36,220
30,31,31,Tim Herron,98,16.33,48,294
31,32,32,Chad Campbell,96,16.24,51,314
32,33,33,Woody Austin,95,16.17,49,303
33,T34,T34,Anthony Kim,93,16.14,46,285
34,T34,T34,Bo Van Pelt,104,16.14,61,378
35,36,36,Ryan Moore,92,16.06,44,274
36,37,37,Adam Scott,69,16.04,30,187
37,38,38,Mark Wilson,87,16.0,44,275
38,39,39,Gavin Coles,87,15.91,42,264
39,40,40,Craig Lile,77,15.87,40,252
40,T41,T41,Robert Gamez,88,15.85,42,265
41,T41,T41,Vaughn Taylor,91,15.85,42,265
42,43,43,Dicky Pride,71,15.77,35,222
43,44,44,Padraig Harrington,64,15.76,26,165
44,T45,T45,Fred Funk,65,15.74,31,197
45,T45,T45,Mike Weir,82,15.74,34,216
46,47,47,Lucas Glover,98,15.73,42,267
47,48,48,Charles Warren,101,15.67,50,319
48,49,49,Ryan Armour,107,15.6,51,327
49,50,50,Greg Owen,81,15.55,37,238
50,51,51,Parker McLachlin,83,15.38,38,247
51,52,52,Richard Johnson,93,15.36,53,345
52,53,53,John Merrick,92,15.3,43,281
53,T54,T54,Jason Schultz,63,15.27,31,203
54,T54,T54,Boo Weekley,101,15.27,40,262
55,56,56,Nick O'Hern,72,15.21,33,217
56,57,57,Brian Davis,101,15.19,48,316
57,58,58,George McNeill,95,15.18,46,303
58,59,59,Ben Curtis,80,15.14,38,251
59,60,60,Brett Wetterich,88,15.04,37,246
60,61,61,Briny Baird,115,15.03,58,386
61,62,62,Kevin Na,84,15.02,44,293
62,63,63,Jeff Quinney,95,14.97,47,314
63,64,64,Rory Sabbatini,81,14.91,34,228
64,65,65,Tom Pernice Jr.,104,14.9,45,302
65,66,66,Jim Furyk,84,14.86,37,249
66,67,67,Cameron Beckman,96,14.85,45,303
67,68,68,Bart Bryant,87,14.83,43,290
68,69,69,Brandt Snedeker,105,14.78,47,318
69,T70,T70,Bob Estes,88,14.77,44,298
70,T70,T70,Geoff Ogilvy,84,14.77,35,237
71,72,72,Carl Pettersson,111,14.71,45,306
72,73,73,Ryan Palmer,91,14.7,41,279
73,74,74,Jeff Maggert,79,14.56,38,261
74,75,75,Rich Beem,89,14.51,37,255
75,T76,T76,Chris DiMarco,79,14.5,29,200
76,T76,T76,Henrik Stenson,52,14.5,19,131
77,78,78,Steve Marino,106,14.49,41,283
78,79,79,Alex Cejka,80,14.44,41,284
79,80,80,Anders Hansen,55,14.41,17,118
80,81,81,Paul Stankowski,52,14.19,21,148
81,82,82,Jay Williamson,50,14.12,25,177
82,83,83,Jeff Brehaut,59,14.09,21,149
83,84,84,José Coceres,50,14.08,20,142
84,85,85,Nathan Green,103,14.06,45,320
85,86,86,Chris Riley,59,14.04,25,178
86,T87,T87,Ken Duke,112,14.01,50,357
87,T87,T87,Steve Flesch,100,14.01,43,307
88,T87,T87,Ted Purdy,102,14.01,43,307
89,90,90,Steve Stricker,81,13.97,32,229
90,91,91,Frank Lickliter II,95,13.95,41,294
91,T92,T92,Mark Brooks,53,13.92,22,158
92,T92,T92,Tag Ridings,52,13.92,22,158
93,94,94,Michael Boyd,61,13.86,23,166
94,95,95,Dean Wilson,92,13.84,40,289
95,96,96,Doug LaBelle II,104,13.83,48,347
96,97,97,Charles Howell III,89,13.79,32,232
97,T98,T98,D.J. Brigman,67,13.78,27,196
98,T98,T98,Brett Quigley,79,13.78,31,225
99,100,100,Michael Allen,74,13.77,34,247
100,101,101,Billy Andrade,88,13.72,38,277
101,102,102,Cliff Kresge,107,13.71,51,372
102,103,103,Luke Donald,69,13.68,26,190
103,104,104,Sean O'Hair,98,13.64,39,286
104,105,105,Chris Stroud,66,13.59,25,184
105,106,106,Jason Bohn,57,13.53,28,207
106,107,107,Steve Elkington,87,13.52,38,281
107,108,108,Ian Poulter,63,13.51,20,148
108,109,109,Kyle Reifers,71,13.47,33,245
109,110,110,Jason Dufner,100,13.46,42,312
110,111,111,Todd Hamilton,76,13.43,29,216
111,112,112,Joey Sindelar,75,13.39,34,254
112,T113,T113,Hunter Mahan,91,13.38,36,269
113,T113,T113,Kenny Perry,83,13.38,36,269
114,115,115,Rod Pampling,92,13.31,35,263
115,116,116,Heath Slocum,101,13.19,48,364
116,117,117,Arron Oberholser,69,13.13,26,198
117,118,118,Charlie Wi,90,13.11,40,305
118,119,119,Jerry Kelly,101,13.1,38,290
119,120,120,Kirk Triplett,77,13.06,32,245
120,121,121,Bob Tway,103,13.02,44,338
121,T122,T122,Tom Byrum,50,13.01,19,146
122,T122,T122,Bubba Dickerson,51,13.01,19,146
123,T124,T124,Kent Jones,97,13.0,42,323
124,T124,T124,Vijay Singh,102,13.0,39,300
125,T126,T126,Steve Allan,63,12.99,23,177
126,T126,T126,Will MacKenzie,100,12.99,40,308
127,T128,T128,Jeff Gove,103,12.98,44,339
128,T128,T128,Duffy Waldorf,69,12.98,27,208
129,130,130,Phil Mickelson,73,12.94,22,170
130,131,131,Zach Johnson,76,12.92,27,209
131,T132,T132,Craig Bowden,78,12.88,30,233
132,T132,T132,Glen Day,85,12.88,34,264
133,T134,T134,Craig Barlow,52,12.82,20,156
134,T134,T134,Ernie Els,59,12.82,20,156
135,T134,T134,Stephen Leaney,82,12.82,35,273
136,T137,T137,Jason Gore,86,12.81,36,281
137,T137,T137,Johnson Wagner,97,12.81,41,320
138,139,139,John Daly,59,12.79,22,172
139,140,140,Pat Perez,84,12.75,32,251
140,141,141,John Senden,97,12.69,41,323
141,T142,T142,J.P. Hayes,89,12.68,36,284
142,T142,T142,Troy Matteson,87,12.68,35,276
143,144,144,Tim Petrovic,106,12.61,44,349
144,145,145,Jeff Sluman,60,12.57,22,175
145,T146,T146,Stuart Appleby,74,12.56,27,215
146,T146,T146,Darron Stiles,65,12.56,25,199
147,148,148,Mark Hensby,81,12.55,31,247
148,149,149,Eric Axley,107,12.53,47,375
149,150,150,Michael Putnam,96,12.46,35,281
150,151,151,Brian Bateman,55,12.42,20,161
151,T152,T152,Matt Kuchar,85,12.41,35,282
152,T152,T152,Corey Pavin,81,12.41,34,274
153,154,154,Jeff Overton,60,12.28,21,171
154,155,155,Jarrod Lyle,77,12.23,28,229
155,156,156,Craig Kanada,109,12.16,40,329
156,157,157,Steve Wheatcroft,73,12.08,25,207
157,T158,T158,Paul Gow,70,12.06,24,199
158,T158,T158,Bill Haas,93,12.06,34,282
159,160,160,Robert Allenby,90,12.05,37,307
160,161,161,J.J. Henry,86,12.04,33,274
161,162,162,Steve Lowery,74,12.02,31,258
162,T163,T163,Robert Garrigus,95,11.93,34,285
163,T163,T163,Trevor Immelman,74,11.93,26,218
164,165,165,John Rollins,102,11.92,36,302
165,166,166,Jonathan Byrd,73,11.89,27,227
166,167,167,Nick Watney,87,11.86,30,253
167,168,168,Billy Mayfair,98,11.81,34,288
168,169,169,Bryce Molder,56,11.73,21,179
169,170,170,Daisuke Maruyama,86,11.7,33,282
170,171,171,Retief Goosen,50,11.28,15,133
171,172,172,D.J. Trahan,99,11.18,37,331
172,T173,T173,Mathias Grönberg,95,11.15,34,305
173,T173,T173,Tripp Isenhour,86,11.15,31,278
