,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Mark Brooks,53,"37' 3""",41,1528.5829999999999,+5.00
1,2,2,Joey Sindelar,75,"37' 4""",95,3544.0,+15.00
2,3,3,Brett Wetterich,88,"37' 6""",164,6153.4169999999995,-4.00
3,T4,T4,Jeff Sluman,60,"37' 8""",67,2526.333,+9.00
4,T4,T4,Bubba Watson,80,"37' 8""",142,5347.6669999999995,+6.00
5,6,6,Tiger Woods,63,"37' 11""",102,3865.25,-5.00
6,7,7,Jeff Brehaut,59,"38' 9""",78,3019.667,+7.00
7,8,8,Robert Garrigus,95,"38' 10""",214,8310.25,+12.00
8,9,9,Vijay Singh,102,"39' 0""",171,6666.5,+10.00
9,10,10,Fred Funk,65,"39' 5""",58,2286.0,+17.00
10,11,11,Steve Flesch,100,"39' 7""",148,5854.1669999999995,+21.00
11,12,12,Daniel Chopra,106,"39' 8""",209,8293.833,+14.00
12,13,13,Greg Owen,81,"39' 11""",138,5508.3330000000005,+35.00
13,T14,T14,Davis Love III,66,"40' 0""",84,3362.25,+3.00
14,T14,T14,Pat Perez,84,"40' 0""",123,4921.75,+12.00
15,16,16,Charles Warren,101,"40' 2""",112,4502.5,+25.00
16,17,17,Ted Purdy,102,"40' 3""",155,6241.8330000000005,+10.00
17,18,18,Craig Barlow,52,"40' 6""",93,3763.583,+17.00
18,19,19,John Daly,59,"40' 7""",132,5360.6669999999995,+3.00
19,20,20,Chris Riley,59,"40' 9""",86,3502.667,+5.00
20,T21,T21,Steve Allan,63,"40' 10""",115,4692.5,+8.00
21,T21,T21,J.B. Holmes,71,"40' 10""",109,4451.083,+7.00
22,T21,T21,Phil Mickelson,73,"40' 10""",98,4005.083,E
23,T24,T24,Craig Bowden,78,"40' 11""",97,3971.333,+11.00
24,T24,T24,Bob Heintz,85,"40' 11""",106,4334.917,+14.00
25,T24,T24,Jaco Van Zyl,51,"40' 11""",63,2576.583,+12.00
26,T27,T27,Sergio Garcia,68,"41' 1""",103,4230.833,+10.00
27,T27,T27,Charley Hoffman,97,"41' 1""",157,6444.6669999999995,+21.00
28,T27,T27,Bob Tway,103,"41' 1""",111,4562.583,+7.00
