,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Joey Sindelar,75,20.1,67405.0,93
1,2,2,Brett Wetterich,88,20.3,120592.0,165
2,3,3,Robert Allenby,90,20.5,121941.0,165
3,4,4,Tiger Woods,63,20.6,74017.0,100
4,5,5,Darron Stiles,65,21.5,61054.0,79
5,6,6,Joe Durant,88,21.6,105534.0,136
6,T7,T7,Craig Barlow,52,21.9,65290.0,83
7,T7,T7,J.B. Holmes,71,21.9,153865.0,195
8,9,9,Camilo Villegas,82,22.0,121228.0,153
9,T10,T10,Bill Haas,93,22.2,168184.0,210
10,T10,T10,Phil Mickelson,73,22.2,108055.0,135
11,T12,T12,Davis Love III,66,22.4,88038.0,109
12,T12,T12,Brett Quigley,79,22.4,95236.0,118
13,T14,T14,Chad Campbell,96,22.5,97003.0,120
14,T14,T14,Ted Purdy,102,22.5,142698.0,176
15,16,16,Tommy Armour III,81,22.6,77983.0,96
16,T17,T17,Matt Kuchar,85,22.7,74266.0,91
17,T17,T17,Bubba Watson,80,22.7,143110.0,175
18,T19,T19,Steve Allan,63,22.8,105750.0,129
19,T19,T19,Charles Howell III,89,22.8,113410.0,138
20,T21,T21,Lucas Glover,98,22.9,149224.0,181
21,T21,T21,Retief Goosen,50,22.9,54441.0,66
22,T21,T21,Charley Hoffman,97,22.9,148701.0,180
23,T24,T24,Harrison Frazar,88,23.1,134691.0,162
24,T24,T24,Will MacKenzie,100,23.1,151030.0,182
25,T26,T26,D.J. Brigman,67,23.2,76972.0,92
26,T26,T26,Mark Calcavecchia,93,23.2,125851.0,151
27,T26,T26,Mathias Grönberg,95,23.2,181404.0,217
28,T26,T26,Steve Marino,106,23.2,169462.0,203
29,T26,T26,Sean O'Hair,98,23.2,162156.0,194
30,T26,T26,Joe Ogilvie,102,23.2,143062.0,171
31,T26,T26,Ryan Palmer,91,23.2,129189.0,155
32,T26,T26,Chris Tidland,59,23.2,82633.0,99
33,T26,T26,Nick Watney,87,23.2,136168.0,163
