,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Tiger Woods,63,"27' 6""",567,15588.25,-104.0
1,2,2,Steve Stricker,81,"28' 7""",905,25861.5,-122.0
2,3,3,Ernie Els,59,"29' 1""",562,16322.5,-65.0
3,4,4,Heath Slocum,101,"29' 2""",1358,39629.75,-108.0
4,5,5,Jay Williamson,50,"29' 4""",686,20102.0,-59.0
5,T6,T6,Tim Clark,66,"29' 5""",761,22394.833,-95.0
6,T6,T6,Justin Rose,63,"29' 5""",538,15848.417,-54.0
7,T6,T6,Vaughn Taylor,91,"29' 5""",990,29132.083,-62.0
8,9,9,Jim Furyk,84,"29' 6""",986,29083.0,-106.0
9,10,10,Ryan Palmer,91,"29' 7""",1062,31458.917,-64.0
10,11,11,Tom Lehman,62,"29' 8""",682,20229.333,-68.0
11,T12,T12,Freddie Jacobson,70,"29' 9""",912,27124.5,-100.0
12,T12,T12,Darron Stiles,65,"29' 9""",761,22612.417,-14.0
13,T14,T14,Robert Allenby,90,"29' 10""",981,29282.833,-71.0
14,T14,T14,Brandt Snedeker,105,"29' 10""",1139,34000.833,-89.0
15,T16,T16,Chad Campbell,96,"29' 11""",992,29690.583,-43.0
16,T16,T16,Alex Cejka,80,"29' 11""",1024,30633.833,-98.0
17,18,18,Joey Sindelar,75,"30' 0""",947,28426.417,-17.0
18,T19,T19,Tommy Armour III,81,"30' 2""",1004,30262.167,-60.0
19,T19,T19,Justin Leonard,95,"30' 2""",1183,35711.333,-72.0
20,T19,T19,Kenny Perry,83,"30' 2""",1038,31296.333,-68.0
21,T22,T22,Robert Garrigus,95,"30' 3""",1027,31084.25,-55.0
22,T22,T22,Matt Kuchar,85,"30' 3""",979,29615.0,-80.0
23,T22,T22,Rocco Mediate,72,"30' 3""",932,28231.083,-58.0
24,T22,T22,Geoff Ogilvy,84,"30' 3""",847,25651.667,-57.0
25,T22,T22,Camilo Villegas,82,"30' 3""",899,27223.583,-84.0
26,T27,T27,Mark Calcavecchia,93,"30' 4""",980,29740.0,-77.0
27,T27,T27,Joe Durant,88,"30' 4""",1069,32428.75,-2.0
28,T27,T27,Hunter Mahan,91,"30' 4""",1022,31008.667,-67.0
29,T30,T30,Robert Gamez,88,"30' 5""",1075,32654.75,-43.0
30,T30,T30,Greg Owen,81,"30' 5""",928,28247.583,-9.0
31,T32,T32,Woody Austin,95,"30' 6""",1128,34381.917,-61.0
32,T32,T32,Fred Funk,65,"30' 6""",797,24276.333,-18.0
33,T32,T32,Brian Gay,107,"30' 6""",1423,43423.333,-92.0
34,T35,T35,Stephen Ames,81,"30' 7""",857,26222.667,-49.0
35,T35,T35,Boo Weekley,101,"30' 7""",1061,32452.75,-55.0
36,T37,T37,Billy Andrade,88,"30' 8""",1017,31164.417,-46.0
37,T37,T37,Stewart Cink,91,"30' 8""",946,28985.5,-75.0
38,T37,T37,Jerry Kelly,101,"30' 8""",1060,32474.417,-69.0
39,T37,T37,Phil Mickelson,73,"30' 8""",650,19948.5,-89.0
40,T37,T37,Kirk Triplett,77,"30' 8""",966,29610.333,-39.0
41,T42,T42,Bart Bryant,87,"30' 9""",1054,32366.667,-69.0
42,T42,T42,Brendon de Jonge,76,"30' 9""",851,26176.75,-59.0
43,T42,T42,Craig Kanada,109,"30' 9""",1305,40172.75,-67.0
44,T42,T42,Stephen Leaney,82,"30' 9""",1028,31619.833,-72.0
45,T42,T42,Adam Scott,69,"30' 9""",715,21957.083,-88.0
46,T42,T42,Jeff Sluman,60,"30' 9""",571,17578.583,-13.0
47,T42,T42,David Toms,80,"30' 9""",865,26565.583,-70.0
48,T49,T49,Michael Allen,74,"30' 10""",876,27027.5,-74.0
49,T49,T49,Jason Bohn,57,"30' 10""",722,22261.417,-34.0
50,T49,T49,Ken Duke,112,"30' 10""",1301,40086.333,-83.0
51,T49,T49,Sergio Garcia,68,"30' 10""",687,21207.0,-81.0
52,T49,T49,Zach Johnson,76,"30' 10""",885,27299.667,-91.0
53,T49,T49,Michael Sim,52,"30' 10""",669,20654.667,-59.0
54,T55,T55,Gavin Coles,87,"30' 11""",1101,34005.667,-27.0
55,T55,T55,Steve Lowery,74,"30' 11""",916,28332.833,-71.0
56,T55,T55,Billy Mayfair,98,"30' 11""",1208,37309.167,-75.0
57,T55,T55,Arron Oberholser,69,"30' 11""",705,21806.833,-49.0
58,T55,T55,Ted Purdy,102,"30' 11""",1203,37155.833,-53.0
59,T55,T55,Brett Quigley,79,"30' 11""",798,24657.917,-39.0
60,T55,T55,Scott Verplank,82,"30' 11""",851,26332.0,-69.0
61,T62,T62,Craig Barlow,52,"31' 0""",584,18093.667,-27.0
62,T62,T62,Retief Goosen,50,"31' 0""",430,13339.333,-6.0
63,T62,T62,Bob Heintz,85,"31' 0""",983,30489.917,-59.0
64,T62,T62,Cliff Kresge,107,"31' 0""",1333,41362.0,-75.0
65,T62,T62,Chris Stroud,66,"31' 0""",756,23446.833,-59.0
66,T67,T67,Briny Baird,115,"31' 1""",1466,45562.75,-118.0
67,T67,T67,Padraig Harrington,64,"31' 1""",580,18007.917,-24.0
68,T67,T67,Jeff Maggert,79,"31' 1""",1057,32838.333,-76.0
69,T70,T70,Ryan Armour,107,"31' 2""",1326,41278.583,-62.0
70,T70,T70,Jeff Gove,103,"31' 2""",1306,40748.5,-51.0
71,T70,T70,Jeff Quinney,95,"31' 2""",1199,37346.833,-52.0
72,T73,T73,D.J. Brigman,67,"31' 3""",708,22132.667,-20.0
73,T73,T73,Daniel Chopra,106,"31' 3""",1170,36606.0,-83.0
74,T73,T73,Chris DiMarco,79,"31' 3""",819,25576.667,-24.0
75,T73,T73,John Mallinger,96,"31' 3""",1198,37448.083,-40.0
76,T73,T73,Ryan Moore,92,"31' 3""",1007,31474.667,-64.0
77,T73,T73,Bo Van Pelt,104,"31' 3""",1289,40252.583,-113.0
78,T73,T73,Brett Wetterich,88,"31' 3""",894,27954.5,-43.0
79,T80,T80,Lee Janzen,66,"31' 4""",684,21452.0,-23.0
80,T80,T80,Davis Love III,66,"31' 4""",674,21129.5,-20.0
