,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Craig Bowden,78,"39' 7""",92659,195,7721.5830000000005,19.0
1,2,2,Bob Heintz,85,"39' 8""",113360,238,9446.667,33.0
2,3,3,Brett Wetterich,88,"39' 9""",133205,279,11100.417,22.0
3,4,4,Joey Sindelar,75,"39' 10""",94247,197,7853.9169999999995,28.0
4,T5,T5,Mark Brooks,53,"40' 0""",48048,100,4004.0,25.0
5,T5,T5,Vijay Singh,102,"40' 0""",152521,318,12710.083,26.0
6,7,7,Ken Duke,112,"40' 2""",146942,305,12245.167,1.0
7,T8,T8,Luke Donald,69,"40' 6""",68492,141,5707.6669999999995,26.0
8,T8,T8,Steve Flesch,100,"40' 6""",139865,288,11655.417,41.0
9,T10,T10,Tim Clark,66,"40' 7""",70655,145,5887.9169999999995,23.0
10,T10,T10,Ernie Els,59,"40' 7""",87245,179,7270.4169999999995,9.0
11,12,12,Kyle Reifers,71,"40' 8""",106980,219,8915.0,45.0
12,13,13,Daniel Chopra,106,"40' 10""",196643,401,16386.917,27.0
13,T14,T14,Tommy Armour III,81,"40' 11""",84956,173,7079.6669999999995,15.0
14,T14,T14,Tiger Woods,63,"40' 11""",81032,165,6752.6669999999995,-11.0
15,T16,T16,J.B. Holmes,71,"41' 0""",123504,251,10292.0,23.0
16,T16,T16,Pat Perez,84,"41' 0""",118526,241,9877.167,36.0
17,T16,T16,Jason Schultz,63,"41' 0""",92015,187,7667.9169999999995,29.0
18,T16,T16,D.J. Trahan,99,"41' 0""",142236,289,11853.0,46.0
19,T20,T20,Jeff Brehaut,59,"41' 3""",74789,151,6232.4169999999995,30.0
20,T20,T20,Heath Slocum,101,"41' 3""",121682,246,10140.167,19.0
21,T22,T22,Greg Owen,81,"41' 4""",117555,237,9796.25,52.0
22,T22,T22,Jaco Van Zyl,51,"41' 4""",72382,146,6031.8330000000005,32.0
23,24,24,Sergio Garcia,68,"41' 5""",117319,236,9776.583,14.0
24,25,25,Ted Purdy,102,"41' 6""",135373,272,11281.083,32.0
25,26,26,Jeff Sluman,60,"41' 7""",70858,142,5904.8330000000005,36.0
26,27,27,Craig Barlow,52,"41' 8""",80528,161,6710.6669999999995,29.0
27,T28,T28,Michael Boyd,61,"41' 9""",73677,147,6139.75,20.0
28,T28,T28,David Toms,80,"41' 9""",100718,201,8393.167,18.0
29,30,30,Bob Estes,88,"41' 10""",131075,261,10922.917,31.0
30,T31,T31,Robert Garrigus,95,"41' 11""",191022,380,15918.5,20.0
31,T31,T31,Kenny Perry,83,"41' 11""",118152,235,9846.0,25.0
32,T31,T31,John Rollins,102,"41' 11""",135328,269,11277.333,29.0
33,T34,T34,Joe Durant,88,"42' 0""",98238,195,8186.5,23.0
34,T34,T34,John Senden,97,"42' 0""",139510,277,11625.833,22.0
35,T34,T34,Bob Tway,103,"42' 0""",155594,309,12966.167,20.0
36,T34,T34,Charles Warren,101,"42' 0""",136970,272,11414.167,56.0
37,T38,T38,Michael Allen,74,"42' 1""",102506,203,8542.167,46.0
38,T38,T38,David Branshaw,83,"42' 1""",126791,251,10565.917,54.0
39,T40,T40,Padraig Harrington,64,"42' 2""",91070,180,7589.1669999999995,-5.0
40,T40,T40,Bubba Watson,80,"42' 2""",139051,275,11587.583,18.0
41,T42,T42,Steve Allan,63,"42' 3""",103509,204,8625.75,12.0
42,T42,T42,Cameron Beckman,96,"42' 3""",125746,248,10478.833,27.0
43,T44,T44,José Coceres,50,"42' 4""",48809,96,4067.417,23.0
44,T44,T44,Kevin Stadler,95,"42' 4""",148255,292,12354.583,43.0
45,T46,T46,Michael Putnam,96,"42' 5""",149048,293,12420.667,36.0
46,T46,T46,Chris Riley,59,"42' 5""",76920,151,6410.0,20.0
47,T48,T48,Briny Baird,115,"42' 6""",160203,314,13350.25,48.0
48,T48,T48,George McNeill,95,"42' 6""",143773,282,11981.083,30.0
