,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,Padraig Harrington,64,23.89,43,180
1,2,2,Tiger Woods,63,21.21,35,165
2,3,3,Bubba Watson,80,21.09,58,275
3,4,4,John Daly,59,19.92,52,261
4,5,5,Robert Garrigus,95,19.74,75,380
5,6,6,Ernie Els,59,19.55,35,179
6,7,7,J.B. Holmes,71,19.12,48,251
7,8,8,Jesper Parnevik,88,18.82,51,271
8,9,9,Vaughn Taylor,91,18.72,44,235
9,10,10,Ken Duke,112,18.69,57,305
10,11,11,Steve Allan,63,18.63,38,204
11,12,12,Ryan Moore,92,18.4,46,250
12,13,13,Tag Ridings,52,18.33,33,180
13,14,14,Brett Wetterich,88,18.28,51,279
14,15,15,Robert Allenby,90,17.99,52,289
15,16,16,Bubba Dickerson,51,17.86,30,168
16,17,17,Geoff Ogilvy,84,17.62,40,227
17,18,18,Craig Bowden,78,17.44,34,195
18,19,19,Scott Verplank,82,17.28,28,162
19,20,20,Joey Sindelar,75,17.26,34,197
20,21,21,Anthony Kim,93,17.19,49,285
21,22,22,Charley Hoffman,97,17.16,52,303
22,23,23,Kevin Stadler,95,16.78,49,292
23,24,24,Daniel Chopra,106,16.71,67,401
24,25,25,Stewart Cink,91,16.67,44,264
25,26,26,Ted Purdy,102,16.54,45,272
26,27,27,Sergio Garcia,68,16.53,39,236
27,28,28,Harrison Frazar,88,16.45,50,304
28,29,29,Lucas Glover,98,16.33,40,245
29,30,30,Marco Dawson,73,16.25,39,240
30,31,31,Jeff Overton,60,16.24,32,197
31,32,32,Rich Beem,89,16.18,39,241
32,T33,T33,Aaron Baddeley,83,16.15,42,260
33,T33,T33,Craig Barlow,52,16.15,26,161
34,T33,T33,Adam Scott,69,16.15,31,192
35,36,36,José María Olazábal,52,16.13,25,155
36,37,37,Bob Estes,88,16.09,42,261
37,38,38,John Mallinger,96,16.07,45,280
38,39,39,Carl Pettersson,111,16.02,54,337
39,40,40,Jonathan Byrd,73,15.96,34,213
40,41,41,Mark Calcavecchia,93,15.9,38,239
41,42,42,Brian Davis,101,15.86,36,227
42,43,43,Peter Lonard,85,15.84,35,221
43,44,44,Kenny Perry,83,15.74,37,235
44,T45,T45,Jeff Maggert,79,15.6,39,250
45,T45,T45,George McNeill,95,15.6,44,282
