,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Brett Wetterich,88,-.142
1,2,2,Sean O'Hair,98,-.131
2,3,3,Adam Scott,69,-.124
3,4,4,John Daly,59,-.119
4,5,5,Sergio Garcia,68,-.118
5,6,6,Henrik Stenson,52,-.115
6,7,7,Lucas Glover,98,-.105
7,T8,T8,Robert Garrigus,95,-.098
8,T8,T8,Heath Slocum,101,-.098
9,10,10,Padraig Harrington,64,-.085
10,11,11,Michael Allen,74,-.082
11,12,12,Tiger Woods,63,-.078
12,13,13,Steve Lowery,74,-.077
13,14,14,Duffy Waldorf,69,-.071
14,15,15,Cliff Kresge,107,-.070
15,16,16,Ernie Els,59,-.068
16,17,17,Eric Axley,107,-.063
17,18,18,Daniel Chopra,106,-.062
18,19,19,Charles Howell III,89,-.058
19,20,20,Ken Duke,112,-.056
20,T21,T21,Alex Cejka,80,-.055
21,T21,T21,Retief Goosen,50,-.055
22,T21,T21,Anthony Kim,93,-.055
23,24,24,Tom Lehman,62,-.053
24,25,25,Bill Haas,93,-.048
25,26,26,Will MacKenzie,100,-.047
26,27,27,Stewart Cink,91,-.046
27,28,28,Luke Donald,69,-.045
28,29,29,Zach Johnson,76,-.042
29,30,30,Carl Pettersson,111,-.041
30,31,31,Pat Perez,84,-.040
31,32,32,Justin Rose,63,-.038
32,T33,T33,Hunter Mahan,91,-.037
33,T33,T33,Michael Sim,52,-.037
34,35,35,Kevin Na,84,-.028
35,T36,T36,Robert Allenby,90,-.027
36,T36,T36,Jim Furyk,84,-.027
37,T36,T36,Vaughn Taylor,91,-.027
38,39,39,Scott Gutschewski,67,-.026
39,40,40,Joe Ogilvie,102,-.025
40,41,41,Arron Oberholser,69,-.024
41,T42,T42,Shigeki Maruyama,84,-.022
42,T42,T42,Vijay Singh,102,-.022
43,T44,T44,Phil Mickelson,73,-.020
44,T44,T44,Camilo Villegas,82,-.020
45,46,46,Tag Ridings,52,-.018
46,47,47,Ryan Palmer,91,-.017
47,48,48,Cameron Beckman,96,-.016
48,49,49,Paul Stankowski,52,-.015
49,T50,T50,Brian Davis,101,-.014
50,T50,T50,Tom Pernice Jr.,104,-.014
51,T50,T50,Jay Williamson,50,-.014
52,53,53,Jeff Gove,103,-.013
53,54,54,Stuart Appleby,74,-.012
54,55,55,Trevor Immelman,74,-.010
55,T56,T56,Steve Stricker,81,-.009
56,T56,T56,Dean Wilson,92,-.009
57,58,58,Stephen Leaney,82,-.008
58,59,59,Tim Petrovic,106,-.007
59,T60,T60,Tim Clark,66,E
60,T60,T60,Chris Couch,76,E
61,T60,T60,Mathias Grönberg,95,E
62,T60,T60,J.P. Hayes,89,E
63,T60,T60,Billy Mayfair,98,E
64,T60,T60,John Merrick,92,E
65,T60,T60,Kenny Perry,83,E
66,T60,T60,Kirk Triplett,77,E
67,T68,T68,Mark Calcavecchia,93,+.008
68,T68,T68,Brandt Snedeker,105,+.008
69,T70,T70,Aaron Baddeley,83,+.009
