,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Stewart Cink,91,241,AT&T Classic,4,6
1,2,2,Peter Lonard,85,229,THE PLAYERS Championship,3,2
2,T3,3,Ryan Moore,92,228,PODS Championship,1,17
3,T3,4,Jeff Overton,60,228,Travelers Championship,1,13
4,T5,5,Hunter Mahan,91,227,THE PLAYERS Championship,2,11
5,T5,6,Michael Putnam,96,227,Wyndham Championship,1,17
6,7,7,Nathan Green,103,224,Verizon Heritage,2,2
7,8,8,Dean Wilson,92,221,Arnold Palmer Invitational presented by MasterCard,1,2
8,9,9,Eric Axley,107,218,Ginn sur Mer Classic at Tesoro,1,17
9,10,10,Alex Cejka,80,211,Zurich Classic of New Orleans,3,12
10,11,11,Jim Furyk,84,210,Canadian Open presented by Franklin Templeton Investments,4,4
11,12,12,José Coceres,50,209,Reno-Tahoe Open,1,7
12,13,13,Parker McLachlin,83,206,Buick Invitational,1,3
13,14,14,Justin Leonard,95,204,Ginn sur Mer Classic at Tesoro,2,17
14,15,15,Ken Duke,112,203,Viking Classic,4,14
15,T16,16,Billy Mayfair,98,202,Wyndham Championship,3,8
16,T16,17,Craig Perks,28,202,Travelers Championship,1,8
17,18,18,Jerry Kelly,101,198,Verizon Heritage,3,4
18,19,19,K.J. Choi,87,197,PODS Championship,1,3
19,20,20,Kevin Stadler,95,196,AT&T National,3,13
20,21,21,Daniel Chopra,106,193,Zurich Classic of New Orleans,4,17
21,22,14,Justin Leonard,95,192,Canadian Open presented by Franklin Templeton Investments,3,5
22,T23,23,Brett Quigley,79,191,the Memorial Tournament presented by Morgan Stanley,3,13
23,T23,24,Bubba Dickerson,51,191,Buick Open,2,8
24,T23,19,K.J. Choi,87,191,the Memorial Tournament presented by Morgan Stanley,1,10
25,T26,26,Matt Kuchar,85,190,Zurich Classic of New Orleans,4,3
26,T26,27,Rod Pampling,92,190,Crowne Plaza Invitational at Colonial,4,16
27,28,28,Joey Sindelar,75,189,Wyndham Championship,1,16
28,29,26,Matt Kuchar,85,187,Children's Miracle Network Classic presented by Wal-Mart,3,16
29,T30,27,Rod Pampling,92,185,FBR Open,3,8
30,T30,31,Shaun Micheel,91,185,Turning Stone Resort Championship,3,16
31,T30,5,Hunter Mahan,91,185,Canadian Open presented by Franklin Templeton Investments,1,18
32,33,33,Cliff Kresge,107,184,PODS Championship,1,6
33,T34,34,Heath Slocum,101,179,FBR Open,4,4
34,T34,35,Andrew Buckle,77,179,Fry's Electronics Open,1,8
35,36,36,Jeff Quinney,95,178,Bob Hope Chrysler Classic,5,17
36,37,37,Rich Beem,89,177,Nissan Open,3,14
37,T38,38,Chris Couch,76,176,Mercedes-Benz Championship,4,7
38,T38,39,Ryuji Imada,104,176,Sony Open in Hawaii,1,2
39,40,40,Bo Van Pelt,104,173,Travelers Championship,4,16
40,41,41,Brad Faxon,46,172,Arnold Palmer Invitational presented by MasterCard,1,1
41,42,42,Paul Gow,70,171,Fry's Electronics Open,2,1
42,43,43,Craig Kanada,109,170,Sony Open in Hawaii,2,1
43,44,44,Ryan Palmer,91,169,Bob Hope Chrysler Classic,2,17
44,T45,45,Tom Pernice Jr.,104,168,FBR Open,4,1
45,T45,46,Boo Weekley,101,168,Viking Classic,2,12
46,47,47,Retief Goosen,50,165,Nissan Open,2,16
47,48,48,Brian Gay,107,164,Crowne Plaza Invitational at Colonial,1,8
48,T49,49,Tom Lehman,62,163,THE PLAYERS Championship,2,15
49,T49,50,Bernhard Langer,47,163,Crowne Plaza Invitational at Colonial,3,15
50,T51,39,Ryuji Imada,104,162,Zurich Classic of New Orleans,2,10
51,T51,52,Vijay Singh,102,162,Wachovia Championship,3,12
52,53,53,Mike Weir,82,161,Nissan Open,2,3
53,54,54,Prom Meesawat,4,160,World Golf Championships-CA Championship,2,11
54,T55,55,Gavin Coles,87,158,AT&T Classic,4,17
55,T55,48,Brian Gay,107,158,Shell Houston Open,2,11
56,57,39,Ryuji Imada,104,156,the Memorial Tournament presented by Morgan Stanley,4,18
57,T58,27,Rod Pampling,92,155,World Golf Championships-CA Championship,2,6
58,T58,15,Ken Duke,112,155,THE PLAYERS Championship,4,14
59,T58,60,Colin Montgomerie,26,155,World Golf Championships-Bridgestone Invitational,1,17
60,61,61,Nick Flanagan,12,154,Valero Texas Open,1,10
61,62,2,Peter Lonard,85,153,Zurich Classic of New Orleans,2,6
62,63,63,Zach Johnson,76,152,Arnold Palmer Invitational presented by MasterCard,2,8
63,64,64,Brian Davis,101,151,Valero Texas Open,4,15
64,65,65,Lucas Glover,98,148,Children's Miracle Network Classic presented by Wal-Mart,2,1
65,66,66,Arron Oberholser,69,146,Wachovia Championship,3,3
66,T67,67,Scott Verplank,82,141,THE TOUR Championship presented by Coca-Cola,1,7
67,T67,68,Jim St. Pierre,2,141,Travelers Championship,1,12
68,T69,40,Bo Van Pelt,104,140,Travelers Championship,3,12
69,T69,70,Dicky Pride,71,140,Canadian Open presented by Franklin Templeton Investments,3,11
70,71,71,Justin Rose,63,139,The Barclays,3,14
71,T72,72,Darron Stiles,65,138,Zurich Classic of New Orleans,4,11
72,T72,73,Fred Funk,65,138,AT&T National,1,12
73,T74,74,Chris DiMarco,79,137,FBR Open,1,10
74,T74,75,Brandt Snedeker,105,137,Canadian Open presented by Franklin Templeton Investments,1,12
75,76,64,Brian Davis,101,135,Ginn sur Mer Classic at Tesoro,3,13
76,T77,77,Mark Wilson,87,134,BMW Championship,4,4
77,T77,78,Bob Estes,88,134,AT&T Classic,2,11
78,T77,79,J.J. Henry,86,134,AT&T Classic,2,11
79,T80,80,Bill Haas,93,132,Travelers Championship,3,3
80,T80,81,Nick Watney,87,132,Zurich Classic of New Orleans,4,5
81,T82,82,Kenny Perry,83,131,the Memorial Tournament presented by Morgan Stanley,4,6
82,T82,83,Lee Janzen,66,131,Zurich Classic of New Orleans,4,10
83,84,84,Briny Baird,115,129,Zurich Classic of New Orleans,1,10
84,85,21,Daniel Chopra,106,128,Wyndham Championship,1,14
85,T86,72,Darron Stiles,65,126,Stanford St. Jude Championship,4,1
86,T86,87,Jeff Brehaut,59,126,U.S. Bank Championship in Milwaukee,2,10
87,T86,88,Daisuke Maruyama,86,126,AT&T Classic,4,5
88,T89,33,Cliff Kresge,107,125,FBR Open,2,10
89,T89,90,Kent Jones,97,125,Fry's Electronics Open,2,2
90,T89,83,Lee Janzen,66,125,FBR Open,2,1
91,T89,92,Joel Edwards,8,125,Reno-Tahoe Open,1,13
92,T93,2,Peter Lonard,85,123,PODS Championship,4,5
93,T93,94,Steve Stricker,81,123,Shell Houston Open,4,1
94,95,34,Heath Slocum,101,121,AT&T National,2,1
95,T96,96,John Huston,46,119,Reno-Tahoe Open,2,18
96,T96,44,Ryan Palmer,91,119,Ginn sur Mer Classic at Tesoro,2,3
97,T96,98,John Senden,97,119,Buick Open,1,18
98,T96,65,Lucas Glover,98,119,John Deere Classic,4,8
99,T96,100,Joe Ogilvie,102,119,U.S. Bank Championship in Milwaukee,4,16
100,T101,43,Craig Kanada,109,118,Wachovia Championship,2,10
101,T101,102,Shigeki Maruyama,84,118,EDS Byron Nelson Championship,3,1
102,103,82,Kenny Perry,83,116,THE PLAYERS Championship,2,4
103,T104,104,Mathew Goggin,97,115,Wyndham Championship,4,9
104,T104,105,Frank Lickliter II,95,115,Turning Stone Resort Championship,1,4
105,T104,106,Olin Browne,44,115,Travelers Championship,2,12
106,107,1,Stewart Cink,91,114,Buick Invitational,2,18
107,108,108,Steve Lowery,74,113,Ginn sur Mer Classic at Tesoro,2,9
108,T109,94,Steve Stricker,81,112,BMW Championship,3,8
109,T109,110,Charles Warren,101,112,Turning Stone Resort Championship,2,12
110,T109,112,Jeff Gove,103,112,Ginn sur Mer Classic at Tesoro,2,18
111,T109,75,Brandt Snedeker,105,112,AT&T National,2,9
112,T113,113,Ian Poulter,63,111,EDS Byron Nelson Championship,3,11
113,T113,33,Cliff Kresge,107,111,Arnold Palmer Invitational presented by MasterCard,3,16
114,T115,115,Jim Rutledge,59,110,Bob Hope Chrysler Classic,4,13
115,T115,116,Corey Pavin,81,110,AT&T National,4,9
116,117,9,Eric Axley,107,108,Wachovia Championship,2,11
117,118,28,Joey Sindelar,75,107,Arnold Palmer Invitational presented by MasterCard,1,3
118,T119,15,Ken Duke,112,104,the Memorial Tournament presented by Morgan Stanley,3,14
119,T119,120,Thongchai Jaidee,10,104,World Golf Championships-CA Championship,3,2
120,121,45,Tom Pernice Jr.,104,103,AT&T Pebble Beach National Pro-Am,1,4
121,122,31,Shaun Micheel,91,101,EDS Byron Nelson Championship,3,12
122,T123,33,Cliff Kresge,107,100,EDS Byron Nelson Championship,3,12
123,T123,124,Kevin Na,84,100,Ginn sur Mer Classic at Tesoro,1,1
124,T123,125,Steve Marino,106,100,Buick Open,2,5
125,T123,126,Jarrod Lyle,77,100,Stanford St. Jude Championship,1,6
126,T127,112,Jeff Gove,103,99,Turning Stone Resort Championship,1,18
127,T127,128,Ted Purdy,102,99,FBR Open,3,15
128,T127,12,José Coceres,50,99,the Memorial Tournament presented by Morgan Stanley,1,12
129,T127,130,Vance Veazey,27,99,Stanford St. Jude Championship,1,15
130,131,131,Richard Johnson,93,97,The Honda Classic,1,18
131,T132,132,John Rollins,102,96,PODS Championship,4,10
132,T132,133,Tim Petrovic,106,96,FBR Open,3,5
133,T134,23,Brett Quigley,79,95,the Memorial Tournament presented by Morgan Stanley,4,7
134,T134,77,Mark Wilson,87,95,Crowne Plaza Invitational at Colonial,1,9
135,T134,136,Steve Flesch,100,95,AT&T Pebble Beach National Pro-Am,2,6
136,137,137,Brendon de Jonge,76,94,U.S. Bank Championship in Milwaukee,1,2
137,T138,138,Bob May,49,93,Valero Texas Open,3,8
138,T138,82,Kenny Perry,83,93,Buick Open,1,4
139,T140,19,K.J. Choi,87,92,The Barclays,2,7
140,T140,141,Tommy Armour III,81,92,Turning Stone Resort Championship,4,18
141,T140,142,Ryan Armour,107,92,Fry's Electronics Open,2,11
142,143,143,Craig Barlow,52,89,Viking Classic,1,18
143,144,144,Anthony Kim,93,88,the Memorial Tournament presented by Morgan Stanley,2,6
144,T145,145,Ernie Els,59,86,THE TOUR Championship presented by Coca-Cola,3,12
145,T145,131,Richard Johnson,93,86,Nissan Open,4,11
146,T147,147,Tom Byrum,50,85,Valero Texas Open,4,8
147,T147,16,Billy Mayfair,98,85,FBR Open,2,15
148,T147,36,Jeff Quinney,95,85,Fry's Electronics Open,2,18
149,T150,18,Jerry Kelly,101,84,the Memorial Tournament presented by Morgan Stanley,3,14
150,T150,151,David Toms,80,84,Travelers Championship,2,2
151,T150,39,Ryuji Imada,104,84,U.S. Bank Championship in Milwaukee,3,15
152,153,78,Bob Estes,88,82,Buick Invitational,4,18
153,T154,154,Rory Sabbatini,81,80,Wachovia Championship,3,1
154,T154,147,Tom Byrum,50,80,Shell Houston Open,4,8
155,156,64,Brian Davis,101,79,PODS Championship,2,11
156,T157,157,Billy Andrade,88,78,Fry's Electronics Open,2,11
157,T157,158,Dan Forsman,33,78,Reno-Tahoe Open,2,9
158,T157,159,Rocco Mediate,72,78,Zurich Classic of New Orleans,1,7
159,T160,160,Ian Leggatt,8,77,Reno-Tahoe Open,1,17
160,T160,5,Hunter Mahan,91,77,Canadian Open presented by Franklin Templeton Investments,1,9
161,162,162,Chris Tidland,59,72,Ginn sur Mer Classic at Tesoro,1,1
162,T163,163,Will MacKenzie,100,71,Frys.com Open benefiting Shriners Hospitals for Children,4,13
