,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
140,T141,T141,José María Olazábal,52,43.33,52,68
141,T141,T141,Jeff Quinney,95,43.33,117,153
142,143,143,Nick O'Hern,72,43.29,71,93
143,144,144,Bart Bryant,87,43.28,103,135
144,145,145,Ryan Armour,107,42.91,127,169
145,146,146,Dean Wilson,92,42.86,99,132
146,147,147,José Coceres,50,42.42,56,76
147,148,148,D.J. Brigman,67,42.22,76,104
148,149,149,Jeff Maggert,79,42.06,106,146
149,150,150,Freddie Jacobson,70,41.67,90,126
150,T151,T151,Luke Donald,69,41.33,62,88
151,T151,T151,Jim Rutledge,59,41.33,62,88
152,153,153,Brian Davis,101,41.2,117,167
153,154,154,Bryce Molder,56,40.96,68,98
154,155,155,David Toms,80,40.74,77,112
155,156,156,Craig Lile,77,40.63,91,133
156,157,157,Jim Furyk,84,40.59,82,120
157,158,158,Ryuji Imada,104,40.54,120,176
158,159,159,Michael Sim,52,40.24,66,98
159,160,160,Darron Stiles,65,40.23,70,104
160,161,161,John Mallinger,96,39.78,109,165
161,162,162,Zach Johnson,76,39.68,75,114
162,163,163,Bob Heintz,85,39.13,90,140
163,164,164,Doug LaBelle II,104,39.08,111,173
164,165,165,Joey Sindelar,75,39.04,89,139
165,166,166,Jeff Sluman,60,38.97,53,83
166,167,167,Mark Wilson,87,38.94,88,138
167,168,168,Stephen Leaney,82,38.03,89,145
168,169,169,Heath Slocum,101,37.68,104,172
169,170,170,Steve Stricker,81,37.24,73,123
170,171,171,Lee Janzen,66,37.22,67,113
171,172,172,Shaun Micheel,91,36.75,86,148
172,173,173,Tommy Armour III,81,36.64,85,147
173,174,174,Brandt Snedeker,105,36.54,95,165
174,175,175,Matt Kuchar,85,36.28,82,144
175,176,176,Chris Riley,59,35.47,61,111
176,177,177,Dicky Pride,71,35.35,70,128
177,178,178,Shigeki Maruyama,84,35.08,87,161
178,179,179,Tom Byrum,50,35.04,48,89
179,180,180,Bob Estes,88,34.77,89,167
180,181,181,Glen Day,85,34.03,81,157
181,T182,T182,Todd Hamilton,76,33.33,64,128
182,T182,T182,Kirk Triplett,77,33.33,78,156
183,184,184,Richard Johnson,93,33.21,87,175
184,185,185,Justin Leonard,95,33.2,81,163
185,186,186,Paul Goydos,60,33.09,45,91
186,187,187,Rocco Mediate,72,32.71,70,144
187,188,188,Tim Clark,66,31.25,50,110
188,189,189,Craig Kanada,109,30.07,92,214
189,190,190,Michael Boyd,61,29.78,53,125
190,191,191,Fred Funk,65,29.03,45,110
191,192,192,Mark Brooks,53,28.79,38,94
192,193,193,Corey Pavin,81,27.68,62,162
193,194,194,Craig Bowden,78,26.11,59,167
194,195,195,Gavin Coles,87,23.81,60,192
195,196,196,Brian Gay,107,23.4,73,239
