,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Craig Bowden,78,31.63,99,313
1,2,2,Steve Stricker,81,29.86,83,278
2,3,3,Ian Poulter,63,28.66,47,164
3,4,4,Tiger Woods,63,28.57,38,133
4,5,5,Rocco Mediate,72,28.52,79,277
5,6,6,Corey Pavin,81,28.09,75,267
6,7,7,Bob Heintz,85,27.78,90,324
7,8,8,Fred Funk,65,27.6,61,221
8,9,9,Scott Verplank,82,27.4,57,208
9,10,10,Jim Furyk,84,27.39,66,241
10,11,11,Bob Estes,88,27.3,92,337
11,12,12,Jeff Sluman,60,26.79,45,168
12,13,13,Mark Calcavecchia,93,26.73,85,318
13,14,14,Jerry Kelly,101,26.6,79,297
14,15,15,Bart Bryant,87,26.55,73,275
15,16,16,Chris Riley,59,26.34,59,224
16,17,17,Billy Andrade,88,26.18,83,317
17,18,18,Stewart Cink,91,26.12,76,291
18,19,19,Woody Austin,95,26.09,84,322
19,20,20,Jesper Parnevik,88,25.93,77,297
20,21,21,Jonathan Byrd,73,25.86,60,232
21,22,22,Tim Clark,66,25.71,63,245
22,23,23,Shigeki Maruyama,84,25.66,88,343
23,24,24,Darron Stiles,65,25.62,62,242
24,25,25,Brendon de Jonge,76,25.56,80,313
25,26,26,Frank Lickliter II,95,25.44,87,342
26,27,27,Brian Gay,107,25.41,109,429
27,28,28,Rich Beem,89,25.37,68,268
28,29,29,Adam Scott,69,25.35,54,213
29,30,30,Freddie Jacobson,70,25.17,73,290
30,31,31,Phil Mickelson,73,25.13,49,195
31,32,32,Chris Stroud,66,25.1,62,247
32,33,33,Kenny Perry,83,24.83,73,294
33,34,34,Heath Slocum,101,24.8,92,371
34,35,35,Sean O'Hair,98,24.77,81,327
35,36,36,Geoff Ogilvy,84,24.75,74,299
36,37,37,Glen Day,85,24.5,86,351
37,38,38,Tripp Isenhour,86,24.41,72,295
38,39,39,Ryuji Imada,104,24.38,89,365
39,40,40,Tom Johnson,74,24.18,59,244
40,41,41,Cameron Beckman,96,24.04,81,337
41,42,42,Pat Perez,84,23.97,58,242
42,43,43,Robert Gamez,88,23.93,73,305
43,44,44,David Toms,80,23.88,64,268
44,45,45,Vijay Singh,102,23.82,81,340
45,46,46,Kirk Triplett,77,23.79,74,311
46,T47,T47,Steve Allan,63,23.77,53,223
47,T47,T47,Jarrod Lyle,77,23.77,77,324
48,49,49,John Mallinger,96,23.75,90,379
49,50,50,Tim Petrovic,106,23.73,84,354
50,51,51,Arron Oberholser,69,23.72,51,215
51,52,52,Justin Rose,63,23.65,35,148
52,53,53,Craig Lile,77,23.63,69,292
53,T54,T54,Gavin Coles,87,23.43,71,303
54,T54,T54,Steve Elkington,87,23.43,67,286
55,56,56,Nick O'Hern,72,23.38,47,201
56,57,57,Stephen Ames,81,23.36,57,244
57,58,58,J.P. Hayes,89,23.31,83,356
58,59,59,Will MacKenzie,100,23.29,85,365
59,60,60,Charley Hoffman,97,23.2,84,362
60,T61,T61,Robert Garrigus,95,23.1,88,381
61,T61,T61,Nathan Green,103,23.1,70,303
62,T61,T61,Brandt Snedeker,105,23.1,79,342
63,64,64,Ted Purdy,102,23.04,85,369
64,65,65,Boo Weekley,101,22.9,79,345
65,66,66,Charles Warren,101,22.85,85,372
66,67,67,Paul Gow,70,22.78,54,237
67,68,68,Charlie Wi,90,22.75,76,334
68,69,69,Michael Allen,74,22.62,57,252
69,T70,T70,Ryan Armour,107,22.6,92,407
70,T70,T70,Cliff Kresge,107,22.6,87,385
71,72,72,Rory Sabbatini,81,22.59,54,239
72,73,73,George McNeill,95,22.56,74,328
73,74,74,Brian Davis,101,22.53,82,364
74,75,75,John Rollins,102,22.5,81,360
75,76,76,Joe Ogilvie,102,22.46,84,374
76,77,77,Bubba Dickerson,51,22.44,46,205
77,78,78,Brett Quigley,79,22.39,58,259
78,79,79,Craig Barlow,52,22.33,46,206
79,80,80,Jay Williamson,50,22.32,52,233
80,81,81,Steve Wheatcroft,73,22.31,56,251
81,82,82,Jason Bohn,57,22.29,39,175
82,83,83,Lee Janzen,66,22.27,47,211
83,T84,T84,Alex Cejka,80,22.26,71,319
84,T84,T84,Hunter Mahan,91,22.26,61,274
85,T86,T86,Craig Kanada,109,22.25,91,409
86,T86,T86,Steve Marino,106,22.25,85,382
87,T88,T88,Rich Barcelo,80,22.22,68,306
88,T88,T88,Ken Duke,112,22.22,88,396
89,T88,T88,Billy Mayfair,98,22.22,62,279
90,91,91,Jeff Maggert,79,22.09,76,344
91,92,92,John Senden,97,22.04,69,313
92,93,93,Nick Watney,87,21.91,62,283
93,94,94,J.B. Holmes,71,21.9,69,315
94,95,95,Jason Dufner,100,21.88,72,329
95,96,96,Lucas Glover,98,21.84,69,316
96,T97,T97,Briny Baird,115,21.74,95,437
97,T97,T97,Anders Hansen,55,21.74,25,115
98,99,99,Justin Leonard,95,21.7,79,364
99,100,100,Mathew Goggin,97,21.6,70,324
100,101,101,Michael Sim,52,21.59,57,264
101,102,102,Zach Johnson,76,21.55,50,232
102,103,103,Luke Donald,69,21.54,42,195
103,104,104,Eric Axley,107,21.52,85,395
104,105,105,Matt Kuchar,85,21.51,60,279
105,106,106,Daniel Chopra,106,21.5,92,428
106,107,107,John Merrick,92,21.49,72,335
107,108,108,Jeff Overton,60,21.43,57,266
108,109,109,Tommy Armour III,81,21.41,70,327
109,110,110,Kent Jones,97,21.16,73,345
110,111,111,Tom Pernice Jr.,104,21.15,70,331
111,112,112,Bob Tway,103,21.14,74,350
112,113,113,Tag Ridings,52,21.1,46,218
113,114,114,Ryan Moore,92,21.07,55,261
114,T115,T115,Jason Gore,86,21.05,68,323
115,T115,T115,Bo Van Pelt,104,21.05,80,380
116,117,117,Mark Hensby,81,21.02,62,295
117,118,118,Tom Byrum,50,20.99,38,181
118,119,119,Steve Lowery,74,20.98,64,305
119,120,120,Dean Wilson,92,20.91,60,287
120,121,121,Tim Herron,98,20.86,68,326
121,122,122,Marco Dawson,73,20.71,58,280
122,123,123,Robert Allenby,90,20.68,49,237
123,124,124,Bryce Molder,56,20.66,50,242
124,125,125,Chad Campbell,96,20.63,59,286
125,T126,T126,Michael Boyd,61,20.58,50,243
126,T126,T126,Chris Couch,76,20.58,71,345
127,128,128,Joey Sindelar,75,20.56,59,287
128,129,129,Stuart Appleby,74,20.5,49,239
129,130,130,Mark Wilson,87,20.38,64,314
130,131,131,Stephen Leaney,82,20.3,54,266
131,132,132,Aaron Baddeley,83,20.24,51,252
132,133,133,Daisuke Maruyama,86,20.21,59,292
133,134,134,Peter Lonard,85,20.19,65,322
134,135,135,David Branshaw,83,20.13,63,313
135,T136,T136,José María Olazábal,52,20.0,28,140
136,T136,T136,Dicky Pride,71,20.0,51,255
137,138,138,Harrison Frazar,88,19.87,62,312
