,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,T1,T1,Tim Clark,66,"31' 11""",30325.917,950,176
1,T1,T1,Heath Slocum,101,"31' 11""",53278.417,1668,36
2,3,3,Tiger Woods,63,"32' 2""",24781.833,770,1
3,4,4,Jim Furyk,84,"32' 4""",38247.917,1182,6
4,5,5,Joey Sindelar,75,"32' 5""",39032.667,1205,30
5,6,6,Steve Stricker,81,"32' 8""",37966.167,1163,55
6,7,7,Joe Durant,88,"32' 10""",43035.583,1310,12
7,8,8,Fred Funk,65,"33' 0""",31397.917,951,171
8,9,9,Tommy Armour III,81,"33' 1""",40826.75,1233,5
9,10,10,Vaughn Taylor,91,"33' 3""",42689.25,1285,120
10,11,11,Brian Gay,107,"33' 4""",57899.333,1735,153
11,T12,T12,Mark Brooks,53,"33' 6""",24495.833,732,92
12,T12,T12,Darron Stiles,65,"33' 6""",31843.917,950,71
13,14,14,Jay Williamson,50,"33' 7""",28966.333,862,40
14,T15,T15,Robert Gamez,88,"33' 9""",45921.25,1359,57
15,T15,T15,Justin Leonard,95,"33' 9""",49524.083,1466,94
16,T15,T15,Brandt Snedeker,105,"33' 9""",52012.5,1541,103
17,18,18,Alex Cejka,80,"33' 10""",45001.333,1329,6
18,T19,T19,José Coceres,50,"33' 11""",25579.417,754,168
19,T19,T19,Tom Lehman,62,"33' 11""",29656.583,874,16
20,T19,T19,Jeff Sluman,60,"33' 11""",25487.083,751,181
21,22,22,Bob Heintz,85,"34' 0""",43624.333,1284,146
22,T23,T23,Ken Duke,112,"34' 1""",57840.0,1695,62
23,T23,T23,Ernie Els,59,"34' 1""",26869.167,789,98
24,T25,T25,Jerry Kelly,101,"34' 3""",45958.333,1341,93
25,T25,T25,Rocco Mediate,72,"34' 3""",41020.333,1198,90
26,T25,T25,Kenny Perry,83,"34' 3""",46187.0,1347,20
27,T25,T25,Scott Verplank,82,"34' 3""",36116.583,1055,114
28,T25,T25,Boo Weekley,101,"34' 3""",47976.167,1401,54
29,T30,T30,Stephen Ames,81,"34' 4""",38121.333,1110,86
30,T30,T30,Craig Barlow,52,"34' 4""",27063.5,789,22
31,T30,T30,Bart Bryant,87,"34' 4""",45507.083,1327,39
32,T30,T30,Freddie Jacobson,70,"34' 4""",41777.083,1218,46
33,T30,T30,David Toms,80,"34' 4""",38667.083,1127,128
34,T35,T35,Robert Allenby,90,"34' 5""",46233.833,1342,15
35,T35,T35,Geoff Ogilvy,84,"34' 5""",39372.583,1145,158
36,T35,T35,Ted Purdy,102,"34' 5""",53570.583,1555,21
37,T38,T38,Craig Bowden,78,"34' 6""",41435.917,1201,88
38,T38,T38,Mark Calcavecchia,93,"34' 6""",45153.833,1309,121
39,T38,T38,Gavin Coles,87,"34' 6""",47457.75,1376,161
40,T38,T38,Justin Rose,63,"34' 6""",24144.417,700,58
41,T38,T38,Kirk Triplett,77,"34' 6""",42076.583,1220,62
42,T43,T43,Matt Kuchar,85,"34' 7""",43970.583,1271,84
43,T43,T43,Shaun Micheel,91,"34' 7""",43305.167,1251,52
44,T45,T45,Briny Baird,115,"34' 8""",65402.667,1886,8
45,T45,T45,Chad Campbell,96,"34' 8""",45306.833,1308,129
46,T45,T45,Luke Donald,69,"34' 8""",31151.917,898,145
47,T45,T45,John Mallinger,96,"34' 8""",54121.167,1560,152
48,T45,T45,Jeff Quinney,95,"34' 8""",53362.583,1539,61
49,T50,T50,Michael Allen,74,"34' 9""",39703.333,1143,32
50,T50,T50,Jason Bohn,57,"34' 9""",32841.25,944,82
51,T50,T50,Stephen Leaney,82,"34' 9""",46076.833,1327,13
52,T50,T50,Ryan Palmer,91,"34' 9""",51041.0,1469,127
53,T50,T50,Pat Perez,84,"34' 9""",40426.75,1163,68
54,T55,T55,Woody Austin,95,"34' 10""",52450.5,1505,67
55,T55,T55,Steve Flesch,100,"34' 10""",56101.333,1609,55
56,T55,T55,Craig Kanada,109,"34' 10""",58808.917,1688,108
57,T55,T55,Billy Mayfair,98,"34' 10""",51845.25,1487,18
58,T55,T55,Greg Owen,81,"34' 10""",43595.833,1251,17
59,T60,T60,Ryan Armour,107,"34' 11""",58633.417,1681,41
